Hybridization REF	TCGA-E2-A15E-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.521
CREB3L1	1.32725
RPS11	0.278625
PNMA1	-0.32675
MMP2	0.359666666666667
C10orf90	-1.07475
ZHX3	-0.2925
ERCC5	0.4425
GPR98	0.762125
RXFP3	0.2015
APBB2	2.2635
PRO0478	-0.880875
KLHL13	2.23225
PRSSL1	-0.577
PDCL3	0.115666666666667
DECR1	0.976375
SALL1	-3.24066666666667
CADM4	0.380666666666667
RPS18	-0.584928571428571
HNRPD	-0.835
CFHR5	1.45483333333333
SLC10A7	0.503875
OR2K2	0.8045
LMAN1	-1.20625
SUHW1	-3.676
CHD8	0.1574
SUMO1	-0.8872
GP1BA	0.0449
DDB1	0.1065
MYO9B	-0.7373
MMP7	6.0485
CRNKL1	0.761375
C9orf45	-0.406
XAB2	-0.222375
RTN1	1.84625
KLHL14	-0.9575
TBX10	-2.3965
CENPQ	-1.6185
UTY	-1.38261538461538
ZBTB12	-0.254
DTNBP1	-0.53625
KBTBD8	-1.8955
ZEB1	-1.14916666666667
ZG16	-2.306
MIER1	-0.317
ADAM5P	0.4715
CHD9	-0.1599375
STK16	-0.19725
KIAA1486	-0.7455
TOB2	0.08425
BANK1	2.48575
OR2V2	0.0385
GRM2	-0.3915
PROSC	0.224
SPIN2B	-0.0505
PIR	-2.28377777777778
IPO9	-0.817
EVC	0.864833333333333
CXCL13	4.241
KIAA1199	-2.2684
SORL1	1.0225
NAT10	-0.39
CHD1	-0.487
SYN3	-0.83225
SLC22A2	-0.252
SERPINF1	0.673
WDR34	-0.213
OR7A17	-0.3415
C9orf11	-0.009
RNF216L	-0.6574
LHB	-0.2495
STK25	-0.63575
TAOK3	0.681625
LOC152573	-3.12975
C3orf39	0.25325
C14orf108	1.3415
CDC25B	-2.27454545454545
BMP3	0.196
TMEM180	-0.974
MAP1LC3C	1.42425
CRYGC	-1.703
POU3F1	-1.5145
C20orf32	-1.61
CCDC95	-0.144
HIGD1B	3.81225
USP6NL	0.38325
ABCD4	-0.2535
DIMT1L	-0.56225
TEK	0.832142857142857
SLC25A46	-0.49275
LARP7	-1.3063
