Hybridization REF	TCGA-BH-A0DD-11A-23R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.254083333333333
CREB3L1	-0.03275
RPS11	0.57325
PNMA1	1.10825
MMP2	1.58816666666667
C10orf90	0.9285
ZHX3	0.6865
ERCC5	0.91975
GPR98	-2.08585714285714
RXFP3	0.5605
APBB2	1.79275
PRO0478	-1.054875
KLHL13	-0.79025
PRSSL1	-0.0511666666666667
PDCL3	0.278666666666667
DECR1	1.317625
SALL1	-3.4154
CADM4	-1.23266666666667
RPS18	-0.590142857142857
HNRPD	-0.158333333333333
CFHR5	0.732166666666667
SLC10A7	0.073625
OR2K2	0.486
LMAN1	-1.609375
SUHW1	-3.949
CHD8	-0.5342
SUMO1	0.7086
GP1BA	-0.0999
DDB1	-0.707666666666667
MYO9B	-0.7538
MMP7	5.343
CRNKL1	-0.061625
C9orf45	-1.119
XAB2	-0.503625
RTN1	2.92557142857143
KLHL14	-0.688125
TBX10	-2.737
CENPQ	-1.04825
UTY	2.31815384615385
ZBTB12	-2.2565
DTNBP1	0.088375
KBTBD8	-1.2005
ZEB1	1.281
ZG16	-0.43475
MIER1	0.0457
ADAM5P	0.5025
CHD9	-0.0303125
STK16	0.3865
KIAA1486	-1.2775
TOB2	0.83175
BANK1	6.1045
OR2V2	0.36625
GRM2	0.1555
PROSC	0.9045
SPIN2B	1.67225
PIR	0.0671111111111111
IPO9	-1.3857
EVC	1.06333333333333
CXCL13	-0.677833333333333
KIAA1199	-4.9943
SORL1	-1.5355
NAT10	-0.749
CHD1	-1.278
SYN3	-0.0445
SLC22A2	-0.41575
SERPINF1	3.14516666666667
WDR34	-2.422
OR7A17	0.14525
C9orf11	-0.163
RNF216L	-0.8159
LHB	-0.121
STK25	0.443375
TAOK3	0.993
LOC152573	0.51575
C3orf39	0.56225
C14orf108	0.3114
CDC25B	-1.95927272727273
BMP3	2.645
TMEM180	0.109
MAP1LC3C	4.5525
CRYGC	-0.177
POU3F1	-1.35075
C20orf32	-1.75
CCDC95	-0.6205
HIGD1B	4.47
USP6NL	-0.043875
ABCD4	0.474166666666667
DIMT1L	-0.36325
TEK	3.869625
SLC25A46	0.70775
LARP7	-1.032
CD160	1.5085
MT1JP	0.538
PHF20	-0.7271875
CPNE4	-0.62925
GTPBP1	-0.463428571428571
RAB33B	2.3415
ALDOC	0.396
ZNF212	-0.76475
NUDT1	-0.934166666666667
RFPL2	-1.27925
ZNF83	0.0783333333333333
GDPD5	2.062625
PDCD4	1.79075
CEP350	-0.502
OR10A2	-0.20275
CST7	0.06025
CIAO1	-0.93775
SELL	0.545625
OR8J3	0.0835
LTBP4	1.52433333333333
SIRT6	-0.37575
CCL19	4.80325
PPIL1	-1.58066666666667
GBP7	0.086
STK17A	-0.4601
ABR	0.60675
OR9G1	-0.609
FOXE1	-0.80725
CNGA3	0.6105
GML	-0.026
CD38	-1.92875
ZDHHC6	0.235166666666667
NEFH	-3.313
CTDSP2	1.71333333333333
PGBD5	-2.14916666666667
CCNY	0.578285714285714
RMND5B	0.458666666666667
ZNF257	-2.44425
FLJ22167	-0.05625
EXOSC7	0.00716666666666667
ROR2	-0.938875
MAOA	5.00725
TNNT3	4.47266666666667
GYPC	1.87225
C7orf33	0.4185
PLIN	4.91033333333333
LOC90826	0.37475
RNF4	-0.8625
F8A1	0.738
PLEKHG4	-1.813
GRB2	-0.1173
HIST1H2AD	-1.79075
DUS3L	-1.34983333333333
EIF1	0.785833333333333
RP5-1077B9.4	-0.615666666666667
FPGT	1.76125
GDF10	5.65133333333333
COQ9	0.12975
GCC2	-0.133928571428571
RARRES3	1.08075
PLXNA1	-0.6833
KIAA0100	-0.0744
PMF1	-0.4835
FNDC1	5.66225
HS2ST1	-0.856333333333333
CRELD2	0.06
C8G	-2.386
CD82	-0.40625
LIM2	-0.6605
UNQ6490	1.034
MMP16	1.07025
DRD3	0.112333333333333
C5orf26	-0.27475
C11orf73	0.673625
PTP4A2	0.25525
OR4M2	-0.69
HPCA	-0.411833333333333
SEC14L1	0.2335
CHFR	-0.38375
EMILIN1	0.569625
NDUFS4	0.7195
COL18A1	0.18875
PDZD3	0.5114
C9orf16	-0.249666666666667
ERBB2IP	-0.594666666666667
EMX2	6.03575
FUS	-2.054
TF	-2.697
CLCN4	2.09016666666667
CXorf56	0.7075
C11orf72	0.187
ELAC2	-0.218833333333333
NPR1	3.51625
ASS1	0.963166666666667
USP42	-0.79375
POLR2J	-1.029
SEC23IP	0.297333333333333
UQCRC1	-0.26925
LOC729603	0.1545
C1orf71	-0.6305
POLG	-3.2265
ADAM23	-3.0415
TFR2	-1.454
RICTOR	-0.7408
MGC39606	1.469
C19orf55	-0.662375
SNAPC1	-0.516
GNA11	0.826125
CCDC52	-0.526
FSIP1	1.201
UPF3A	0.596625
IGSF11	-2.08533333333333
LAGE3	-1.6225
CHST6	-3.381
UNC13B	1.395125
TTLL4	-2.09925
ZNF687	-0.33725
SDC2	1.5591
COX7A2	-0.0095
LAMB4	-0.53075
FAM24A	0.122
LRRTM3	-3.0195
GPHB5	0.3295
OR4C13	-1.532
EIF3EIP	0.442142857142857
HABP4	2.275
TMEM125	-1.01
CNTN2	0.7105
ASNSD1	0.52
FUT4	0.419
ACF	-4.24525
LOC158381	1.229
CDH8	-0.43
AGPS	0.1245
C4orf18	3.30475
PECI	0.830916666666667
UNG	-0.364
GSTP1	-0.161125
DCUN1D5	-1.05016666666667
DKFZP564J0863	-1.24575
SLC9A3R1	-2.490875
BCDO2	-0.44575
CHMP7	0.5445
REM2	-0.281
DNHD1	-0.778428571428571
FKBP4	-2.095
ZNF350	0.84475
MGC11102	-0.16925
BST1	3.35575
KISS1R	-0.5185
NCR2	-1.46
DEFB125	0.173
UBE2W	1.01225
KRT15	-3.74525
C10orf99	0.4185
SCN11A	2.1445
GFI1	-2.95725
RDHE2	0.2435
FHL1	4.64
OSGEP	-0.475166666666667
GATA1	-3.5235
