Hybridization REF	TCGA-E2-A152-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.599583333333333
CREB3L1	2.011
RPS11	0.1415
PNMA1	-0.2295
MMP2	1.6235
C10orf90	-1.73125
ZHX3	0.675833333333333
ERCC5	-0.7055
GPR98	1.17442857142857
RXFP3	0.8775
APBB2	1.07975
PRO0478	-0.9965
KLHL13	-2.6915
PRSSL1	-0.835666666666667
PDCL3	0.2735
DECR1	-0.30425
SALL1	-2.58116666666667
CADM4	1.80933333333333
RPS18	-0.432285714285714
HNRPD	-1.13208333333333
CFHR5	0.595
SLC10A7	0.431714285714286
OR2K2	0.489
LMAN1	-0.72925
SUHW1	-3.13275
CHD8	-0.0955
SUMO1	0.7883
GP1BA	-0.512
DDB1	-0.5095
MYO9B	0.1806
MMP7	5.243
CRNKL1	1.052
C9orf45	-1.07616666666667
XAB2	-0.368
RTN1	1.020875
KLHL14	-2.17125
TBX10	3.8085
CENPQ	-2.22275
UTY	-1.21238461538462
ZBTB12	-0.5895
DTNBP1	-0.585375
KBTBD8	-0.773166666666667
ZEB1	2.22883333333333
ZG16	-1.6975
MIER1	0.8432
ADAM5P	0.4755
CHD9	0.2598125
STK16	-0.8785
KIAA1486	-0.2635
TOB2	1.361
BANK1	3.34275
OR2V2	0.12075
GRM2	0.171666666666667
PROSC	-0.00725000000000001
SPIN2B	0.2215
PIR	-2.548
IPO9	-0.6087
EVC	1.445
CXCL13	1.41083333333333
KIAA1199	1.5974
SORL1	1.20375
NAT10	-0.5345
CHD1	-0.8415
SYN3	0.116
SLC22A2	-0.0975
SERPINF1	1.82583333333333
WDR34	0.87025
OR7A17	0.3265
C9orf11	0.001
RNF216L	-0.4646
LHB	0.0475
STK25	-0.004875
TAOK3	0.4695
LOC152573	-3.3345
C3orf39	0.131875
C14orf108	0.742
CDC25B	-1.36090909090909
BMP3	0.3905
TMEM180	0.3765
MAP1LC3C	-0.05925
CRYGC	-0.741
POU3F1	-0.9492
C20orf32	-1.374
CCDC95	-0.4845
HIGD1B	3.60075
USP6NL	0.2325
ABCD4	0.0621666666666666
DIMT1L	-0.952083333333333
TEK	0.5315
SLC25A46	-0.3135
LARP7	-0.8832
CD160	0.0698333333333333
MT1JP	-0.4645
PHF20	-0.651125
CPNE4	2.41425
GTPBP1	1.08028571428571
RAB33B	1.83483333333333
ALDOC	-2.529625
ZNF212	-0.1565
NUDT1	-0.922333333333333
RFPL2	0.386
ZNF83	-0.391166666666667
GDPD5	0.197
PDCD4	0.80015
CEP350	-0.6705
OR10A2	0.046
CST7	0.69325
CIAO1	-0.5465
SELL	-0.37725
OR8J3	0.221
LTBP4	-0.14
SIRT6	-0.35625
CCL19	1.34
PPIL1	-0.893333333333333
GBP7	0.5512
STK17A	-0.5935
ABR	0.08575
OR9G1	0.4395
FOXE1	-0.48125
CNGA3	1.047
GML	0.252
CD38	-3.47325
ZDHHC6	-0.415666666666667
NEFH	-2.227
CTDSP2	0.309333333333333
PGBD5	-0.786666666666667
CCNY	0.373642857142857
RMND5B	0.719416666666667
ZNF257	-1.0185
FLJ22167	-0.896125
EXOSC7	-0.687833333333333
ROR2	2.0085
MAOA	-1.569
TNNT3	0.0486666666666667
GYPC	-0.7255
C7orf33	0.883
PLIN	0.3025
LOC90826	-0.04825
RNF4	0.0619
F8A1	0.144833333333333
PLEKHG4	-1.1825
GRB2	0.37225
HIST1H2AD	1.41125
DUS3L	-1.05133333333333
EIF1	-0.0758333333333333
RP5-1077B9.4	-0.641333333333333
FPGT	0.47
GDF10	-1.84616666666667
COQ9	-0.04175
GCC2	1.06085714285714
RARRES3	2.575875
PLXNA1	0.0364
KIAA0100	-0.5725
PMF1	-0.3475
FNDC1	5.8365
HS2ST1	0.195166666666667
CRELD2	0.43125
C8G	-0.9815
CD82	2.128
LIM2	-0.934
UNQ6490	0.227
MMP16	-0.42725
DRD3	-0.38
C5orf26	-0.955
C11orf73	-0.154125
PTP4A2	0.67375
OR4M2	1
HPCA	-0.557833333333333
SEC14L1	-0.533
CHFR	0.310375
EMILIN1	1.530625
NDUFS4	-0.27275
COL18A1	1.3795
PDZD3	-0.3638
C9orf16	0.340166666666667
ERBB2IP	0.592333333333333
EMX2	3.69225
FUS	-1.235
TF	-4.17211111111111
CLCN4	-1.366
CXorf56	0.48525
C11orf72	0.26525
ELAC2	-0.643333333333333
NPR1	-0.4595
ASS1	-1.50183333333333
USP42	0.68775
POLR2J	-0.833
SEC23IP	0.63
UQCRC1	-0.43775
LOC729603	-0.132
C1orf71	-0.321875
POLG	-1.94
ADAM23	-2.53725
TFR2	-0.95575
RICTOR	-1.2064
MGC39606	0.50125
C19orf55	-0.276375
SNAPC1	-0.574833333333333
GNA11	0.639125
CCDC52	-0.187
FSIP1	0.415
UPF3A	-1.364125
IGSF11	-2.76066666666667
LAGE3	0.7005
CHST6	0.1425
UNC13B	-0.593
TTLL4	-0.439625
ZNF687	0.312125
SDC2	-0.1596
COX7A2	-0.09025
LAMB4	0.20775
FAM24A	0.5895
LRRTM3	-2.33766666666667
GPHB5	-0.36825
OR4C13	-0.311
EIF3EIP	1.43771428571429
HABP4	-0.45
TMEM125	2.94325
CNTN2	-0.5485
ASNSD1	-0.3665
FUT4	-0.499375
ACF	-3.07025
LOC158381	1.28
CDH8	0.086
AGPS	-1.36966666666667
C4orf18	3.38925
PECI	-0.0294166666666667
UNG	-0.175
GSTP1	1.44275
DCUN1D5	-1.33033333333333
DKFZP564J0863	0.05675
SLC9A3R1	0.116
BCDO2	-1.64225
CHMP7	0.432875
REM2	-0.073
DNHD1	-1.159375
FKBP4	0.059125
ZNF350	1.81725
MGC11102	0.250625
BST1	1.6675
KISS1R	0.7965
NCR2	-0.141
DEFB125	-1.317
UBE2W	1.349875
KRT15	-1.597125
C10orf99	0.412
SCN11A	0.187714285714286
GFI1	-2.66425
RDHE2	5.37033333333333
FHL1	-1.30683333333333
OSGEP	-0.208333333333333
GATA1	-2.731
SMC6	-0.9765
TTTY14	-1.5595
LPIN3	0.055
RPL4	-0.9142
RBPMS	0.6599
PRPF3	-1.03133333333333
EMR1	-2.0465
SPATA19	0.33075
XCR1	0.1475
IRX3	1.1189
RBM6	-1.13625
KLF4	0.1464
UNC5CL	1.31325
SEBOX	0.586
BTK	-1.022
KRCC1	1.30075
C6orf27	0.334
SYTL5	-0.839
PRND	3.22225
LOC653319	-0.937
PIGL	-0.831125
HUS1	-0.460333333333333
SFRS6	-1.21616666666667
C17orf77	0.1485
UIMC1	-0.485333333333333
FXYD2	-1.805
LOC283152	-0.89025
ZNF667	1.478
ZCCHC12	-0.715
TFEC	3.096
ATP7B	-0.321833333333333
POLD2	-0.939666666666667
RG9MTD1	-0.446
ACOT2	0.533
HIST1H4I	-0.00837500000000005
PPARGC1A	-0.796
ETFA	-1.2951
POLRMT	-0.935
ZNF146	0.222
MIA2	-2.1185
KLHL6	-1.4005
HOXB5	-0.470375
NENF	-0.739833333333333
CUGBP1	-0.0595
PRSS22	0.790666666666667
CASC4	1.8497
CUL4B	0.4298
CENPJ	-2.5242
PITX1	-0.324
FLJ31033	0.3075
CELSR3	-2.41166666666667
ZNF568	0.90775
ITSN1	-0.136833333333333
EHBP1L1	-0.578166666666667
C19orf2	-0.63675
DCTN1	0.3725
LIN28B	-4.14233333333333
TNKS2	0.6705
C1QBP	-1.254375
CADPS2	1.785
SRMS	0.09425
GJA9	-0.00866666666666667
MGC24975	-1.26933333333333
TRIM45	-0.964
TSP50	-0.779333333333333
TCP1	-0.87675
TMED7	0.9304
CMA1	0.4045
CENPL	-0.446333333333333
PTCRA	0.0155
FST	-3.4235
VWCE	-3.10325
PAWR	0.97175
ABCC12	1.73016666666667
LDLR	-0.1822
ASTN2	1.7718
LOC441212	-1.19425
GPATCH8	-0.1435
TANC2	0.0545
KIF4A	-1.5625
C18orf18	-1.10075
PGM1	-1.45175
KIAA0258	0.402
CPD	0.421125
SNCAIP	-1.86525
DCT	-4.02916666666667
HLA-DOA	2.77140909090909
OR11L1	0.705
UPK1B	-1.2118
DNAJB4	-0.784
UGT1A8	-0.813666666666667
HIST1H4L	0.3665
PECR	-2.01366666666667
HSPA2	3.08825
WFIKKN1	-0.9215
SERP1	0.403875
SYDE2	-0.2545
TACR2	0.0765
NUP85	-1.291
CD177	-0.1365
LGR5	-2.78
PIGG	0.459583333333333
PTHR1	-1.1595
RAB5A	-0.149
FLJ13224	0.608
USP9Y	-1.9575
C7orf53	-2.076
LRP1B	-0.8335
XAF1	1.4741
ABCG8	1.308
ANKDD1A	-0.419
DAND5	-2.9125
SPAG6	0.2178
LINCR	0.6555
ZDHHC22	-1.29575
CCDC60	0.321
THOC7	-2.12533333333333
TCTA	1.1025
OR8K3	0.02375
NY-REN-7	-0.91375
B2M	1.62616666666667
C6orf141	-2.683875
LPPR4	1.712
SQLE	-0.747375
SEPHS1	0.45425
BTBD14B	0.784071428571428
PLRG1	-0.39275
SPG7	-0.060125
ZNF614	-0.1135
PARD6G	1.45816666666667
INPP5B	-0.9777
GRPEL2	0.245125
PPID	-1.0006
TRIM56	-0.0715
UBE2J1	-0.2345
IL20RA	4.825
LOC387856	0.624
C1orf107	-0.432
UTS2R	1.59025
C19orf22	-0.17875
SAFB2	0.065375
KIAA0652	0.567375
KLRG1	-1.76333333333333
MS4A8B	1.345
FRAG1	-0.7425
KIAA1546	1.424
E2F4	-0.5548
CLEC4M	-0.546666666666667
BTBD14A	-0.54825
KIAA0999	-0.2929
GYPA	-3.76266666666667
TAC1	1.0329
TRAIP	-1.4045
KIAA0232	1.4415
ERCC8	-1.067375
GPX4	0.030375
KIAA0368	-0.3405
GPR157	-0.860666666666667
CTAGE4	0.1655
C9orf30	-1.2165
OR52A1	0.135
HSP90B3P	0.149
ALG9	-1.1918
BTBD10	-0.108
SDK2	-0.1115
BAIAP3	0.04025
RABGGTB	-0.763
ANKRD40	-0.749666666666667
KRT74	-0.2875
CALCOCO2	-0.3055
SNCA	-2.807
TMSL8	-3.8945
C2orf53	0.0155
ESRRB	-0.5655
ARHGAP26	-0.942625
TDRD9	-2.9025
HRAS	0.0906666666666667
KLRC4	-2.133
JAGN1	-0.946666666666667
BSDC1	0.62175
RNF43	0.0539
NDUFAF1	-0.361
PHF12	0.5445
OR1L3	-0.27975
FOLR2	2.27241666666667
LYZL6	-0.110166666666667
tcag7.1260	-1.48
WSB1	-1.19866666666667
PROS1	-0.5135
OSTN	0.9825
PSMB8	-0.18675
SOCS4	-0.26025
DDIT4L	1.14475
MAS1	0.095
MGC34796	-0.09225
CSHL1	-0.0128333333333333
TBCCD1	-0.333666666666667
ZBTB7C	0.7
AP2S1	-0.327375
P15RS	-0.8964
VAT1	0.1763
SHANK3	0.916833333333333
TUFM	-0.105166666666667
THEG	-0.89775
KRT34	-1.84025
SGSM3	1.317875
TOMM22	-0.3995
SOCS3	1.25666666666667
CPO	0.5735
POP4	0.65375
BHLHB3	1.95525
MALL	1.91225
OR1B1	0.43
PARK2	0.104
GPR124	0.4055
LCE1E	0.3885
RUVBL2	-0.394
