Hybridization REF	TCGA-E2-A1B0-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0681666666666667
CREB3L1	0.96825
RPS11	0.226875
PNMA1	-0.03675
MMP2	1.27916666666667
C10orf90	-1.96725
ZHX3	0.1985
ERCC5	-0.27925
GPR98	0.0926666666666667
RXFP3	0.844
APBB2	0.3475
PRO0478	-1.252875
KLHL13	-2.54075
PRSSL1	-1.14283333333333
PDCL3	0.0883333333333333
DECR1	0.6915
SALL1	-2.85016666666667
CADM4	0.8585
RPS18	0.857
HNRPD	-0.20775
CFHR5	0.311833333333333
SLC10A7	-0.0676250000000001
OR2K2	2.219
LMAN1	-0.20025
SUHW1	-3.83975
CHD8	-0.7466
SUMO1	0.3517
GP1BA	0.5433
DDB1	-0.2015
MYO9B	0.2632
MMP7	6.494
CRNKL1	0.267625
C9orf45	-2.058
XAB2	0.041375
RTN1	2.085875
KLHL14	-1.87385714285714
TBX10	-0.985
CENPQ	-1.89225
UTY	-1.72146153846154
ZBTB12	-0.188
DTNBP1	0.0908749999999999
KBTBD8	-1.465
ZEB1	-0.7015
ZG16	-0.66475
MIER1	0.00570000000000001
ADAM5P	1.4745
CHD9	-0.238
STK16	-0.07525
KIAA1486	-0.1465
TOB2	0.616583333333333
BANK1	3.586
OR2V2	0.15975
GRM2	0.3265
PROSC	0.447125
SPIN2B	0.06275
PIR	-1.01611111111111
IPO9	-0.331777777777778
EVC	1.03966666666667
CXCL13	6.1725
KIAA1199	0.1415
SORL1	0.9555
NAT10	-0.85825
CHD1	0.5285
SYN3	0.29075
SLC22A2	0.165
SERPINF1	0.643333333333333
WDR34	-0.02325
OR7A17	0.5355
C9orf11	0.281
RNF216L	-0.6655
LHB	0.428
STK25	-0.1745
TAOK3	0.35175
LOC152573	-0.87325
C3orf39	0.226
C14orf108	0.3
CDC25B	-0.721727272727273
BMP3	1.0335
TMEM180	0.098
MAP1LC3C	0.12
CRYGC	-1.185
POU3F1	-2.0537
C20orf32	-1.623
CCDC95	-0.283
HIGD1B	4.2785
USP6NL	0.628875
ABCD4	-0.730666666666667
DIMT1L	-0.770166666666667
TEK	1.312875
SLC25A46	-0.01375
LARP7	-1.853
CD160	0.84725
MT1JP	0.00500000000000001
PHF20	-0.3899375
CPNE4	-5.92
GTPBP1	0.0569285714285714
RAB33B	0.416166666666667
ALDOC	-1.189
ZNF212	-0.87975
NUDT1	-1.03766666666667
RFPL2	-0.393
ZNF83	-0.603666666666667
GDPD5	-0.220625
PDCD4	0.3728
CEP350	0.3095
OR10A2	0.151666666666667
CST7	1.617
CIAO1	-0.18075
SELL	1.341375
OR8J3	0.1215
LTBP4	-0.185666666666667
SIRT6	-0.163
CCL19	4.563
PPIL1	-0.386
GBP7	-0.0546666666666667
STK17A	0.2327
ABR	0.4385
OR9G1	-1.44
FOXE1	-0.5275
CNGA3	0.7795
GML	0.243
CD38	-0.21575
ZDHHC6	-0.0628333333333333
NEFH	-2.638
CTDSP2	0.255083333333333
PGBD5	0.349333333333333
CCNY	0.76
RMND5B	-0.361916666666667
ZNF257	-2.05
FLJ22167	-0.94125
EXOSC7	-0.542
ROR2	0.613
MAOA	-1.393625
TNNT3	0.3475
GYPC	-1.15725
C7orf33	-0.5095
PLIN	3.532
LOC90826	-0.011
RNF4	-0.3434
F8A1	0.303
