Hybridization REF	TCGA-E2-A15A-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.726166666666667
CREB3L1	0.56125
RPS11	0.090875
PNMA1	-0.03625
MMP2	0.1605
C10orf90	-2.2425
ZHX3	-0.242666666666667
ERCC5	-0.2975
GPR98	-0.734142857142857
RXFP3	0.2645
APBB2	2.2875
PRO0478	-1.171875
KLHL13	-2.479
PRSSL1	0.236666666666667
PDCL3	1.33183333333333
DECR1	1.175625
SALL1	-2.97716666666667
CADM4	-0.0818333333333333
RPS18	0.125714285714286
HNRPD	-0.239833333333333
CFHR5	0.38675
SLC10A7	1.045
OR2K2	0.216
LMAN1	-0.51775
SUHW1	-3.867
CHD8	-0.7251
SUMO1	0.968
GP1BA	0.813
DDB1	0.414666666666667
MYO9B	-0.2632
MMP7	6.2395
CRNKL1	1.639375
C9orf45	-2.34083333333333
XAB2	0.218375
RTN1	1.10071428571429
KLHL14	-1.574625
TBX10	-0.7025
CENPQ	-0.00425
UTY	-2.14581818181818
ZBTB12	-0.2405
DTNBP1	0.098125
KBTBD8	-1.72016666666667
ZEB1	-0.336666666666667
ZG16	0.06075
MIER1	-0.2492
ADAM5P	0.686
CHD9	-0.4724375
STK16	0.4235
KIAA1486	-0.519
TOB2	0.403083333333333
BANK1	2.4985
OR2V2	0.2205
GRM2	0.0113333333333333
PROSC	2.0715
SPIN2B	1.03175
PIR	-1.19166666666667
IPO9	-0.3762
EVC	0.5235
CXCL13	6.06883333333333
KIAA1199	0.103
SORL1	0.69725
NAT10	-0.41925
CHD1	-0.076
SYN3	-0.093
SLC22A2	-0.56175
SERPINF1	0.7095
WDR34	-0.1815
OR7A17	0.40875
C9orf11	-0.257
RNF216L	-0.4505
LHB	-0.035
STK25	-0.8825
TAOK3	0.159625
LOC152573	-3.782
C3orf39	0.118625
C14orf108	0.6168
CDC25B	-0.868727272727273
BMP3	0.506
TMEM180	-0.0215
MAP1LC3C	-0.31025
CRYGC	-0.4695
POU3F1	-1.50988888888889
C20orf32	-1.535
CCDC95	-0.219
HIGD1B	4.0385
USP6NL	0.658125
ABCD4	-0.858666666666667
DIMT1L	-0.9645
TEK	1.091
SLC25A46	-0.79
LARP7	-1.3152
CD160	1.23733333333333
MT1JP	-0.263166666666667
PHF20	0.2789375
CPNE4	-2.3035
GTPBP1	-0.442285714285714
RAB33B	0.864333333333333
ALDOC	-1.84225
ZNF212	-0.42225
NUDT1	-0.307666666666667
RFPL2	-0.26675
ZNF83	0.219333333333333
GDPD5	-0.8615
PDCD4	1.6904
CEP350	0.16125
OR10A2	0.253
CST7	1.63575
CIAO1	-0.06675
SELL	1.233125
OR8J3	0.5815
LTBP4	-0.544833333333333
SIRT6	-0.19975
