Hybridization REF	TCGA-E2-A15M-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.91875
CREB3L1	1.60025
RPS11	0.926625
PNMA1	0.27225
MMP2	0.979666666666667
C10orf90	-1.9525
ZHX3	-0.731666666666667
ERCC5	0.15975
GPR98	0.800875
RXFP3	0.00399999999999999
APBB2	1.63325
PRO0478	-0.8395
KLHL13	-2.32875
PRSSL1	-0.419166666666667
PDCL3	0.199666666666667
DECR1	0.131375
SALL1	-3.46066666666667
CADM4	0.815
RPS18	0.162428571428571
HNRPD	-0.7755
CFHR5	-0.0555
SLC10A7	0.2655
OR2K2	-0.863
LMAN1	-0.49375
SUHW1	-2.7795
CHD8	-0.1164
SUMO1	0.4458
GP1BA	0.9895
DDB1	-0.0166666666666667
MYO9B	0.4142
MMP7	4.73725
CRNKL1	0.6035
C9orf45	-0.864
XAB2	0.774
RTN1	2.44525
KLHL14	-0.480875
TBX10	1.576
CENPQ	-0.23275
UTY	-0.895428571428571
ZBTB12	-0.119
DTNBP1	0.282375
KBTBD8	-0.475
ZEB1	1.19666666666667
ZG16	-1.08025
MIER1	0.3259
ADAM5P	0.224
CHD9	0.243375
STK16	-0.62875
KIAA1486	-0.6155
TOB2	0.455
BANK1	3.806
OR2V2	0.317
GRM2	0.164
PROSC	0.263
SPIN2B	0.38175
PIR	-2.13233333333333
IPO9	-0.0553
EVC	0.6475
CXCL13	3.88966666666667
KIAA1199	-2.7069
SORL1	1.52475
NAT10	-0.649
CHD1	0.3235
SYN3	-0.30025
SLC22A2	-0.0105
SERPINF1	1.89483333333333
WDR34	-0.78925
OR7A17	0.21625
C9orf11	-0.395
RNF216L	-0.7431
LHB	-0.22
STK25	-0.17425
TAOK3	0.903875
LOC152573	-1.42475
C3orf39	0.284125
C14orf108	0.4944
CDC25B	-1.44990909090909
BMP3	-0.343
TMEM180	-0.193
MAP1LC3C	1.7975
CRYGC	-0.0765
POU3F1	-1.0674
C20orf32	-0.762
CCDC95	-0.402
HIGD1B	4.539
USP6NL	-0.011625
ABCD4	-0.283666666666667
DIMT1L	-0.572
TEK	2.12175
