Hybridization REF	TCGA-BH-A0B5-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.000833333333333343
CREB3L1	0.7665
RPS11	0.79975
PNMA1	0.24425
MMP2	1.25916666666667
C10orf90	-2.05775
ZHX3	-0.1275
ERCC5	0.2825
GPR98	1.164625
RXFP3	0.266
APBB2	1.53175
PRO0478	-0.57625
KLHL13	-1.596
PRSSL1	-0.473
PDCL3	0.737333333333333
DECR1	0.10075
SALL1	-3.46383333333333
CADM4	0.680833333333333
RPS18	-0.783857142857143
HNRPD	0.161916666666667
CFHR5	-0.81375
SLC10A7	0.0915
OR2K2	-0.18
LMAN1	-1.137625
SUHW1	-2.6325
CHD8	-0.1887
SUMO1	0.9651
GP1BA	0.7882
DDB1	-0.7795
MYO9B	-0.1042
MMP7	5.33225
CRNKL1	0.623875
C9orf45	-0.5965
XAB2	-0.15825
RTN1	1.130875
KLHL14	-0.93275
TBX10	-0.746
CENPQ	-0.74675
UTY	-0.858
ZBTB12	0.0385
DTNBP1	0.2065
KBTBD8	-1.12416666666667
ZEB1	0.370333333333333
ZG16	-0.9685
MIER1	0.0702
ADAM5P	-1.061
CHD9	-0.8630625
STK16	1.235
KIAA1486	0.0885
TOB2	0.00349999999999998
BANK1	2.20525
OR2V2	0.25225
GRM2	0.0606666666666667
PROSC	-0.149875
SPIN2B	0.7015
PIR	-3.096
IPO9	-0.2264
EVC	1.20883333333333
CXCL13	2.1325
KIAA1199	-2.94611111111111
SORL1	1.63925
NAT10	-0.25
CHD1	-0.2455
SYN3	-0.9865
SLC22A2	-0.19125
SERPINF1	0.8445
WDR34	-0.44425
OR7A17	0.25975
C9orf11	0.5885
RNF216L	-0.729
LHB	-0.247
STK25	0.398375
TAOK3	1.5905
LOC152573	-2.55475
C3orf39	0.852625
C14orf108	0.2338
CDC25B	-1.19145454545455
BMP3	0.2785
TMEM180	0.0985
MAP1LC3C	1.17725
CRYGC	-1.1395
POU3F1	-0.9886
C20orf32	-0.7045
CCDC95	-0.267
HIGD1B	2.61
USP6NL	-0.025
ABCD4	-0.3665
DIMT1L	-0.323416666666667
TEK	1.37575
SLC25A46	-0.3425
LARP7	-1.1069
CD160	0.791
MT1JP	-1.1595
PHF20	-0.0785
CPNE4	-1.56225
GTPBP1	-0.5095
RAB33B	1.5355
ALDOC	-2.930375
ZNF212	0.0875
NUDT1	-0.0386666666666667
RFPL2	-0.27175
ZNF83	0.5535
GDPD5	-0.486
PDCD4	2.8955
CEP350	0.31625
OR10A2	0.134
CST7	0.57475
CIAO1	-1.13775
SELL	1.16975
OR8J3	0.276
LTBP4	-0.393833333333333
SIRT6	0.0935
CCL19	4.2625
PPIL1	-1.195
GBP7	0.0335
STK17A	-1.3613
ABR	0.6195
OR9G1	0.5985
FOXE1	-0.389125
CNGA3	1.2305
GML	0.216
CD38	-2.2345
ZDHHC6	0.250666666666667
NEFH	-1.04425
CTDSP2	1.22991666666667
PGBD5	-0.459666666666667
CCNY	0.450571428571429
RMND5B	0.976916666666667
ZNF257	-2.587
FLJ22167	0.682375
EXOSC7	0.120833333333333
ROR2	1.208125
MAOA	-0.650625
TNNT3	1.94183333333333
GYPC	-0.548
C7orf33	0.3185
PLIN	3.29433333333333
LOC90826	-0.39525
RNF4	-0.5025
F8A1	-0.079
PLEKHG4	-0.42475
GRB2	-0.2568
HIST1H2AD	-0.5565
DUS3L	-0.825666666666667
EIF1	-0.0595
RP5-1077B9.4	-0.5005
FPGT	1.65925
GDF10	0.993
COQ9	-0.4175
GCC2	0.115642857142857
RARRES3	2.465
PLXNA1	-0.6009
KIAA0100	-0.562
PMF1	0.569
FNDC1	5.33775
HS2ST1	-0.652416666666667
CRELD2	-0.0495
C8G	-1.6825
CD82	0.63925
LIM2	-0.6105
UNQ6490	-0.0525
