Hybridization REF	TCGA-E2-A150-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.3415
CREB3L1	0.50375
RPS11	0.166375
PNMA1	0.0295
MMP2	0.304833333333333
C10orf90	1.189
ZHX3	-0.221166666666667
ERCC5	-0.6105
GPR98	-2.130375
RXFP3	0.7955
APBB2	1.3995
PRO0478	-0.662
KLHL13	0.91775
PRSSL1	-0.847166666666667
PDCL3	1.64866666666667
DECR1	0.553
SALL1	-3.43766666666667
CADM4	0.778
RPS18	0.286285714285714
HNRPD	-0.768083333333333
CFHR5	0.2605
SLC10A7	-0.225375
OR2K2	0.013
LMAN1	0.109625
SUHW1	-2.8525
CHD8	-0.7165
SUMO1	0.9456
GP1BA	1.3251
DDB1	0.018
MYO9B	0.668
MMP7	7.00675
CRNKL1	1.033125
C9orf45	-1.47866666666667
XAB2	-0.1135
RTN1	1.572875
KLHL14	-1.389125
TBX10	-1.0325
CENPQ	0.74375
UTY	-1.32692857142857
ZBTB12	-0.322
DTNBP1	-0.97025
KBTBD8	-1.35516666666667
ZEB1	-0.366
ZG16	-1.11025
MIER1	0.6603
ADAM5P	-0.246
CHD9	0.073
STK16	0.879
KIAA1486	-0.1125
TOB2	0.202
BANK1	2.64025
OR2V2	0.36475
GRM2	0.206333333333333
PROSC	0.11575
SPIN2B	-1.73472347597681e-18
PIR	-0.471222222222222
IPO9	-0.2804
EVC	0.4925
CXCL13	5.08033333333333
KIAA1199	-1.605
SORL1	1.015
NAT10	-1.29225
CHD1	-0.73925
SYN3	-0.254
SLC22A2	-0.716
SERPINF1	-0.218
WDR34	-0.8225
OR7A17	0.32125
C9orf11	0.0545
RNF216L	-0.0508999999999999
LHB	0.1305
STK25	0.006125
TAOK3	0.95475
LOC152573	-2.9915
C3orf39	0.31875
C14orf108	0.5752
CDC25B	-0.139181818181818
BMP3	-0.3525
TMEM180	0.348
MAP1LC3C	0.04525
CRYGC	-0.5595
POU3F1	-1.2512
C20orf32	-1.1075
CCDC95	-0.0745
