Hybridization REF	TCGA-E2-A15K-06A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.48225
CREB3L1	2.21225
RPS11	0.32
PNMA1	-1.678
MMP2	-1.583
C10orf90	-2.1215
ZHX3	-0.913333333333333
ERCC5	0.67275
GPR98	0.851625
RXFP3	0.36
APBB2	2.015
PRO0478	-0.76475
KLHL13	-3.078
PRSSL1	-0.762
PDCL3	0.0458333333333333
DECR1	-0.35175
SALL1	-5.62516666666667
CADM4	1.21683333333333
RPS18	-0.189642857142857
HNRPD	-0.412916666666667
CFHR5	1.02433333333333
SLC10A7	0.873857142857143
OR2K2	0.378
LMAN1	-0.847125
SUHW1	-3.87075
CHD8	0.1522
SUMO1	0.7614
GP1BA	0.8986
DDB1	-0.668166666666667
MYO9B	-0.232
MMP7	-1.41125
CRNKL1	0.93375
C9orf45	-0.0808333333333333
XAB2	1.486625
RTN1	3.1865
KLHL14	-1.784125
TBX10	-1.275
CENPQ	-1.439
UTY	-1.32071428571429
ZBTB12	0.329
DTNBP1	-0.41975
KBTBD8	-3.01566666666667
ZEB1	-3.13916666666667
ZG16	0.77875
MIER1	-0.0124
ADAM5P	1.4175
CHD9	-0.9765625
STK16	1.125
KIAA1486	-0.5215
TOB2	1.33766666666667
BANK1	0.201
OR2V2	-0.16275
GRM2	-0.0493333333333333
PROSC	-0.049375
SPIN2B	-0.44625
PIR	-2.23344444444444
IPO9	0.191
EVC	-2.49933333333333
CXCL13	0.160166666666667
KIAA1199	-3.5404
SORL1	0.19525
NAT10	-0.28575
CHD1	-0.177
SYN3	-1.96925
SLC22A2	-1.00875
SERPINF1	-1.9665
WDR34	0.6885
OR7A17	0.548
C9orf11	-0.489
RNF216L	-1.0418
LHB	-0.001
STK25	0.062
TAOK3	-0.06575
LOC152573	-1.56025
C3orf39	-0.607
C14orf108	0.685
CDC25B	-1.886
BMP3	0.523
TMEM180	0.454
MAP1LC3C	-0.59675
CRYGC	-0.6715
POU3F1	-1.2762
C20orf32	-1.944
CCDC95	0.8115
HIGD1B	4.01125
