Hybridization REF	TCGA-A7-A13E-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.342416666666667
CREB3L1	-0.12175
RPS11	-0.077375
PNMA1	-0.71575
MMP2	-0.3305
C10orf90	-1.96775
ZHX3	-0.753
ERCC5	-0.01225
GPR98	-2.07771428571429
RXFP3	0.589
APBB2	-0.3585
PRO0478	-0.96675
KLHL13	-3.70775
PRSSL1	-0.674
PDCL3	-0.191666666666667
DECR1	0.924375
SALL1	-4.348
CADM4	0.531166666666667
RPS18	0.420285714285714
HNRPD	-0.650333333333333
CFHR5	0.352666666666667
SLC10A7	0.435375
OR2K2	1.0185
LMAN1	0.242125
SUHW1	-3.529
CHD8	-0.5594
SUMO1	0.1585
GP1BA	0.0555
DDB1	-0.690166666666667
MYO9B	1.0926
MMP7	7.14975
CRNKL1	0.72325
C9orf45	-0.272
XAB2	0.353375
RTN1	0.338875
KLHL14	-2.00225
TBX10	-1.0455
CENPQ	-1.7555
UTY	-1.85258333333333
ZBTB12	0.8155
DTNBP1	-0.00187499999999997
KBTBD8	-2.328
ZEB1	-2.17766666666667
ZG16	-1.84675
MIER1	-0.5557
ADAM5P	0.48
CHD9	0.2681875
STK16	0.41425
KIAA1486	0.0585
TOB2	0.582916666666667
BANK1	1.53175
OR2V2	0.034
GRM2	0.2125
PROSC	-0.24625
SPIN2B	-0.09525
PIR	-2.34955555555556
IPO9	-0.325
EVC	-0.2595
CXCL13	2.81383333333333
KIAA1199	0.3029
SORL1	-1.1515
NAT10	-0.87975
CHD1	-0.834
SYN3	-0.554
SLC22A2	-0.41
SERPINF1	-0.044
WDR34	-0.15325
OR7A17	0.1775
C9orf11	0.425
RNF216L	0.0221
LHB	0.0905
STK25	-0.589375
TAOK3	0.496375
LOC152573	-1.93025
C3orf39	0.412125
C14orf108	0.216
CDC25B	-0.927636363636363
BMP3	0.377
TMEM180	0.299
MAP1LC3C	-0.188
CRYGC	-1.582
POU3F1	-1.684
C20orf32	-1.602
CCDC95	-0.14
HIGD1B	3.344
USP6NL	2.02925
ABCD4	-0.803166666666667
DIMT1L	-0.417666666666667
TEK	0.07525
SLC25A46	-0.4355
LARP7	-1.0277
CD160	-0.209166666666667
MT1JP	0.356
PHF20	-0.37025
CPNE4	-2.215
GTPBP1	-0.414928571428571
RAB33B	1.35633333333333
ALDOC	-1.082875
ZNF212	0.42425
NUDT1	0.0185
RFPL2	-1.50025
ZNF83	-0.286666666666667
GDPD5	0.694
PDCD4	0.97685
CEP350	0.0505
OR10A2	0.0275
CST7	-0.29275
CIAO1	-0.512
SELL	-0.101
OR8J3	-0.13
LTBP4	-0.224666666666667
SIRT6	-0.2375
CCL19	3.21925
PPIL1	-0.329833333333333
GBP7	-0.296
STK17A	-1.5423
ABR	-2.02525
OR9G1	0.2885
FOXE1	-0.426
CNGA3	-0.3415
GML	0.227
CD38	-2.665
ZDHHC6	-0.1175
NEFH	-3.07275
CTDSP2	0.10125
PGBD5	1.93883333333333
CCNY	1.283
RMND5B	-0.0691666666666667
ZNF257	-4.7345
FLJ22167	0.78575
EXOSC7	0.561166666666667
ROR2	-0.039875
MAOA	-0.200625
TNNT3	0.2005
GYPC	-1.9385
C7orf33	3.093
PLIN	3.11083333333333
LOC90826	-0.098
RNF4	-0.7924
F8A1	0.0221666666666667
PLEKHG4	0.5675
GRB2	-0.6733
HIST1H2AD	-0.5385
DUS3L	-0.548666666666667
EIF1	-0.109
RP5-1077B9.4	0.0515
FPGT	0.545
GDF10	3.47666666666667
COQ9	0.4985
GCC2	-0.835571428571429
RARRES3	-0.58575
PLXNA1	-0.1
KIAA0100	-0.2959
PMF1	0.067
FNDC1	5.3645
HS2ST1	-0.0948333333333333
CRELD2	-0.5565
C8G	0.075
CD82	1.023
LIM2	-0.865
UNQ6490	0.3505
MMP16	-1.15675
DRD3	0.357
C5orf26	-0.801
C11orf73	1.427
PTP4A2	-0.206375
OR4M2	0.0025
HPCA	-0.929833333333333
SEC14L1	-0.511666666666667
CHFR	-0.1855
EMILIN1	1.536875
NDUFS4	-0.318
COL18A1	-0.154625
PDZD3	0.4232
C9orf16	0.3016
ERBB2IP	-0.369
EMX2	2.36775
FUS	-1.1555
TF	-3.59566666666667
CLCN4	1.37683333333333
CXorf56	-0.165
C11orf72	0.45275
ELAC2	-0.0788333333333333
NPR1	-1.08625
ASS1	-1.34566666666667
USP42	0.521125
POLR2J	-0.4305
SEC23IP	-0.590166666666667
UQCRC1	0.47125
LOC729603	0.1355
C1orf71	-0.201125
POLG	-2.288
ADAM23	-4.042
TFR2	0.23875
RICTOR	-0.2425
MGC39606	-0.5445
C19orf55	0.691
SNAPC1	-0.939
GNA11	-0.125
CCDC52	0.506166666666667
FSIP1	-0.266
UPF3A	-0.26825
IGSF11	-3.1
LAGE3	-0.08225
CHST6	1.6685
UNC13B	0.466875
TTLL4	0.124875
ZNF687	0.3475
SDC2	0.0348
COX7A2	0.322
LAMB4	-0.73625
FAM24A	0.7615
LRRTM3	-0.802833333333333
GPHB5	0.30725
OR4C13	0.5575
EIF3EIP	0.113
HABP4	-0.395
TMEM125	4.319
CNTN2	-0.125125
ASNSD1	-0.738
FUT4	-0.812625
ACF	-3.79275
LOC158381	-0.2425
CDH8	-0.2705
AGPS	-1.10766666666667
C4orf18	0.86
PECI	-3.4265
UNG	-0.31025
GSTP1	-0.23175
DCUN1D5	-0.698833333333333
DKFZP564J0863	-0.15075
SLC9A3R1	-0.28
BCDO2	0.2095
CHMP7	-1.001875
REM2	0.138
DNHD1	0.090875
FKBP4	0.265375
ZNF350	0.45425
MGC11102	-0.098125
BST1	1.28075
KISS1R	0.642
NCR2	-0.1535
DEFB125	0.667
UBE2W	1.0445
KRT15	4.28175
C10orf99	0.3375
SCN11A	-0.46975
GFI1	-3.015
RDHE2	-0.859166666666667
FHL1	-1.57816666666667
OSGEP	-0.270166666666667
GATA1	-3.14716666666667
SMC6	-0.000749999999999997
TTTY14	-0.9465
LPIN3	-0.1405
RPL4	-0.5792
RBPMS	-1.1969
PRPF3	0.663333333333333
EMR1	-2.668
SPATA19	-0.101
XCR1	0.291
IRX3	2.3005
RBM6	-0.20675
KLF4	-2.0185
UNC5CL	-0.1195
SEBOX	-0.0355
BTK	-1.62425
KRCC1	1.4825
C6orf27	0.7565
SYTL5	-0.757
PRND	2.9625
LOC653319	-0.477
PIGL	0.292125
HUS1	0.557333333333333
SFRS6	0.846916666666667
C17orf77	0.4815
UIMC1	-0.593333333333333
FXYD2	-1.6295
LOC283152	-0.80525
ZNF667	0.50775
ZCCHC12	-1.30975
TFEC	2.4507
ATP7B	-1.52916666666667
POLD2	-0.277666666666667
RG9MTD1	0.29225
ACOT2	-1.50766666666667
HIST1H4I	-1.342875
PPARGC1A	-0.5286
ETFA	-2.6094
POLRMT	-0.064
ZNF146	1.820375
MIA2	-2.1495
KLHL6	-1.82433333333333
HOXB5	-1.47225
NENF	0.474666666666667
CUGBP1	-0.48725
PRSS22	2.26
CASC4	0.7126
CUL4B	-0.2137
CENPJ	-1.692
PITX1	0.076
FLJ31033	0.585833333333333
CELSR3	-0.803666666666667
ZNF568	1.464
ITSN1	-0.953666666666667
EHBP1L1	-0.975166666666667
C19orf2	0.71425
DCTN1	0.56925
LIN28B	-4.37866666666667
TNKS2	-0.024
C1QBP	-0.269625
CADPS2	-2.171
SRMS	0.402
GJA9	0.157166666666667
MGC24975	-0.798
TRIM45	-0.778333333333333
TSP50	-0.6795
TCP1	-0.12075
TMED7	-0.4376
CMA1	0.5075
CENPL	-0.637666666666667
PTCRA	-0.0715
FST	-3.85375
VWCE	-4.0915
PAWR	-0.43
ABCC12	0.1138
LDLR	-0.2696
ASTN2	-1.4445
LOC441212	0.50725
GPATCH8	0.479
TANC2	-2.0635
KIF4A	-2.2465
C18orf18	-1.37225
PGM1	-0.08375
KIAA0258	1.69025
CPD	-0.468
SNCAIP	-2.47425
DCT	-4.1215
HLA-DOA	2.22909090909091
OR11L1	0.701
UPK1B	0.323166666666667
DNAJB4	0.124625
UGT1A8	-0.69725
HIST1H4L	-1.205
PECR	-1.41483333333333
HSPA2	1.32525
WFIKKN1	-2.095
SERP1	0.422
SYDE2	0.07325
TACR2	0.162
NUP85	-0.08925
CD177	-0.321333333333333
LGR5	-2.07716666666667
PIGG	-0.599666666666667
PTHR1	-1.945
RAB5A	0.4515
FLJ13224	0.258
USP9Y	-1.513
C7orf53	0.4895
LRP1B	-1.47225
XAF1	0.9478
ABCG8	-0.1265
ANKDD1A	-1.2415
DAND5	1.077
SPAG6	-0.065
LINCR	2.07025
ZDHHC22	-1.281
CCDC60	0.5965
THOC7	-1.03566666666667
TCTA	0.0596
OR8K3	-0.37175
NY-REN-7	-1.14125
B2M	1.061
C6orf141	-2.0945
LPPR4	2.50725
SQLE	-0.48375
SEPHS1	1.1425
BTBD14B	1.07421428571429
PLRG1	0.648
SPG7	-0.6973125
ZNF614	0.0181666666666667
PARD6G	-0.0255
INPP5B	-0.2822
GRPEL2	0.28825
PPID	-0.184
TRIM56	-0.749
UBE2J1	0.8095
IL20RA	2.98925
LOC387856	-0.05325
C1orf107	1.735
UTS2R	0.512
C19orf22	0.37675
SAFB2	-0.804875
KIAA0652	-0.02975
KLRG1	0.908333333333333
MS4A8B	0.506
FRAG1	0.9435
KIAA1546	1.3755
E2F4	-1.0968
CLEC4M	0.0911666666666667
BTBD14A	-1.2165
KIAA0999	0.6653
GYPA	-3.72516666666667
TAC1	-0.6914
TRAIP	-0.612333333333333
KIAA0232	-0.5229
ERCC8	-0.977625
GPX4	0.1655
KIAA0368	-1.24675
GPR157	-0.223833333333333
CTAGE4	1.7595
C9orf30	0.245833333333333
OR52A1	0.901
HSP90B3P	-0.407
ALG9	-0.2316
BTBD10	0.19175
SDK2	0.1205
BAIAP3	-1.48275
RABGGTB	-1.35425
ANKRD40	0.00983333333333334
KRT74	0.6875
CALCOCO2	-0.183642857142857
SNCA	-1.58725
TMSL8	-2.524375
C2orf53	-0.4155
ESRRB	-0.43225
ARHGAP26	-2.275875
TDRD9	-3.368
HRAS	-0.534166666666667
KLRC4	-1.757
JAGN1	0.299166666666667
BSDC1	0.68675
RNF43	-0.2808
NDUFAF1	-0.1065
PHF12	0.548
OR1L3	0.43725
FOLR2	1.71158333333333
LYZL6	0.0831666666666667
tcag7.1260	-2.5115
WSB1	-1.1475
PROS1	-1.1088
OSTN	-0.1055
PSMB8	0.34425
SOCS4	-0.075625
DDIT4L	3.053
MAS1	-0.1365
MGC34796	0.339
CSHL1	0.0385
TBCCD1	0.1835
ZBTB7C	0.5075
AP2S1	-1.029625
P15RS	1.115
VAT1	0.1928
SHANK3	0.815166666666666
TUFM	-0.270666666666667
THEG	-0.228
KRT34	-1.6375
SGSM3	0.5445
TOMM22	-0.604125
SOCS3	-0.831333333333333
CPO	1.658
POP4	0.343
BHLHB3	2.91775
MALL	2.8625
OR1B1	-0.618
PARK2	0.551
GPR124	0.363625
LCE1E	-0.5515
RUVBL2	-0.86775
CGRRF1	0.0465
ACPL2	0.434
WNT10B	-2.356875
BAIAP2L2	1.12275
ISCA1	0.2565
C1orf125	0.45
RPAP1	-0.23375
RAI16	-1.38633333333333
RPL27	-0.0445
NLRP9	-0.337
EPN1	0.37
LOC388610	0.666625
SLC35A1	0.5704
GAL	-1.8345
SLC14A2	0.10975
RDH11	-1.00716666666667
FAM138F	0.044
AUH	0.3395
FLJ40243	0.06075
C14orf129	0.0606666666666667
MBD2	-0.183166666666667
ABHD14B	0.489
PIGT	0.403375
ALS2CR4	-0.243
ALAS1	-0.077
FOXO1	-0.677333333333333
CRLF3	0.61675
C20orf107	-0.429
FARS2	0.7
CCDC28A	1.362
NPHP3	-0.63275
OR13F1	0.3655
TSEN54	-0.6
DEFB106B	0.1325
OR8B4	-0.26
STH	0.678
ZC3H14	-0.2925
CBX2	-0.417
TMEM49	-1.17775
C6orf21	0.679
FLJ20920	0.418875
CRTAP	-0.547
DDX50	1.522
STYXL1	-0.01975
BLVRB	-0.865833333333333
LOC147650	0.760333333333333
MMP24	0.13325
GRID1	1.27883333333333
BANF1	-0.727833333333333
CTAGEP	0.655
HMBS	-1.4375
SLC25A24	-0.326
C14orf50	2.797
MRO	0.727333333333333
SLC25A15	-0.79725
FAM84B	1.3958
TDP1	-0.8885
C16orf78	-0.0746666666666667
C11orf57	-0.286625
RFK	-1.029625
ZFYVE9	-0.693625
STCH	0.292
WIBG	-0.099
LOC283871	-0.441
GBA2	-0.1082
NDUFB3	-0.16525
HSD17B13	-1.79725
GRIN3A	0.870833333333333
FMNL1	-1.0125
SEPT7	-0.5048
GNLY	1.182
GRAMD1C	1.44366666666667
ZNF165	0.78
USP38	0.3515
FAM83A	-2.04533333333333
C14orf24	0.819333333333333
ARMCX3	0.135375
ARHGDIB	-1.71816666666667
AK1	0.02875
KIAA1045	0.52225
DNAJB13	-0.315333333333333
NEU2	-0.6115
HIST1H4B	-0.678166666666667
FAM20B	0.4115
HES2	0.210642857142857
FAM73B	-0.6503
LOC388381	1.14275
INTS7	-0.239090909090909
AMPH	-0.51
ZNF775	0.398875
UCKL1	0.2605
C10orf97	-0.1735
C1orf161	-0.111
ALDH1L1	-1.0395
FLJ39378	-0.289625
SLC23A1	-1.417
RBM4B	-0.65225
THAP4	-0.0301666666666667
OGFRL1	3.55775
KIAA0831	0.072875
PPP1R15A	0.0956666666666667
C1orf96	1.08371428571429
C12orf11	0.00725
BMF	0.35725
MAN1A1	-2.05025
KIAA1600	-0.195166666666667
NLGN4X	-2.51775
ALOX12	-0.828666666666667
RB1CC1	0.537
NEIL2	-0.00109999999999998
EIF4E	0.0235
ABHD5	0.04125
EXOC4	0.687666666666667
CIP29	-0.102
BATF2	-0.53875
SLC29A4	0.312
HTR4	-0.102
EMB	-2.262
TRAF6	0.3875
LMNB1	-4.01625
FAM19A5	-1.86625
SHE	0.5175
PIK3C2B	0.77575
C15orf15	-0.8135
USP15	-0.508
TCEAL2	-0.6665
C5orf39	2.72683333333333
PTGER2	-1.441
SLC31A1	-1.1513125
IFT172	2.416
ADAM29	0.02225
GFOD1	0.52175
ST7L	0.831833333333333
C15orf26	-2.92825
PKN3	-0.916
CNTD1	1.72783333333333
COMMD1	0.39425
NTRK2	1.76616666666667
FOXN3	0.17225
MFGE8	0.9514
PFKFB2	1.31
TAS2R4	-1.04025
ENTHD1	1.1165
PRMT5	-0.830125
MGC16384	-1.1865
LOC442229	1.3765
TSKU	1.362625
KRTCAP3	4.315375
PDLIM1	-1.1781
KCNS2	-0.286
RNF126	-0.197666666666667
CEP63	-0.285375
CLIC4	0.673875
hCG_1990170	5.659
ACR	1.2789
KLK7	5.34175
ALOX5AP	2.267375
RIPK3	3.15375
TAS2R9	0.6925
C19orf18	1.872
BIRC6	0.728428571428571
ZNF16	1.253
RFT1	-0.234
SLC8A2	-0.87725
TACC1	-1.808125
ITGAD	0.01725
SAMHD1	0.28175
SH3PXD2B	1.3417
EPC2	0.467
C20orf85	0.17575
ATP13A2	0.506
KRT4	0.361875
CAPNS1	1.19
MDM2	-0.57675
PCDH20	0.61375
KCNK9	0.592
OR2C1	0.1705
KLHDC3	-0.4455
IPPK	0.3795
EFHD2	-0.90975
GALR3	0.6805
NBEA	-2.501
ABCA6	1.1876
CLDN3	2.0095
AKT2	-0.897142857142857
EGFR	1.9328
RBM16	0.14225
ZDHHC3	-0.1275
SLC25A4	-0.3585
CYB5B	-0.480166666666667
CPXM1	-1.36325
NDRG1	0.766615384615385
FLJ43826	-0.07775
OR5L2	0.315666666666667
FARP2	-0.1088
MRPL46	-0.557166666666667
LDHAL6B	0.0228
MAPKAPK3	-0.676166666666667
NCAM2	-3.3005
PRKD2	-0.180166666666667
ZFP36L1	1.8757
CYSLTR1	-2.3375
OR4C3	0.32275
HIST1H2AJ	2.446
CCNB2	-1.25855555555556
ZNF10	0.69125
TMEM175	0.305
FAM134A	0.429666666666667
TIGD4	0.421
PCNP	-0.56675
MGC39715	0.31325
LQK1	0.44175
CREB1	-0.2974
TMPRSS3	2.2245
C4orf32	-2.393375
LAT	-2.09375
KCNA3	-0.7205
SKIV2L2	-0.8
ROPN1B	5.213
tcag7.23	-0.6465
CDT1	-2.146875
ZHX2	0.97575
CD28	-3.31575
ZNF624	0.577
SEPT2	-0.054
SOHLH2	2.311875
MCOLN3	-0.380625
UNQ1945	0.135
MASP2	-1.2265
ZNRF3	-0.6574
GPATCH3	0.14575
AGL	0.328
QRICH2	0.3965
PSD4	0.168166666666667
CCNB1IP1	-0.901
ENPP7	-0.18975
OBFC1	0.0835
KCNG3	0.00925
C14orf79	0.50275
ENPEP	1.43033333333333
SCT	1.2345
SKI	1.153625
SEC61G	0.94875
CAPN11	-0.961
ATXN7L3	-0.08475
DBNDD1	0.474666666666667
FAIM	0.262
ANKRD36	-1.5
GABRP	5.28266666666667
TACSTD2	2.86533333333333
EIF3J	-0.31
PPP2R2A	-1.07975
TEKT4	-0.389833333333333
PVALB	-3.57633333333333
F10	-3.08816666666667
FAM134C	0.7558
COMP	4.213875
EFCBP1	-3.7393125
