Hybridization REF	TCGA-BH-A0HA-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0423333333333333
CREB3L1	1.68075
RPS11	0.7575
PNMA1	-0.6765
MMP2	2.16166666666667
C10orf90	-1.8765
ZHX3	-0.475166666666667
ERCC5	-0.33625
GPR98	0.686833333333333
RXFP3	0.577
APBB2	0.39775
PRO0478	-0.892375
KLHL13	-0.304
PRSSL1	-0.847833333333333
PDCL3	-0.00883333333333333
DECR1	-0.36225
SALL1	-2.627
CADM4	0.329833333333333
RPS18	0.658071428571429
HNRPD	-0.599166666666667
CFHR5	-0.308833333333333
SLC10A7	0.413875
OR2K2	-1.8835
LMAN1	-0.597125
SUHW1	-4.26725
CHD8	0.0556
SUMO1	0.426
GP1BA	1.3449
DDB1	-0.098
MYO9B	0.0405
MMP7	5.7875
CRNKL1	0.5695
C9orf45	-0.558333333333333
XAB2	0.990375
RTN1	2.01628571428571
KLHL14	-0.542375
TBX10	-2.27
CENPQ	-1.86625
UTY	-1.51453846153846
ZBTB12	0.7715
DTNBP1	-0.443125
KBTBD8	-1.42783333333333
ZEB1	0.177666666666667
ZG16	-1.4295
MIER1	0.0474
ADAM5P	0.814
CHD9	-0.3255
STK16	0.449
KIAA1486	-1.8405
TOB2	0.802083333333333
BANK1	2.689
OR2V2	0.2475
GRM2	0.230166666666667
PROSC	0.1645
SPIN2B	-0.22825
PIR	-2.89322222222222
IPO9	0.2657
EVC	1.45716666666667
CXCL13	3.4285
KIAA1199	-1.3965
SORL1	1.0555
NAT10	-0.187
CHD1	-0.315
SYN3	-1.1855
SLC22A2	-0.0105
SERPINF1	2.19383333333333
WDR34	-0.443
OR7A17	-0.20575
C9orf11	0.4635
RNF216L	-0.9311
LHB	-0.2775
STK25	0.24725
TAOK3	1.3435
LOC152573	-2.1205
C3orf39	0.51025
C14orf108	0.5533
CDC25B	-1.75245454545455
BMP3	0.073
TMEM180	0.5285
MAP1LC3C	2.489
CRYGC	-1.367
POU3F1	-1.401
C20orf32	-2.0265
CCDC95	0.249
HIGD1B	4.2695
USP6NL	-0.080625
ABCD4	-0.216
DIMT1L	-0.687166666666667
TEK	2.088
SLC25A46	-0.99925
LARP7	-1.3543
CD160	1.17966666666667
MT1JP	0.37
PHF20	0.1884375
CPNE4	-2.31075
GTPBP1	-0.00578571428571428
RAB33B	0.773
ALDOC	-2.872
ZNF212	-0.29225
NUDT1	-1.52966666666667
RFPL2	-0.04825
ZNF83	0.145166666666667
GDPD5	-0.503375
PDCD4	2.8739
CEP350	0.4835
OR10A2	0.1635
CST7	1.42075
CIAO1	-1.087
SELL	1.53975
OR8J3	0.2275
LTBP4	0.4745
SIRT6	0.0925
CCL19	3.82575
PPIL1	-1.1115
GBP7	0.7636
STK17A	-0.944
ABR	0.41425
OR9G1	0.233
FOXE1	-0.382625
CNGA3	2.0765
GML	0.4635
CD38	-2.56775
ZDHHC6	0.128666666666667
NEFH	0.026
CTDSP2	0.871833333333333
PGBD5	-0.960833333333333
CCNY	0.547571428571429
RMND5B	0.461416666666667
ZNF257	-1.06025
FLJ22167	-0.00899999999999999
EXOSC7	-0.669333333333333
ROR2	1.893625
MAOA	1.59225
TNNT3	2.31516666666667
GYPC	-0.4565
C7orf33	0.9795
PLIN	3.259
LOC90826	0.1605
RNF4	0.0229
F8A1	0.1215
PLEKHG4	-2.05125
GRB2	-0.000199999999999977
HIST1H2AD	-0.08175
DUS3L	-0.502
EIF1	-0.458166666666667
RP5-1077B9.4	-0.926666666666667
FPGT	1.0885
GDF10	2.82033333333333
COQ9	-0.409
GCC2	-0.273857142857143
RARRES3	1.7495
PLXNA1	-0.1951
KIAA0100	0.0337
PMF1	1.04925
FNDC1	4.7175
HS2ST1	0.0319166666666667
CRELD2	0.93525
C8G	-2.044
CD82	0.589
LIM2	-0.8275
UNQ6490	-0.2265
MMP16	0.74225
DRD3	-1.15375
C5orf26	-0.5255
C11orf73	-0.271375
PTP4A2	0.753625
OR4M2	-1.2425
HPCA	-0.9255
SEC14L1	-0.684833333333333
CHFR	-0.164625
EMILIN1	1.52
NDUFS4	-0.50825
COL18A1	0.47225
PDZD3	-0.2791
C9orf16	0.681833333333333
ERBB2IP	0.441833333333333
EMX2	4.924
FUS	-0.29275
TF	-3.1729
