Hybridization REF	TCGA-E2-A156-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0139166666666667
CREB3L1	-0.54425
RPS11	-0.1565
PNMA1	0.262
MMP2	-1.07483333333333
C10orf90	-1.87
ZHX3	-0.278333333333333
ERCC5	0.168
GPR98	0.402875
RXFP3	0.3095
APBB2	1.88475
PRO0478	-1.136375
KLHL13	-3.7315
PRSSL1	0.149666666666667
PDCL3	0.484833333333333
DECR1	0.5555
SALL1	-3.65366666666667
CADM4	1.24983333333333
RPS18	0.209785714285714
HNRPD	-0.47075
CFHR5	0.242833333333333
SLC10A7	0.248625
OR2K2	-0.087
LMAN1	-0.93675
SUHW1	-2.76375
CHD8	0.0904
SUMO1	0.1082
GP1BA	-0.1029
DDB1	-0.168333333333333
MYO9B	-0.5571
MMP7	2.366
CRNKL1	1.04325
C9orf45	-0.7255
XAB2	0.55775
RTN1	2.054375
KLHL14	-1.05525
TBX10	-0.9465
CENPQ	-1.79125
UTY	0.0725714285714285
ZBTB12	0.308
DTNBP1	-0.236375
KBTBD8	-1.88316666666667
ZEB1	-0.7935
ZG16	-1.53525
MIER1	0.1628
ADAM5P	-0.0225
CHD9	-0.9605625
STK16	0.1175
KIAA1486	-0.401
TOB2	1.04608333333333
BANK1	0.995
OR2V2	-0.0745
GRM2	0.355333333333333
PROSC	0.16375
SPIN2B	0.19975
PIR	-2.41388888888889
IPO9	-0.6077
EVC	-0.259833333333333
CXCL13	2.004
KIAA1199	-1.1122
SORL1	1.0915
NAT10	-0.60825
CHD1	-0.5225
SYN3	0.06925
SLC22A2	-0.577
SERPINF1	-1.683
WDR34	-0.3925
OR7A17	0.71625
C9orf11	-0.689
RNF216L	-1.2329
LHB	-0.3925
STK25	-0.505125
TAOK3	0.906875
LOC152573	-2.36225
C3orf39	0.876375
C14orf108	0.5969
CDC25B	-2.56854545454545
BMP3	0.1285
TMEM180	0.0335
MAP1LC3C	-0.1375
CRYGC	-0.788
POU3F1	-1.2258
C20orf32	-0.9995
CCDC95	0.195
HIGD1B	3.75075
USP6NL	-0.04925
ABCD4	0.0865
DIMT1L	-0.611666666666667
TEK	0.12575
SLC25A46	-0.243
LARP7	-1.3838
CD160	-0.0686
MT1JP	-2.112
PHF20	0.1935625
CPNE4	-0.96175
GTPBP1	-0.153
RAB33B	1.02216666666667
ALDOC	-3.768125
ZNF212	-0.022
NUDT1	-1.5115
RFPL2	-1.084
ZNF83	-0.113666666666667
GDPD5	-1.730125
PDCD4	2.37495
CEP350	-0.2085
OR10A2	0.16125
CST7	-0.6445
CIAO1	-1.6275
SELL	0.00275
OR8J3	0.9725
LTBP4	-0.636833333333333
SIRT6	0.209
CCL19	0.62425
PPIL1	-0.853833333333333
GBP7	0.122333333333333
STK17A	-1.8624
ABR	0.17675
OR9G1	0.266
FOXE1	-0.25275
CNGA3	0.498
GML	0.175
CD38	-4.1885
ZDHHC6	0.114
NEFH	-3.1125
CTDSP2	1.03966666666667
PGBD5	-1.7025
CCNY	0.124214285714286
RMND5B	0.9175
ZNF257	-1.39475
FLJ22167	-0.323625
EXOSC7	-0.450833333333333
ROR2	0.92325
MAOA	2.11325
TNNT3	-0.0948333333333333
GYPC	-2.047
C7orf33	0.9575
PLIN	1.55083333333333
LOC90826	0.40525
RNF4	0.1874
F8A1	0.9055
PLEKHG4	-1.36425
GRB2	1.4124
HIST1H2AD	-0.426
DUS3L	-0.715166666666667
EIF1	-0.105333333333333
RP5-1077B9.4	-1.13283333333333
FPGT	1.8835
GDF10	-1.6845
COQ9	-0.99475
GCC2	0.203857142857143
RARRES3	3.203625
PLXNA1	-0.9623
KIAA0100	0.1146
PMF1	-0.38875
FNDC1	4.394
HS2ST1	-0.0354166666666667
CRELD2	0.1525
C8G	-1.487
CD82	0.866
LIM2	-0.803
UNQ6490	0.2645
MMP16	-0.969
DRD3	-0.15725
C5orf26	-0.0085
C11orf73	-0.395
PTP4A2	1.4825
OR4M2	0.9595
HPCA	-1.41216666666667
SEC14L1	-0.7235
CHFR	-0.31675
EMILIN1	-0.00324999999999999
NDUFS4	0.18825
COL18A1	-0.7875
PDZD3	-0.0354
C9orf16	-0.160666666666667
ERBB2IP	-0.275333333333333
EMX2	0.785
FUS	-0.50025
TF	-4.8895
CLCN4	-0.645666666666667
CXorf56	0.61675
C11orf72	0.081
ELAC2	-0.954166666666667
NPR1	-1.079
ASS1	-1.597
USP42	-0.969125
POLR2J	-0.4495
SEC23IP	1.06416666666667
UQCRC1	-0.43325
LOC729603	-0.37325
C1orf71	0.10325
POLG	-1.861
ADAM23	-4.6385
TFR2	-1.43825
RICTOR	-0.5099
MGC39606	1.272
C19orf55	-0.09725
SNAPC1	-1.654
GNA11	0.9155
CCDC52	0.954666666666667
FSIP1	4.466
UPF3A	-0.157
IGSF11	-2.21333333333333
LAGE3	-0.16825
CHST6	-3.331
UNC13B	2.397375
TTLL4	-1.98925
ZNF687	-0.010875
SDC2	-1.319
COX7A2	0.17575
LAMB4	0.2615
FAM24A	0.169
LRRTM3	-0.0645
GPHB5	0.12025
OR4C13	0.2605
EIF3EIP	0.2445
HABP4	-1.202
TMEM125	4.09225
CNTN2	0.051
ASNSD1	-0.34925
FUT4	-0.548375
ACF	-4.12225
LOC158381	1.1145
CDH8	-0.872
AGPS	-1.4145
C4orf18	2.32925
PECI	0.214083333333333
UNG	-0.415
GSTP1	-3.04875
DCUN1D5	-1.14466666666667
DKFZP564J0863	-1.19
SLC9A3R1	1.74075
BCDO2	-0.31625
CHMP7	0.399625
REM2	0.5815
DNHD1	-0.401125
FKBP4	0.499625
ZNF350	1.99625
MGC11102	-0.239
BST1	0.2535
KISS1R	1.175
NCR2	-0.015
DEFB125	0.8055
UBE2W	1.01
KRT15	1.37225
