Hybridization REF	TCGA-E2-A15I-11A-32R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.800916666666667
CREB3L1	0.11025
RPS11	1.241625
PNMA1	0.375
MMP2	0.759166666666667
C10orf90	-0.39875
ZHX3	0.582333333333333
ERCC5	0.87175
GPR98	-1.84116666666667
RXFP3	0.698
APBB2	1.60025
PRO0478	-0.98175
KLHL13	0.356
PRSSL1	0.108333333333333
PDCL3	-0.677666666666667
DECR1	2.04175
SALL1	-3.45866666666667
CADM4	-0.682666666666667
RPS18	0.621357142857143
HNRPD	-0.69025
CFHR5	-0.0314
SLC10A7	0.217375
OR2K2	-0.5435
LMAN1	-1.083
SUHW1	-3.7215
CHD8	-0.4764
SUMO1	0.3052
GP1BA	0.4097
DDB1	-0.524833333333333
MYO9B	-1.0347
MMP7	6.6315
CRNKL1	0.00137499999999999
C9orf45	-1.1725
XAB2	0.756625
RTN1	3.945375
KLHL14	-0.1435
TBX10	-1.285
CENPQ	-1.2095
UTY	-1.54284615384615
ZBTB12	-0.6275
DTNBP1	0.0639999999999999
KBTBD8	-1.38383333333333
ZEB1	0.7865
ZG16	0.39175
MIER1	0.2316
ADAM5P	-1.4175
CHD9	0.248125
STK16	0.43625
KIAA1486	-0.4305
TOB2	1.795
BANK1	5.8785
OR2V2	-0.18375
GRM2	0.374666666666667
PROSC	0.177375
SPIN2B	0.27725
PIR	-0.315
IPO9	-1.4189
EVC	0.844166666666667
CXCL13	1.29366666666667
KIAA1199	-4.7704
SORL1	-0.234
NAT10	-1.11775
CHD1	-0.96875
SYN3	0.11775
SLC22A2	-0.29725
SERPINF1	2.5575
WDR34	-1.94725
OR7A17	0.20125
C9orf11	0.2785
RNF216L	-0.3721
LHB	0.0305
STK25	0.013375
TAOK3	-0.049
LOC152573	-1.01125
C3orf39	0.3155
C14orf108	0.2853
CDC25B	-2.29681818181818
BMP3	4.8185
TMEM180	0.098
MAP1LC3C	4.437
CRYGC	-0.822
POU3F1	-1.628
C20orf32	-1.5605
CCDC95	-0.2905
HIGD1B	5.45325
USP6NL	0.24575
ABCD4	0.391
DIMT1L	-0.174416666666667
TEK	3.06375
SLC25A46	0.277
LARP7	-0.8639
CD160	1.4005
MT1JP	2.11
PHF20	-0.638375
CPNE4	1.5755
GTPBP1	-0.181714285714286
RAB33B	1.58133333333333
ALDOC	-0.336875
ZNF212	-0.4915
NUDT1	-1.16783333333333
RFPL2	-1.2175
ZNF83	-0.250666666666667
GDPD5	1.3825
PDCD4	1.897
CEP350	-0.5165
OR10A2	0.645
CST7	0.57425
CIAO1	-0.68625
SELL	0.274625
OR8J3	0.5185
LTBP4	1.34483333333333
SIRT6	-0.82925
CCL19	4.25175
PPIL1	-2.24816666666667
GBP7	-0.0106666666666666
STK17A	-1.1544
ABR	-0.24525
OR9G1	-0.855
FOXE1	-0.578625
CNGA3	0.179
GML	0.072
CD38	-0.58975
ZDHHC6	-0.202333333333333
NEFH	-2.86425
CTDSP2	1.11841666666667
PGBD5	-1.71716666666667
CCNY	0.306285714285714
RMND5B	0.828416666666667
ZNF257	-1.798
FLJ22167	-0.435375
EXOSC7	-0.372833333333333
ROR2	0.099625
MAOA	5.217625
TNNT3	4.6535
GYPC	2.01525
C7orf33	0.9425
PLIN	5.10683333333333
LOC90826	0.2425
RNF4	-0.7349
F8A1	0.5685
PLEKHG4	-1.49775
GRB2	-0.8654
HIST1H2AD	-0.95
DUS3L	-1.15616666666667
EIF1	1.04566666666667
RP5-1077B9.4	-0.4595
FPGT	1.22825
GDF10	4.6985
COQ9	0.29275
GCC2	-0.263714285714286
RARRES3	1.688375
PLXNA1	-0.66
KIAA0100	-0.4977
PMF1	-0.20625
FNDC1	5.625
HS2ST1	-0.34225
CRELD2	-0.25975
C8G	-1.175
CD82	0.43
LIM2	-1.3095
UNQ6490	-1.016
MMP16	-0.8225
DRD3	-0.3595
C5orf26	1.38275
C11orf73	0.448375
PTP4A2	0.538375
OR4M2	-0.5555
HPCA	-1.45183333333333
SEC14L1	-0.0643333333333333
CHFR	-0.886125
EMILIN1	0.792625
NDUFS4	1.28
COL18A1	-0.415875
PDZD3	0.2141
C9orf16	-0.157
ERBB2IP	-0.247333333333333
EMX2	6.09125
FUS	-2.139
TF	-0.0667
CLCN4	1.20966666666667
CXorf56	0.454
C11orf72	0.20675
ELAC2	-0.343416666666667
NPR1	2.982
ASS1	1.11666666666667
USP42	-0.6485
POLR2J	-0.015
SEC23IP	-0.2815
UQCRC1	0.1945
LOC729603	-0.2475
C1orf71	-0.577
POLG	-3.299
ADAM23	-3.6645
TFR2	-1.1005
RICTOR	-0.6417
MGC39606	2.1715
C19orf55	-0.43625
SNAPC1	-0.626833333333333
GNA11	0.246375
CCDC52	-0.789666666666667
FSIP1	-0.7575
UPF3A	-0.383625
IGSF11	-2.404
LAGE3	-1.062
CHST6	-3.7405
UNC13B	0.4115
TTLL4	-1.781375
ZNF687	-0.3995
SDC2	0.965
COX7A2	0.3445
LAMB4	-0.9505
FAM24A	-0.24
LRRTM3	-2.2878
GPHB5	1.16175
OR4C13	-1.714
EIF3EIP	1.28764285714286
HABP4	0.8045
TMEM125	0.64875
CNTN2	1.199125
ASNSD1	0.367
FUT4	0.243125
ACF	-3.446
LOC158381	1.206
CDH8	0.4405
AGPS	-0.495833333333333
C4orf18	2.809375
PECI	0.951
UNG	-0.724
GSTP1	-0.141625
DCUN1D5	-1.243
DKFZP564J0863	-0.9615
SLC9A3R1	-2.15125
BCDO2	-0.12325
CHMP7	-0.295125
REM2	0.057
DNHD1	0.196625
FKBP4	-1.9695
ZNF350	1.08575
MGC11102	-0.18075
BST1	2.74325
KISS1R	0.4345
NCR2	0.182
DEFB125	1.296
UBE2W	0.97225
KRT15	3.25
C10orf99	0.398
SCN11A	2.14475
GFI1	-2.37375
RDHE2	-0.0296666666666667
FHL1	3.54766666666667
OSGEP	-0.257166666666667
GATA1	-3.152
SMC6	-1.33075
TTTY14	-1.067
LPIN3	-0.3285
RPL4	0.3453
RBPMS	1.9163
PRPF3	-0.8475
EMR1	-2.5745
SPATA19	0.30125
XCR1	0.0915
IRX3	0.7043
RBM6	-0.6315
KLF4	2.7964
UNC5CL	-1.3775
SEBOX	0.92
BTK	-1.10225
KRCC1	2.113
C6orf27	0.792
SYTL5	-0.868
PRND	1.58925
LOC653319	-1.413
PIGL	-1.3265
HUS1	0.151166666666667
SFRS6	-0.648833333333333
C17orf77	1.461
UIMC1	-0.026
FXYD2	-1.2961
LOC283152	1.73025
ZNF667	-0.3425
ZCCHC12	-0.00300000000000001
TFEC	2.1504
ATP7B	0.0151666666666667
POLD2	-1.43883333333333
RG9MTD1	-0.293
ACOT2	2.60533333333333
HIST1H4I	-1.71175
PPARGC1A	0.2491
ETFA	0.6912
POLRMT	-0.256
ZNF146	-0.928875
MIA2	-2.565
KLHL6	-1.00583333333333
HOXB5	0.620375
NENF	0.944166666666667
CUGBP1	-0.75625
PRSS22	-0.258166666666667
CASC4	1.2502
CUL4B	0.3213
CENPJ	-1.9601
PITX1	-2.157
FLJ31033	0.166
CELSR3	-2.22133333333333
ZNF568	1.7185
ITSN1	1.18575
EHBP1L1	-0.983833333333333
C19orf2	-0.548
DCTN1	-0.3305
LIN28B	-4.74616666666667
TNKS2	0.06075
C1QBP	-1.151875
CADPS2	0.97075
SRMS	-0.45075
GJA9	0.4005
MGC24975	-1.29366666666667
TRIM45	-1.20916666666667
TSP50	0.851
TCP1	-1.041
TMED7	0.00149999999999999
CMA1	3.1655
CENPL	-2.93883333333333
PTCRA	0.00899999999999999
FST	-1.20875
VWCE	-2.33475
PAWR	-1.483
ABCC12	1.4262
LDLR	-1.424
ASTN2	0.14
LOC441212	-0.211125
GPATCH8	-0.3485
TANC2	-1.11375
KIF4A	-3.8185
C18orf18	0.32225
PGM1	1.21
KIAA0258	0.5335
CPD	0.514375
SNCAIP	-0.002
DCT	-4.08183333333333
HLA-DOA	2.447
OR11L1	0.7145
UPK1B	0.179166666666667
DNAJB4	1.449875
UGT1A8	-0.90275
HIST1H4L	-1.8895
PECR	1.4345
HSPA2	0.62575
WFIKKN1	-3.285
SERP1	0.557625
SYDE2	0.256
TACR2	0.92
NUP85	-0.90875
CD177	-1.20366666666667
LGR5	-3.0505
PIGG	-0.4935
PTHR1	2.35566666666667
RAB5A	0.0233
FLJ13224	-0.3675
USP9Y	-2.791
C7orf53	-0.403
LRP1B	5.75375
XAF1	1.3747
ABCG8	-2.4765
ANKDD1A	0.137666666666667
DAND5	-1.853
SPAG6	0.688833333333333
LINCR	1.61125
ZDHHC22	-1.32225
CCDC60	null
THOC7	-1.1475
TCTA	1.0365
OR8K3	0.307
NY-REN-7	-0.5185
B2M	2.34166666666667
C6orf141	-1.7045
LPPR4	3.45525
SQLE	-4.309625
SEPHS1	-0.5155
BTBD14B	-0.170214285714286
PLRG1	-0.003
SPG7	-0.8574375
ZNF614	-0.148833333333333
PARD6G	1.4095
INPP5B	-0.2738
GRPEL2	0.00387500000000001
PPID	-0.5282
TRIM56	-0.27375
UBE2J1	0.013375
IL20RA	4.82025
LOC387856	-0.51225
C1orf107	-0.489916666666667
UTS2R	0.8785
C19orf22	-1.40025
SAFB2	-0.563
KIAA0652	0.06025
KLRG1	1.5725
MS4A8B	-0.0786666666666666
FRAG1	-0.23825
KIAA1546	0.8645
E2F4	-1.2841
CLEC4M	0.574
BTBD14A	-1.03725
KIAA0999	0.8401
GYPA	-4.35716666666667
TAC1	1.5322
TRAIP	-2.1775
KIAA0232	0.5581
ERCC8	-1.04575
GPX4	2.2545
KIAA0368	0.57975
GPR157	-1.04116666666667
CTAGE4	0.5195
C9orf30	-1.63933333333333
OR52A1	0.845
HSP90B3P	-1.1245
ALG9	0.5616
BTBD10	0.1805
SDK2	-0.08325
BAIAP3	-0.05175
RABGGTB	-0.285125
ANKRD40	0.922333333333333
KRT74	0.6635
CALCOCO2	1.34564285714286
SNCA	-2.807
TMSL8	-3.770375
C2orf53	-0.488
ESRRB	-0.27925
ARHGAP26	-0.31375
TDRD9	-2.1785
HRAS	-0.057
KLRC4	-0.844
JAGN1	0.155166666666667
BSDC1	0.45125
RNF43	-1.7282
NDUFAF1	0.47175
PHF12	0.5885
OR1L3	0.2605
FOLR2	3.05608333333333
LYZL6	0.00583333333333332
tcag7.1260	-1.3115
WSB1	-1.19933333333333
PROS1	1.1295
OSTN	0.281
PSMB8	0.691
SOCS4	-0.99375
DDIT4L	3.9745
MAS1	0.8785
MGC34796	0.84
CSHL1	0.3235
TBCCD1	0.200833333333333
ZBTB7C	-0.022
AP2S1	-0.68
P15RS	-0.6418
VAT1	0.0295
SHANK3	2.13383333333333
TUFM	-0.52
THEG	-0.8295
KRT34	-2.417
SGSM3	-0.2095
TOMM22	-0.3335
SOCS3	2.82816666666667
CPO	1.801
POP4	0.22825
BHLHB3	1.37925
MALL	1.503
OR1B1	0.4505
PARK2	1.71433333333333
GPR124	1.855875
LCE1E	0.7985
RUVBL2	-1.335
CGRRF1	1.4959
ACPL2	-0.316
WNT10B	-0.145375
BAIAP2L2	-1.642375
ISCA1	1.042
C1orf125	-1.27025
RPAP1	-0.5015
RAI16	0.972833333333333
RPL27	0.5045
NLRP9	-0.704
EPN1	0.0325
LOC388610	-1.244
SLC35A1	0.827
GAL	-3.81075
SLC14A2	0.5015
RDH11	-1.17883333333333
FAM138F	0.0635
AUH	1.66975
FLJ40243	-0.0315
C14orf129	-0.187833333333333
MBD2	-0.348333333333333
ABHD14B	1.24975
PIGT	-0.52225
ALS2CR4	0.37125
ALAS1	-0.1013
FOXO1	2.82333333333333
CRLF3	-0.49275
C20orf107	-0.0855
FARS2	0.90575
CCDC28A	1.45
NPHP3	1.0585
OR13F1	0.2425
TSEN54	-1.31175
DEFB106B	-0.199888888888889
OR8B4	-1.158
STH	-0.3245
ZC3H14	0.067875
CBX2	-0.132
TMEM49	-1.99025
C6orf21	0.6225
FLJ20920	1.15025
CRTAP	1.10628571428571
DDX50	0.26975
STYXL1	-0.59725
BLVRB	0.744
LOC147650	0.338166666666667
MMP24	0.88425
GRID1	3.36466666666667
BANF1	-1.40533333333333
CTAGEP	-0.3455
HMBS	-3.01975
SLC25A24	-0.1805
C14orf50	2.49975
MRO	1.49466666666667
SLC25A15	-1.715
FAM84B	-0.0054
TDP1	-1.466
C16orf78	-0.0178333333333333
C11orf57	0.80725
RFK	-1.044375
ZFYVE9	0.3525
STCH	-1.3433
WIBG	0.05375
LOC283871	-0.741166666666667
GBA2	-0.3787
NDUFB3	0.179
HSD17B13	5.37975
GRIN3A	2.02433333333333
FMNL1	-1.61783333333333
