Hybridization REF	TCGA-E2-A158-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.613583333333333
CREB3L1	-0.2965
RPS11	1.737125
PNMA1	-0.747
MMP2	-1.68716666666667
C10orf90	2.10775
ZHX3	1.36166666666667
ERCC5	0.2745
GPR98	-2.281375
RXFP3	0.764
APBB2	0
PRO0478	-0.796875
KLHL13	0.86675
PRSSL1	-0.830833333333333
PDCL3	0.125666666666667
DECR1	0.3155
SALL1	-5.87966666666667
CADM4	2.5015
RPS18	1.69292857142857
HNRPD	-0.307666666666667
CFHR5	0.8114
SLC10A7	0.423
OR2K2	0.8135
LMAN1	-0.401625
SUHW1	-1.25475
CHD8	-1.4549
SUMO1	1.0399
GP1BA	0.4161
DDB1	-1.30333333333333
MYO9B	-0.0262
MMP7	2.98975
CRNKL1	0.1935
C9orf45	0.131833333333333
XAB2	0.29475
RTN1	0.177375
KLHL14	-1.90175
TBX10	-1.1275
CENPQ	-1.13925
UTY	-1.80535714285714
ZBTB12	-0.015
DTNBP1	-0.052875
KBTBD8	-1.4575
ZEB1	-3.3225
ZG16	-1.12575
MIER1	-0.2781
ADAM5P	1.108
CHD9	0.24075
STK16	-0.62075
KIAA1486	-0.449
TOB2	0.388583333333333
BANK1	1.65625
OR2V2	0.178
GRM2	0.162333333333333
PROSC	-0.154625
SPIN2B	-0.82625
PIR	-1.79177777777778
IPO9	-0.6192
EVC	0.164333333333333
CXCL13	4.76533333333333
KIAA1199	-2.037
SORL1	0.41325
NAT10	-0.436
CHD1	-1.03475
SYN3	-0.2275
SLC22A2	-0.37225
SERPINF1	-1.16983333333333
WDR34	-1.27675
OR7A17	0.343
C9orf11	0.3825
RNF216L	-0.6123
LHB	0.2495
STK25	-0.025375
TAOK3	0.535875
LOC152573	-3.52375
C3orf39	0.380625
C14orf108	-0.5395
CDC25B	-1.93072727272727
BMP3	0.00750000000000001
TMEM180	0.3575
MAP1LC3C	0.00725000000000001
CRYGC	-1.439
POU3F1	-0.7707
C20orf32	-1.09
CCDC95	-0.368
HIGD1B	2.3195
USP6NL	1.954625
ABCD4	-1.037
DIMT1L	-0.227083333333333
TEK	0.248375
SLC25A46	-1.24925
LARP7	-0.9343
CD160	0.569333333333333
MT1JP	-1.4265
PHF20	-1.186875
CPNE4	-1.85075
GTPBP1	0.0762142857142857
RAB33B	1.12066666666667
ALDOC	-2.04425
ZNF212	0.828
NUDT1	-0.880166666666667
RFPL2	0.23375
ZNF83	0.286666666666667
GDPD5	0.565
PDCD4	1.75505
CEP350	-0.14575
OR10A2	-0.13225
CST7	-1.053
CIAO1	-0.97925
SELL	0.099375
OR8J3	0.068
LTBP4	0.659833333333333
SIRT6	-0.792
CCL19	4.22825
PPIL1	-0.443
GBP7	0.1246
STK17A	-0.1223
ABR	-0.24475
OR9G1	-0.1475
FOXE1	-0.176625
CNGA3	-1.1615
GML	-0.027
CD38	-2.45825
ZDHHC6	0.330166666666667
NEFH	-3.3445
CTDSP2	0.291916666666667
PGBD5	-2.96466666666667
CCNY	0.674071428571429
RMND5B	-0.775083333333333
ZNF257	-5.57425
FLJ22167	0.2355
EXOSC7	-0.910166666666667
ROR2	-0.917625
MAOA	-2.341625
TNNT3	0.3455
GYPC	-1.86675
C7orf33	4.825
PLIN	-0.1395
LOC90826	0.38075
RNF4	0.0786
F8A1	-0.0915
PLEKHG4	1.4475
GRB2	-0.4458
HIST1H2AD	-0.65875
DUS3L	-0.0756666666666667
EIF1	-0.8245
RP5-1077B9.4	-1.0965
FPGT	0.7935
GDF10	-1.61966666666667
COQ9	0.1795
GCC2	-0.0100714285714286
RARRES3	0.264125
PLXNA1	0.1256
KIAA0100	-1.066
PMF1	0.28025
FNDC1	4.3275
HS2ST1	0.68225
CRELD2	-0.0455
C8G	-0.083
CD82	0.5165
LIM2	-0.4755
UNQ6490	0.2925
MMP16	-1.284
DRD3	0.1475
C5orf26	0.08925
