Hybridization REF	TCGA-BH-A18V-11A-52R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.674166666666667
CREB3L1	-0.1945
RPS11	1.1595
PNMA1	-0.2315
MMP2	0.936
C10orf90	0.56375
ZHX3	0.0956666666666667
ERCC5	1.0635
GPR98	0.094125
RXFP3	0.0915
APBB2	0.6725
PRO0478	0.29175
KLHL13	1.261
PRSSL1	-1.01183333333333
PDCL3	-0.0165
DECR1	0.439
SALL1	-4.82666666666667
CADM4	1.00166666666667
RPS18	0.617285714285714
HNRPD	-1.06116666666667
CFHR5	0.4406
SLC10A7	-0.554625
OR2K2	0.5205
LMAN1	-2.229375
SUHW1	-3.42
CHD8	0.2831
SUMO1	-0.3406
GP1BA	0.5791
DDB1	-0.5615
MYO9B	-0.1262
MMP7	6.9455
CRNKL1	-0.397
C9orf45	-0.423333333333333
XAB2	-0.153875
RTN1	1.890125
KLHL14	-0.771875
TBX10	-2.097
CENPQ	-2.69175
UTY	-1.52515384615385
ZBTB12	-0.537
DTNBP1	0.048375
KBTBD8	-2.2455
ZEB1	2.34433333333333
ZG16	-1.6405
MIER1	0.927
ADAM5P	0.9255
CHD9	0.3826875
STK16	-0.8855
KIAA1486	-0.3915
TOB2	0.652583333333333
BANK1	3.07975
OR2V2	-0.00474999999999999
GRM2	0.243666666666667
PROSC	0.490875
SPIN2B	0.16975
PIR	-2.06333333333333
IPO9	-0.8794
EVC	0.956666666666667
CXCL13	1.2355
KIAA1199	-4.4469
SORL1	1.66475
NAT10	-0.295
CHD1	-0.77075
SYN3	-0.3665
SLC22A2	-0.82025
SERPINF1	1.6095
WDR34	-0.45625
OR7A17	-0.133
C9orf11	0.278
RNF216L	-0.4168
LHB	-0.299
STK25	0.3505
TAOK3	0.56325
LOC152573	-2.2485
C3orf39	0.331
C14orf108	-0.7081
CDC25B	-1.78918181818182
BMP3	-1.1275
TMEM180	-0.1675
MAP1LC3C	2.2845
CRYGC	-1.6945
POU3F1	-1.34611111111111
C20orf32	-1.638
CCDC95	0.02
HIGD1B	4.10925
USP6NL	-0.908375
ABCD4	-0.0225
DIMT1L	-0.76775
TEK	1.387875
SLC25A46	-1.63475
LARP7	-0.8765
CD160	1.01633333333333
MT1JP	0.593
PHF20	-0.37275
CPNE4	-1.90933333333333
GTPBP1	-0.0316428571428571
RAB33B	0.893333333333333
ALDOC	-1.083125
ZNF212	0.0525
NUDT1	-1.11283333333333
RFPL2	-0.70975
ZNF83	-0.0615
GDPD5	0.856625
PDCD4	2.0613
CEP350	-0.46075
OR10A2	-0.19575
CST7	0.005
CIAO1	-1.382
SELL	-0.033125
OR8J3	0.5015
LTBP4	0.913
SIRT6	-0.23675
CCL19	4.15525
PPIL1	-1.73816666666667
GBP7	-0.188
STK17A	-1.3124
ABR	0.4745
OR9G1	-0.068
FOXE1	-0.648875
CNGA3	0.1995
GML	-0.262
CD38	-2.21825
ZDHHC6	-0.311166666666667
NEFH	-2.2535
CTDSP2	1.22541666666667
PGBD5	-1.45416666666667
CCNY	0.0414285714285714
RMND5B	0.524166666666667
ZNF257	-0.9115
FLJ22167	-0.334625
EXOSC7	0.0891666666666667
ROR2	1.048625
MAOA	2.50725
TNNT3	3.15116666666667
GYPC	0.891
C7orf33	1.1445
PLIN	4.62483333333333
LOC90826	-0.6625
RNF4	-0.7545
F8A1	-0.692833333333333
PLEKHG4	-0.45475
GRB2	-0.5284
HIST1H2AD	0.0975
DUS3L	-0.606333333333333
EIF1	0.0525
RP5-1077B9.4	-0.377833333333333
FPGT	0.5
GDF10	4.32266666666667
COQ9	0.092
GCC2	0.482
RARRES3	2.561875
PLXNA1	-0.4032
KIAA0100	-0.5516
PMF1	-0.0135
FNDC1	4.61175
HS2ST1	-0.55475
CRELD2	0.1745
C8G	-1.576
CD82	1.698
LIM2	-1.795
UNQ6490	-0.243
MMP16	0.1875
DRD3	-0.19675
C5orf26	1.034
C11orf73	-0.813125
PTP4A2	-0.068375
OR4M2	0.348
HPCA	-0.561666666666667
SEC14L1	-0.534
CHFR	-0.852125
EMILIN1	0.438375
NDUFS4	0.0485
COL18A1	0.1775
PDZD3	0.4756
C9orf16	-0.144833333333333
ERBB2IP	-0.208333333333333
EMX2	3.59925
FUS	-0.9575
TF	-2.7411
CLCN4	0.329833333333333
CXorf56	0.527
C11orf72	0.644
ELAC2	-0.217916666666667
NPR1	1.90575
ASS1	-0.608333333333333
USP42	0.034
POLR2J	-0.4385
SEC23IP	-0.2505
UQCRC1	-0.30525
LOC729603	-0.2995
C1orf71	-1.13175
POLG	-3.4535
ADAM23	-3.91175
TFR2	-1.80225
RICTOR	-0.4861
MGC39606	1.58475
C19orf55	-0.23775
SNAPC1	-1.00433333333333
GNA11	1.2035
CCDC52	-0.9725
FSIP1	2.0575
UPF3A	-0.532125
IGSF11	-2.5085
LAGE3	-1.1175
CHST6	-3.1375
UNC13B	0.278
TTLL4	-1.032875
ZNF687	0.17925
SDC2	-0.3098
COX7A2	-1.00025
LAMB4	-0.18425
FAM24A	0.627
LRRTM3	-1.348
GPHB5	0.41
OR4C13	0.0655
EIF3EIP	0.412928571428571
HABP4	0.81
TMEM125	2.983
CNTN2	0.0665
ASNSD1	0.206
FUT4	-0.57075
ACF	-3.96125
LOC158381	-0.4495
CDH8	1.283
AGPS	-1.65433333333333
C4orf18	2.882125
PECI	-0.0635
UNG	-1.20025
