Hybridization REF	TCGA-BH-A0BZ-01A-31R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.71158333333333
CREB3L1	1.0545
RPS11	0.223125
PNMA1	0.01825
MMP2	1.636
C10orf90	-2.42566666666667
ZHX3	-0.169333333333333
ERCC5	-0.58375
GPR98	0.03675
RXFP3	1.546
APBB2	0.7445
PRO0478	-1.43142857142857
KLHL13	-2.62775
PRSSL1	-0.691333333333333
PDCL3	1.17333333333333
DECR1	-0.126625
SALL1	-2.79266666666667
CADM4	0.318
RPS18	-0.241214285714286
HNRPD	-0.290333333333333
CFHR5	1.19033333333333
SLC10A7	0.227625
OR2K2	0.277
LMAN1	-0.9765
SUHW1	-3.05066666666667
CHD8	-0.3574
SUMO1	0.3937
GP1BA	1.3748
DDB1	-0.0321666666666667
MYO9B	0.2214
MMP7	6.35775
CRNKL1	0.998375
C9orf45	-1.662
XAB2	0.607
RTN1	1.638875
KLHL14	-1.4975
TBX10	-1.349
CENPQ	-0.92825
UTY	-1.16507692307692
ZBTB12	0.248
DTNBP1	-0.075125
KBTBD8	-1.77916666666667
ZEB1	-0.15
ZG16	1.20375
MIER1	0.1287
ADAM5P	-0.777
CHD9	-0.5900625
STK16	-1.26775
KIAA1486	-0.374
TOB2	-0.05075
BANK1	2.44425
OR2V2	-0.57275
GRM2	0.6895
PROSC	2.09375
SPIN2B	-0.5555
PIR	-1.77877777777778
IPO9	-0.248222222222222
EVC	1.0135
CXCL13	6.07916666666667
KIAA1199	0.399888888888889
SORL1	0.384
NAT10	0.23675
CHD1	-0.87275
SYN3	-0.31125
SLC22A2	-0.2525
SERPINF1	2.11116666666667
WDR34	0.6095
OR7A17	0.6755
C9orf11	-0.06
RNF216L	-0.5991
LHB	0.1225
STK25	0.635125
TAOK3	1.4865
LOC152573	-3.27875
C3orf39	0.88375
C14orf108	-0.3968
CDC25B	-0.848727272727273
BMP3	-0.844
TMEM180	0.61
MAP1LC3C	0.24
CRYGC	-1.104
POU3F1	-0.6951
C20orf32	-2.4175
CCDC95	-0.088
HIGD1B	3.967
USP6NL	0.073625
ABCD4	-1.06183333333333
DIMT1L	-1.11241666666667
TEK	1.4905
SLC25A46	-0.515
LARP7	-2.0409
CD160	0.664666666666667
MT1JP	-0.0443333333333333
PHF20	0.1648125
CPNE4	-1.65125
GTPBP1	0.0139285714285714
RAB33B	0.461166666666667
ALDOC	-1.273375
ZNF212	-0.02725
NUDT1	-0.3525
RFPL2	-0.73575
ZNF83	-0.808166666666667
GDPD5	1.20925
PDCD4	1.3982
CEP350	-0.8055
OR10A2	0.292
