Hybridization REF	TCGA-BH-A18P-11A-43R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.264
CREB3L1	-0.49025
RPS11	0.642625
PNMA1	0.86375
MMP2	-0.0968333333333333
C10orf90	-0.0155
ZHX3	0.231
ERCC5	0.90475
GPR98	-0.1265
RXFP3	-0.095
APBB2	1.58175
PRO0478	-0.9845
KLHL13	1.19475
PRSSL1	-0.0845
PDCL3	0.159166666666667
DECR1	1.78725
SALL1	-3.0495
CADM4	0.196666666666667
RPS18	0.302357142857143
HNRPD	-0.23375
CFHR5	0.525333333333333
SLC10A7	0.173375
OR2K2	-0.176
LMAN1	-1.223125
SUHW1	-3.0325
CHD8	-0.4463
SUMO1	0.2114
GP1BA	0.1003
DDB1	-0.456833333333333
MYO9B	-0.6756
MMP7	6.871
CRNKL1	-0.104625
C9orf45	-0.722666666666667
XAB2	0.36975
RTN1	2.2955
KLHL14	-0.629875
TBX10	-0.978
CENPQ	-1.5645
UTY	-0.822076923076923
ZBTB12	-0.6875
DTNBP1	-0.291
KBTBD8	-1.54933333333333
ZEB1	1.5625
ZG16	-0.493
MIER1	0.8027
ADAM5P	0.304
CHD9	0.38125
STK16	-0.08875
KIAA1486	-0.485
TOB2	1.11533333333333
BANK1	4.36975
OR2V2	-0.63725
GRM2	0.1345
PROSC	0.591375
SPIN2B	0.2625
PIR	-0.369666666666667
IPO9	-1.0912
EVC	0.995
CXCL13	0.435166666666667
KIAA1199	-4.5096
SORL1	0.3815
NAT10	-1.419
CHD1	-0.86125
SYN3	-0.07625
SLC22A2	0.165666666666667
SERPINF1	2.36883333333333
WDR34	-1.76225
OR7A17	-0.05
C9orf11	-0.6545
RNF216L	-0.4026
LHB	-0.326
STK25	-0.203375
TAOK3	0.787375
LOC152573	-1.37
C3orf39	0.267125
C14orf108	0.1882
CDC25B	-2.53009090909091
BMP3	-0.076
TMEM180	0.0035
MAP1LC3C	2.56575
CRYGC	-0.2765
POU3F1	-1.3267
C20orf32	-1.285
CCDC95	-0.373
HIGD1B	4.89725
USP6NL	0.00650000000000001
ABCD4	0.2025
