Hybridization REF	TCGA-A7-A13F-11A-42R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.302083333333333
CREB3L1	-0.16425
RPS11	0.92075
PNMA1	0.97375
MMP2	0.296166666666667
C10orf90	0.84475
ZHX3	0.281166666666667
ERCC5	0.73675
GPR98	-0.41825
RXFP3	0.5465
APBB2	0.791
PRO0478	-0.719
KLHL13	1.266
PRSSL1	0.214
PDCL3	-0.285666666666667
DECR1	0.928125
SALL1	-3.13383333333333
CADM4	0.0281666666666667
RPS18	0.550714285714286
HNRPD	-0.521916666666667
CFHR5	1.3618
SLC10A7	0.125875
OR2K2	0.057
LMAN1	-1.294875
SUHW1	-3.85775
CHD8	-0.2628
SUMO1	0.54
GP1BA	0.5657
DDB1	-0.386166666666667
MYO9B	-0.3025
MMP7	7.2525
CRNKL1	-0.199375
C9orf45	-0.732333333333333
XAB2	0.15475
RTN1	2.25425
KLHL14	-0.70225
TBX10	-1.47
CENPQ	-1.7525
UTY	-1.618
ZBTB12	-0.367
DTNBP1	0.2315
KBTBD8	-1.48966666666667
ZEB1	1.02766666666667
ZG16	-0.7005
MIER1	0.0133
ADAM5P	-0.0565
CHD9	0.621
STK16	0.0055
KIAA1486	-1.409
TOB2	1.49783333333333
BANK1	5.36
OR2V2	0.10125
GRM2	-0.119833333333333
PROSC	0.14025
SPIN2B	0.5075
PIR	-1.03911111111111
IPO9	-1.0278
EVC	1.36166666666667
CXCL13	0.242333333333333
KIAA1199	-3.2332
SORL1	1.58175
NAT10	-1.02025
CHD1	-0.45075
SYN3	0.282
SLC22A2	-0.65375
SERPINF1	2.55183333333333
WDR34	-1.49275
OR7A17	-0.02275
C9orf11	0.1215
RNF216L	-0.4255
LHB	0.002
STK25	-0.23025
TAOK3	0.599375
LOC152573	-0.974
C3orf39	0.669375
C14orf108	0.0221
CDC25B	-2.10527272727273
BMP3	0.5085
TMEM180	0.145
MAP1LC3C	2.9525
CRYGC	-0.731
POU3F1	-1.4554
C20orf32	-1.3375
CCDC95	-0.5245
HIGD1B	4.59
USP6NL	-0.104625
ABCD4	0.464333333333333
DIMT1L	-0.421833333333333
TEK	2.667375
SLC25A46	-0.176
LARP7	-0.8731
CD160	1.57833333333333
MT1JP	1.6405
PHF20	-0.4929375
CPNE4	-1.627
GTPBP1	-0.447928571428571
RAB33B	1.274
ALDOC	-1.006375
ZNF212	-0.2485
NUDT1	-1.30716666666667
RFPL2	-1.3055
ZNF83	0.148666666666667
GDPD5	1.668875
PDCD4	2.05775
CEP350	-0.481
OR10A2	0.2375
CST7	0.709
CIAO1	-0.8265
SELL	0.273
OR8J3	-0.081
LTBP4	1.296
SIRT6	-0.606
CCL19	3.7385
PPIL1	-1.4035
GBP7	-0.337833333333333
STK17A	-0.8811
ABR	0.4665
OR9G1	0.7985
FOXE1	-0.24225
CNGA3	-0.0245
GML	0.3805
CD38	-0.66675
ZDHHC6	-0.283
NEFH	-2.26225
CTDSP2	1.11116666666667
PGBD5	-0.451166666666667
CCNY	0.482857142857143
RMND5B	0.361666666666667
ZNF257	-2.5155
FLJ22167	-0.18575
EXOSC7	-0.223666666666667
ROR2	0.536375
MAOA	4.301375
TNNT3	4.404
GYPC	1.1565
C7orf33	1.599
PLIN	5.11266666666667
LOC90826	-0.232
RNF4	-0.5525
F8A1	0.414833333333333
PLEKHG4	-0.4695
GRB2	-0.5049
HIST1H2AD	-1.761
DUS3L	-1.06666666666667
EIF1	0.389
RP5-1077B9.4	-0.945
FPGT	1.1855
GDF10	4.71433333333333
COQ9	-0.1455
GCC2	0.222571428571429
RARRES3	2.036125
PLXNA1	0.0787
KIAA0100	-0.2856
PMF1	-0.2505
FNDC1	4.5605
HS2ST1	-0.2575
CRELD2	-0.07825
C8G	-1.8695
CD82	0.93
LIM2	-0.7885
UNQ6490	-0.0725
MMP16	0.12025
DRD3	0.00174999999999999
C5orf26	0.87175
C11orf73	0.01125
PTP4A2	0.694
OR4M2	-0.3855
HPCA	-1.2005
SEC14L1	0.3685
CHFR	-0.629625
EMILIN1	0.862875
NDUFS4	0.2255
COL18A1	0.18
PDZD3	-0.0102
C9orf16	0.103666666666667
ERBB2IP	-0.0283333333333333
EMX2	5.4165
FUS	-1.6715
TF	-3.0729
CLCN4	1.442
CXorf56	0.636
C11orf72	0.596
ELAC2	-0.378833333333333
NPR1	2.467
ASS1	0.400666666666667
USP42	-0.1755
