Hybridization REF	TCGA-E2-A153-11A-31R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.270818181818182
CREB3L1	2.6675
RPS11	2.191125
PNMA1	-0.99675
MMP2	3.82566666666667
C10orf90	1.37166666666667
ZHX3	-0.860333333333333
ERCC5	-1.40375
GPR98	0.20825
RXFP3	3.907
APBB2	-0.629333333333333
PRO0478	3.953625
KLHL13	-1.39525
PRSSL1	0.411666666666667
PDCL3	-0.736833333333333
DECR1	-2.820625
SALL1	-2.2424
CADM4	-0.4805
RPS18	1.37428571428571
HNRPD	-1.43472727272727
CFHR5	0.5608
SLC10A7	-0.893571428571429
OR2K2	1.0575
LMAN1	1.1375
SUHW1	-1.718
CHD8	-1.1746
SUMO1	-0.413
GP1BA	2.06644444444444
DDB1	1.03983333333333
MYO9B	-0.0278
MMP7	3.1285
CRNKL1	-1.67228571428571
C9orf45	-0.4224
XAB2	0.1215
RTN1	0.808
KLHL14	2.30885714285714
TBX10	1.7005
CENPQ	-2.6865
UTY	0.136916666666667
ZBTB12	1.1735
DTNBP1	-1.787625
KBTBD8	-0.276166666666667
ZEB1	0.3775
ZG16	0.51825
MIER1	-1.2515
ADAM5P	-0.596
CHD9	-0.7955
STK16	4.28525
KIAA1486	0.012
TOB2	1.54458333333333
BANK1	-0.277333333333333
OR2V2	0.7785
GRM2	2.22566666666667
PROSC	-0.22
SPIN2B	-1.92875
PIR	-1.91577777777778
IPO9	-0.8289
EVC	-0.8128
CXCL13	1.7005
KIAA1199	-1.57033333333333
SORL1	-1.141
NAT10	0.04675
CHD1	-3.141
SYN3	-0.6035
SLC22A2	0.72575
SERPINF1	0.309833333333333
WDR34	0.86125
OR7A17	-0.08525
C9orf11	0.663
RNF216L	-1.1834
LHB	4.2525
STK25	1.004625
TAOK3	-0.536714285714286
LOC152573	-1.191
C3orf39	-0.112125
C14orf108	-0.0996666666666668
CDC25B	-2.15009090909091
BMP3	2.2695
TMEM180	0.608
MAP1LC3C	0.011
CRYGC	0.291
POU3F1	2.13844444444444
C20orf32	0.382
CCDC95	-0.4805
HIGD1B	0.602
USP6NL	-1.91425
ABCD4	-0.831166666666667
DIMT1L	0.308333333333333
TEK	0.462875
SLC25A46	-1.704
LARP7	-1.3098
CD160	1.3138
MT1JP	1.03033333333333
PHF20	-0.835
CPNE4	-1.138
GTPBP1	0.424071428571429
RAB33B	-0.740333333333333
ALDOC	0.999
ZNF212	-0.16375
NUDT1	-2.1205
RFPL2	-0.7305
ZNF83	-0.4815
GDPD5	0.061375
PDCD4	1.12785
CEP350	-1.93325
OR10A2	0.3185
CST7	-0.443666666666667
CIAO1	-1.94075
SELL	0.19075
OR8J3	5.8435
LTBP4	1.51166666666667
SIRT6	0.74425
CCL19	4.9225
PPIL1	0.588166666666667
GBP7	3.13333333333333
STK17A	-0.394777777777778
ABR	-1.7205
OR9G1	-1.127
FOXE1	0.12975
CNGA3	1.681
GML	0.295
CD38	-1.47025
ZDHHC6	-2.2802
NEFH	-2.23725
CTDSP2	-0.689833333333333
PGBD5	-0.0186666666666667
CCNY	1.26969230769231
RMND5B	-0.740333333333334
ZNF257	-2.33325
FLJ22167	-0.050125
EXOSC7	-1.64633333333333
ROR2	-0.433
MAOA	0.333125
TNNT3	-0.210166666666667
GYPC	0.9695
C7orf33	-0.0115
PLIN	-0.212
LOC90826	-1.68625
RNF4	-2.641
F8A1	0.0391666666666666
PLEKHG4	-2.97725
GRB2	-0.366578947368421
HIST1H2AD	0.1825
DUS3L	-1.711
EIF1	-0.299833333333333
RP5-1077B9.4	-1.1575
FPGT	-0.442
GDF10	-0.505333333333333
COQ9	0.5895
GCC2	-0.773071428571429
RARRES3	2.224625
PLXNA1	0.7892
KIAA0100	-0.3795
PMF1	-0.74975
FNDC1	0.573
HS2ST1	0.497916666666667
CRELD2	1.53
C8G	-1.9045
CD82	2.35
LIM2	0.582
UNQ6490	0.168
MMP16	2.2955
DRD3	0.5455
C5orf26	-0.242
C11orf73	-0.18075
PTP4A2	-1.403625
OR4M2	1.0735
HPCA	-1.8752
SEC14L1	-0.749333333333333
CHFR	-1.1235
EMILIN1	2.375875
NDUFS4	-1.34275
COL18A1	0.998125
PDZD3	1.0145
C9orf16	1.6525
ERBB2IP	-0.677166666666667
EMX2	0.16775
FUS	-0.93375
TF	-0.614
CLCN4	0.291333333333333
CXorf56	-0.63725
C11orf72	3.52875
ELAC2	-1.12083333333333
NPR1	0.309
ASS1	-0.412833333333333
USP42	-1.134875
POLR2J	0.1235
SEC23IP	-1.9535
UQCRC1	-0.66075
LOC729603	-0.381
C1orf71	-2.595375
POLG	0.9115
ADAM23	-1.65125
TFR2	-0.6825
RICTOR	-1.28577777777778
MGC39606	-0.97775
C19orf55	0.00450000000000002
SNAPC1	-2.59266666666667
GNA11	0.139875
CCDC52	-1.9175
FSIP1	0.5765
UPF3A	0.617625
IGSF11	-0.259166666666667
LAGE3	-0.933
CHST6	0.1165
UNC13B	0.0391250000000001
TTLL4	-1.212875
ZNF687	0.082875
SDC2	-0.1358
COX7A2	-1.66325
LAMB4	-0.128333333333333
FAM24A	0.0565
LRRTM3	1.11983333333333
GPHB5	1.34675
OR4C13	1.356
EIF3EIP	3.94307142857143
HABP4	-0.401
TMEM125	1.14525
CNTN2	1.38728571428571
ASNSD1	-1.74075
FUT4	-0.745875
ACF	2.39975
LOC158381	-0.9515
CDH8	-0.624
AGPS	-1.5072
C4orf18	0.0421428571428571
PECI	-0.352916666666667
UNG	-1.023125
GSTP1	-0.778875
DCUN1D5	-2.79416666666667
DKFZP564J0863	-1.803
SLC9A3R1	0.13725
BCDO2	0.87375
CHMP7	1.759125
REM2	1.2785
