Hybridization REF	TCGA-BH-A18R-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0245833333333333
CREB3L1	0.203
RPS11	0.24675
PNMA1	-0.34925
MMP2	0.107666666666667
C10orf90	-1.7375
ZHX3	-0.341333333333333
ERCC5	0.18175
GPR98	-0.769625
RXFP3	0.255
APBB2	1.29225
PRO0478	-1.2295
KLHL13	-0.21025
PRSSL1	-0.354333333333333
PDCL3	0.7165
DECR1	-0.560125
SALL1	-3.2455
CADM4	-0.4545
RPS18	0.484
HNRPD	-0.047
CFHR5	0.1195
SLC10A7	0.877625
OR2K2	0.913
LMAN1	-0.148125
SUHW1	-1.69
CHD8	-0.1237
SUMO1	0.3954
GP1BA	0.4636
DDB1	-0.860666666666667
MYO9B	0.1377
MMP7	4.47
CRNKL1	0.6465
C9orf45	-1.8125
XAB2	0.250875
RTN1	1.143375
KLHL14	-1.39925
TBX10	-0.7355
CENPQ	-0.888
UTY	-0.825214285714286
ZBTB12	0.5395
DTNBP1	0.229875
KBTBD8	-1.49533333333333
ZEB1	-0.00233333333333334
ZG16	0.758
MIER1	0.0949
ADAM5P	-0.221
CHD9	-0.1095625
STK16	-0.42675
KIAA1486	0.0525
TOB2	0.5595
BANK1	2.748
OR2V2	0.21625
GRM2	0.218833333333333
PROSC	-0.326375
SPIN2B	-0.6765
PIR	-1.76611111111111
IPO9	0.0629
EVC	0.498333333333333
CXCL13	2.85333333333333
KIAA1199	-3.7259
SORL1	-0.4535
NAT10	-0.32825
CHD1	-0.126
SYN3	0.324
SLC22A2	-0.074
SERPINF1	-0.509666666666667
WDR34	-0.0065
OR7A17	0.281
C9orf11	-0.081
RNF216L	-0.7785
LHB	-0.0025
STK25	0.122
TAOK3	0.239875
LOC152573	-2.73975
C3orf39	-0.281875
C14orf108	0.3732
CDC25B	-1.58527272727273
BMP3	-0.137
TMEM180	0.245
MAP1LC3C	0.23625
CRYGC	-1.102
POU3F1	-1.3513
C20orf32	-0.953
CCDC95	-0.157
HIGD1B	2.74
USP6NL	-0.336125
ABCD4	-0.5685
DIMT1L	-0.54
TEK	0.58425
SLC25A46	-0.31475
LARP7	-1.7818
CD160	0.761166666666667
MT1JP	0.00399999999999998
PHF20	-0.1535
CPNE4	0.55425
GTPBP1	-0.208785714285714
RAB33B	0.803166666666667
ALDOC	-2.700375
ZNF212	-0.47325
NUDT1	-0.457
RFPL2	-0.5295
ZNF83	-0.00549999999999999
GDPD5	-1.290375
PDCD4	1.579
CEP350	0.0865
OR10A2	0.04325
CST7	0.73975
CIAO1	-0.6395
SELL	1.47975
OR8J3	0.464
LTBP4	-0.0348333333333333
SIRT6	-0.075
CCL19	5.0015
PPIL1	-0.5045
GBP7	1.87733333333333
STK17A	-1.4561
ABR	0.6855
OR9G1	0.0805
FOXE1	-0.596125
CNGA3	1.888
GML	0.1315
CD38	-1.734
ZDHHC6	0.495666666666667
NEFH	-3.08775
CTDSP2	0.628166666666667
PGBD5	-1.83216666666667
CCNY	0.193571428571429
RMND5B	0.36075
ZNF257	-2.50575
FLJ22167	0.5515
EXOSC7	-0.284
ROR2	2.40375
MAOA	0.670625
TNNT3	0.251
GYPC	-1.49225
C7orf33	0.0465
PLIN	1.06116666666667
LOC90826	0.70475
RNF4	0.1796
F8A1	-0.1225
PLEKHG4	-1.06425
GRB2	1.28395
HIST1H2AD	-0.548
DUS3L	0.0173333333333333
EIF1	-0.706333333333333
RP5-1077B9.4	-1.56183333333333
FPGT	0.9495
GDF10	0.893166666666667
COQ9	0.508
GCC2	0.0818571428571429
RARRES3	2.28025
PLXNA1	-0.0163
KIAA0100	-0.7288
PMF1	0.16075
FNDC1	4.68575
HS2ST1	-0.0485833333333333
CRELD2	0.291
C8G	-0.52
CD82	0.3635
LIM2	-0.605
UNQ6490	0.0265
MMP16	2.307
DRD3	0.105
C5orf26	-0.33375
C11orf73	-0.617875
PTP4A2	-0.476
OR4M2	0.4825
HPCA	-0.951833333333333
SEC14L1	-0.435
CHFR	0.974625
EMILIN1	0.227875
NDUFS4	-0.48025
COL18A1	-0.78025
PDZD3	0.151
C9orf16	-0.335
ERBB2IP	0.1515
EMX2	1.48525
FUS	-0.4325
TF	-3.9568
CLCN4	-0.1195
CXorf56	-0.203
C11orf72	0.11425
ELAC2	0.32075
NPR1	-0.9605
ASS1	-2.50583333333333
USP42	0.09525
POLR2J	-0.878
SEC23IP	0.559333333333333
UQCRC1	0.6165
LOC729603	-0.60675
C1orf71	-0.049375
POLG	-1.3565
ADAM23	-4.166
TFR2	-0.572
RICTOR	-0.9619
MGC39606	0.94225
C19orf55	-0.07825
SNAPC1	-1.48883333333333
GNA11	1.103875
CCDC52	0.488333333333333
FSIP1	4.4955
UPF3A	-0.058
IGSF11	-0.984
LAGE3	0.6165
CHST6	0.9395
UNC13B	-0.71725
TTLL4	-0.821375
ZNF687	0.359125
SDC2	-1.3406
COX7A2	0.05
LAMB4	0.035
FAM24A	0.359
LRRTM3	-0.566666666666667
GPHB5	0.551
OR4C13	0.2755
EIF3EIP	0.273428571428571
HABP4	-1.505
TMEM125	3.33325
CNTN2	-0.039875
ASNSD1	-0.147
