Hybridization REF	TCGA-BH-A18U-01A-21R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.50216666666667
CREB3L1	0.54975
RPS11	0.312625
PNMA1	-0.46575
MMP2	1.6185
C10orf90	-2.438
ZHX3	-0.246833333333333
ERCC5	-0.80975
GPR98	0.195571428571429
RXFP3	-0.2685
APBB2	0.72525
PRO0478	-1.472125
KLHL13	-2.244
PRSSL1	-0.818666666666667
PDCL3	0.895
DECR1	-0.170125
SALL1	-4.02983333333333
CADM4	-0.1365
RPS18	0.208214285714286
HNRPD	0.111666666666667
CFHR5	1.01033333333333
SLC10A7	0.360375
OR2K2	0.2135
LMAN1	-0.138625
SUHW1	-3.4605
CHD8	-0.9351
SUMO1	0.7569
GP1BA	0.1362
DDB1	-0.122666666666667
MYO9B	-0.391
MMP7	5.924
CRNKL1	1.739125
C9orf45	-1.78733333333333
XAB2	0.15975
RTN1	3.32375
KLHL14	-1.741375
TBX10	-1.2935
CENPQ	-0.259
UTY	-1.75158333333333
ZBTB12	-0.7775
DTNBP1	-0.62375
KBTBD8	-1.71416666666667
ZEB1	-1.29983333333333
ZG16	-1.25875
MIER1	-0.5006
ADAM5P	0.928
CHD9	-1.1168125
STK16	1.30725
KIAA1486	0.3605
TOB2	-0.310166666666667
BANK1	2.46625
OR2V2	0.3325
GRM2	0.144833333333333
PROSC	0.83925
SPIN2B	0.45125
PIR	-0.639
IPO9	-0.4318
EVC	0.0218333333333333
CXCL13	5.661
KIAA1199	0.1846
SORL1	-0.11925
NAT10	-0.41375
CHD1	-0.42125
SYN3	-0.3745
SLC22A2	-0.44475
SERPINF1	0.361333333333333
WDR34	-0.228
OR7A17	0.6555
C9orf11	-0.3995
RNF216L	-1.6929
LHB	-0.0025
STK25	-0.226875
TAOK3	0.869125
LOC152573	-4.4175
C3orf39	1.268125
C14orf108	-0.0702
CDC25B	-0.159090909090909
BMP3	0.509
TMEM180	0.2245
MAP1LC3C	0.0605
CRYGC	-0.432
POU3F1	-1.541
C20orf32	-0.9805
CCDC95	0.033
HIGD1B	3.606
USP6NL	0.079
ABCD4	-1.1525
DIMT1L	-0.424166666666667
TEK	1.14971428571429
SLC25A46	-0.26375
LARP7	-2.1752
CD160	0.371166666666667
MT1JP	-1.39283333333333
PHF20	0.126
CPNE4	-3.0485
GTPBP1	-0.226
RAB33B	0.722333333333333
ALDOC	-0.1795
ZNF212	-0.5685
NUDT1	-0.372833333333333
RFPL2	1.41175
ZNF83	0.723166666666667
GDPD5	-1.8525
PDCD4	1.06635
CEP350	-0.2795
OR10A2	0.27325
CST7	1.21
CIAO1	-0.793
SELL	1.211375
OR8J3	0.516
LTBP4	-0.4435
SIRT6	1.45525
CCL19	3.66675
PPIL1	-0.143833333333333
GBP7	1.48783333333333
STK17A	-1.4055
ABR	-0.06825
OR9G1	0.021
FOXE1	-0.44175
CNGA3	0.7095
GML	0.558
CD38	-0.36525
ZDHHC6	0.522666666666667
NEFH	-3.2035
CTDSP2	0.6445
PGBD5	-1.56583333333333
CCNY	0.0867857142857143
RMND5B	0.928166666666667
ZNF257	-1.334
FLJ22167	-0.2855
EXOSC7	0.949
ROR2	2.296125
MAOA	-0.961125
TNNT3	-0.215333333333333
GYPC	-1.72275
C7orf33	0.5855
PLIN	2.428
LOC90826	-0.298
RNF4	-0.7739
F8A1	-0.123
PLEKHG4	-0.756
GRB2	0.0597
HIST1H2AD	0.27725
DUS3L	0.114333333333333
EIF1	0.564
RP5-1077B9.4	-1.1085
FPGT	1.43375
GDF10	-2.719
COQ9	0.2265
GCC2	-0.962285714285715
RARRES3	3.001625
PLXNA1	-1.0831
KIAA0100	-0.4981
PMF1	0.1405
FNDC1	5.7185
HS2ST1	-0.788583333333333
CRELD2	0.655
C8G	-2.345
CD82	-0.66275
LIM2	-0.9445
UNQ6490	-1.2785
MMP16	0.8995
DRD3	0.2495
C5orf26	0.258
C11orf73	0.6675
PTP4A2	-0.486875
OR4M2	0.086
HPCA	-1.30816666666667
SEC14L1	-1.21683333333333
CHFR	0.166375
EMILIN1	0.4585
NDUFS4	-0.19425
COL18A1	-0.788625
PDZD3	0.392
C9orf16	0.174666666666667
ERBB2IP	-0.4265
EMX2	2.06675
FUS	-0.67475
TF	-4.1033
CLCN4	-0.419833333333333
CXorf56	0.90425
C11orf72	0.1045
ELAC2	-0.883583333333333
NPR1	-1.45775
ASS1	-2.34116666666667
USP42	-0.85575
POLR2J	-0.979
SEC23IP	0.698833333333333
UQCRC1	0.4715
LOC729603	-1.26025
C1orf71	0.081375
POLG	-1.0005
ADAM23	-3.98575
TFR2	-0.961
RICTOR	-0.8515
MGC39606	-0.9745
C19orf55	-0.269
SNAPC1	-0.868333333333333
GNA11	0.35175
CCDC52	1.33016666666667
FSIP1	5.6305
UPF3A	-0.8235
IGSF11	-2.8575
LAGE3	0.47675
CHST6	-3.434
UNC13B	-0.2995
TTLL4	-0.901875
ZNF687	-0.2575
SDC2	-0.63
