Hybridization REF	TCGA-E2-A1B1-01A-21R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.15775
CREB3L1	1.89825
RPS11	0.35225
PNMA1	0.50025
MMP2	2.484
C10orf90	-1.91425
ZHX3	-0.458166666666667
ERCC5	0.903
GPR98	0.034125
RXFP3	0.241
APBB2	0.9665
PRO0478	-0.799625
KLHL13	-0.5675
PRSSL1	-0.826
PDCL3	0.463666666666667
DECR1	0.414375
SALL1	-3.07183333333333
CADM4	0.833666666666667
RPS18	-0.195071428571429
HNRPD	-0.00733333333333335
CFHR5	0.579
SLC10A7	0.032875
OR2K2	1.523
LMAN1	-0.8645
SUHW1	-3.4955
CHD8	-0.0169000000000001
SUMO1	-0.1567
GP1BA	2.287
DDB1	-0.2935
MYO9B	0.7739
MMP7	7.05275
CRNKL1	0.263375
C9orf45	-2.02766666666667
XAB2	-0.32125
RTN1	2.37428571428571
KLHL14	-0.859875
TBX10	-1.6285
CENPQ	-1.77225
UTY	-1.79058333333333
ZBTB12	0.368
DTNBP1	-0.392375
KBTBD8	-0.628833333333333
ZEB1	0.6375
ZG16	-0.39425
MIER1	0.2243
ADAM5P	0.764
CHD9	-0.3085
STK16	1.03575
KIAA1486	-0.7545
TOB2	0.26375
BANK1	4.0135
OR2V2	0.04025
GRM2	-0.0291666666666667
PROSC	0.921625
SPIN2B	-0.4265
PIR	-3.38022222222222
IPO9	-0.848777777777778
EVC	1.587
CXCL13	5.68416666666667
KIAA1199	-1.5537
SORL1	0.393
NAT10	-0.026
CHD1	-1.13075
SYN3	-0.7175
SLC22A2	-0.64125
SERPINF1	1.71683333333333
WDR34	-0.2065
OR7A17	0.39775
C9orf11	-0.111
RNF216L	-0.7003
LHB	-0.181
STK25	0.473
TAOK3	1.26775
LOC152573	-2.0515
C3orf39	0.52275
C14orf108	-0.1405
CDC25B	-1.51009090909091
BMP3	0.3785
TMEM180	0.0425
MAP1LC3C	2.15775
