Hybridization REF	TCGA-BH-A1EO-11A-31R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.775333333333333
CREB3L1	0.77575
RPS11	1.413125
PNMA1	0.60125
MMP2	1.8855
C10orf90	-0.926
ZHX3	0.469166666666667
ERCC5	0.473
GPR98	-2.012
RXFP3	1.033
APBB2	1.65225
PRO0478	-1.356875
KLHL13	-0.79825
PRSSL1	0.8335
PDCL3	-0.1375
DECR1	1.07775
SALL1	-3.83016666666667
CADM4	-0.433833333333333
RPS18	0.298285714285714
HNRPD	-1.0445
CFHR5	0.721
SLC10A7	-0.139625
OR2K2	0.1185
LMAN1	-1.893875
SUHW1	-4.481
CHD8	-0.331
SUMO1	0.7419
GP1BA	0.546
DDB1	-0.7485
MYO9B	-0.7063
MMP7	4.30175
CRNKL1	-0.093375
C9orf45	-2.0845
XAB2	-0.02775
RTN1	2.736875
KLHL14	-0.519125
TBX10	-1.428
CENPQ	-0.90225
UTY	-0.937230769230769
ZBTB12	-0.3765
DTNBP1	0.417375
KBTBD8	-0.4295
ZEB1	1.58183333333333
ZG16	-0.498
MIER1	0.7637
ADAM5P	-0.5215
CHD9	0.0498125
STK16	-0.2085
KIAA1486	-0.8425
TOB2	0.981916666666667
BANK1	5.59425
OR2V2	-0.3765
GRM2	0.275166666666667
PROSC	-0.039625
SPIN2B	1.09725
PIR	0.077
IPO9	-1.1578
EVC	0.881833333333333
CXCL13	0.593833333333333
KIAA1199	-3.5502
SORL1	-0.2665
NAT10	-0.94675
CHD1	-0.71075
SYN3	0.37275
SLC22A2	-1.121
SERPINF1	2.7795
WDR34	-1.5035
OR7A17	0.6365
C9orf11	-0.891
RNF216L	-0.0424
LHB	0.259
STK25	-0.412375
TAOK3	0.38825
LOC152573	0.95
C3orf39	0.600125
C14orf108	-0.0227
CDC25B	-1.48545454545455
BMP3	-0.079
TMEM180	0.1815
MAP1LC3C	4.62225
CRYGC	-1.1845
POU3F1	-1.3391
C20orf32	-1.26
CCDC95	-0.695
HIGD1B	6.34025
USP6NL	-0.361875
ABCD4	0.625833333333333
DIMT1L	-0.26625
TEK	3.598
SLC25A46	0.183
LARP7	-0.409
CD160	1.84366666666667
MT1JP	1.43016666666667
PHF20	-0.5291875
CPNE4	-2.023
GTPBP1	-0.362571428571429
RAB33B	1.2775
ALDOC	-0.9895
ZNF212	-0.49425
NUDT1	-0.351166666666667
RFPL2	-1.04975
ZNF83	-0.47
GDPD5	1.018375
PDCD4	1.3415
CEP350	-0.6175
OR10A2	-0.12875
CST7	1.81
CIAO1	-0.70775
SELL	1.716375
OR8J3	0.5745
LTBP4	1.1935
SIRT6	-0.6305
CCL19	5.4875
PPIL1	-1.26183333333333
GBP7	0.0868333333333333
STK17A	-0.9561
ABR	0.02125
OR9G1	0.412
FOXE1	-0.49175
CNGA3	0.061
GML	-0.2455
CD38	-1.3455
ZDHHC6	-0.007
NEFH	-2.005
CTDSP2	0.668333333333333
PGBD5	-2.54416666666667
CCNY	0.677785714285714
RMND5B	0.569166666666667
ZNF257	-1.45525
FLJ22167	-0.738375
EXOSC7	-0.0926666666666667
ROR2	-0.10625
MAOA	4.852625
TNNT3	5.3405
GYPC	1.50675
C7orf33	1.199
PLIN	6.018
LOC90826	0.44325
RNF4	-0.4913
F8A1	-0.166
PLEKHG4	-1.9115
GRB2	-0.56115
HIST1H2AD	-1.49675
DUS3L	-1.08166666666667
EIF1	0.3735
RP5-1077B9.4	-0.934333333333333
FPGT	1.41875
GDF10	6.00016666666667
COQ9	-0.013
GCC2	0.218428571428571
RARRES3	2.222
PLXNA1	-0.7321
KIAA0100	-0.4758
PMF1	-0.3825
FNDC1	7.194
HS2ST1	-0.629916666666667
CRELD2	0.17975
C8G	-1.675
CD82	-0.08575
LIM2	-0.2065
UNQ6490	-0.814
MMP16	-0.25
DRD3	0.43725
C5orf26	0.28
C11orf73	1.02425
PTP4A2	0.252
OR4M2	0.276
HPCA	-1.13733333333333
SEC14L1	-0.386
CHFR	-0.502
EMILIN1	1.0045
NDUFS4	0.96
COL18A1	0.082375
PDZD3	0.4298
C9orf16	0.2115
ERBB2IP	-0.220666666666667
EMX2	7.09625
FUS	-2.28875
TF	-2.4622
CLCN4	1.1295
CXorf56	0.68225
C11orf72	0.46375
ELAC2	-0.551333333333333
NPR1	2.70925
ASS1	-0.2155
USP42	-0.60975
POLR2J	-0.8915
SEC23IP	0.126666666666667
UQCRC1	-0.4205
LOC729603	-1.00125
C1orf71	-0.569375
POLG	-3.0665
ADAM23	-2.5275
TFR2	-0.767
RICTOR	-0.5724
MGC39606	0.71325
C19orf55	-0.1775
SNAPC1	-0.423166666666667
GNA11	0.122875
CCDC52	-0.782666666666667
FSIP1	0.0015
UPF3A	-0.85675
IGSF11	-2.105
LAGE3	-0.9785
CHST6	-1.2945
UNC13B	0.290125
TTLL4	-1.829875
ZNF687	-0.2855
SDC2	1.1967
COX7A2	0.2885
LAMB4	-0.76575
FAM24A	0.9515
LRRTM3	-0.758166666666667
GPHB5	1.7755
OR4C13	0.481
EIF3EIP	1.42078571428571
HABP4	1.028
TMEM125	-3.206
CNTN2	-0.027625
ASNSD1	0.371
FUT4	0.046125
ACF	-3.65975
LOC158381	1.1315
CDH8	-0.34575
AGPS	-0.131166666666667
C4orf18	3.11025
PECI	0.60875
UNG	-1.221625
GSTP1	0.10775
DCUN1D5	-1.31666666666667
DKFZP564J0863	-0.79975
SLC9A3R1	-2.081625
BCDO2	-0.400875
CHMP7	-0.17125
REM2	-0.39
DNHD1	-0.7305
FKBP4	-2.048875
ZNF350	1.35175
MGC11102	-0.004625
BST1	3.39375
KISS1R	-0.1055
NCR2	1.061
DEFB125	0.554
UBE2W	1.01025
KRT15	-3.42475
C10orf99	0.3055
SCN11A	0.701875
GFI1	-2.36
RDHE2	0.103166666666667
FHL1	4.409
OSGEP	0.3425
GATA1	-2.99016666666667
SMC6	-0.95675
TTTY14	-0.96925
LPIN3	0.607666666666667
RPL4	-0.0416
RBPMS	0.8952
PRPF3	-0.789166666666667
EMR1	-1.389
SPATA19	-0.15975
XCR1	0.4555
IRX3	-0.8573
RBM6	-0.78525
KLF4	2.7219
UNC5CL	-2.398
SEBOX	0.5155
BTK	0.7145
KRCC1	1.68225
C6orf27	0.711
SYTL5	-0.7695
PRND	3.209625
LOC653319	-1.944
PIGL	-1.50375
HUS1	0.3195
SFRS6	-1.238
C17orf77	0.178
UIMC1	-0.0428333333333333
FXYD2	-0.5375
LOC283152	1.36725
ZNF667	-0.63875
ZCCHC12	0.00724999999999998
TFEC	3.6711
ATP7B	-0.519333333333333
POLD2	-2.10116666666667
RG9MTD1	-0.1115
ACOT2	1.732
HIST1H4I	-1.552125
PPARGC1A	-0.3901
ETFA	-0.1676
POLRMT	-0.6635
ZNF146	-1.0955
MIA2	-1.5155
KLHL6	-0.3255
HOXB5	0.74275
NENF	1.282
CUGBP1	-0.6585
PRSS22	-0.817833333333334
CASC4	1.2618
CUL4B	0.1215
CENPJ	-1.9402
PITX1	-2.0265
FLJ31033	0.523666666666667
CELSR3	-2.435
ZNF568	1.82975
ITSN1	1.34625
EHBP1L1	-0.637
C19orf2	-1.35775
DCTN1	-0.94875
LIN28B	-3.71583333333333
TNKS2	0.17625
C1QBP	-0.272625
CADPS2	1.44525
SRMS	-0.036
GJA9	0.204166666666667
MGC24975	-1.5955
TRIM45	-2.15833333333333
TSP50	-0.21275
TCP1	-1.304
TMED7	0.2806
CMA1	4.093
CENPL	-2.42933333333333
PTCRA	0.439
FST	-2.51425
VWCE	-1.646
PAWR	-2.15875
ABCC12	0.467833333333333
LDLR	-1.7981
ASTN2	0.5539
LOC441212	0.1655
GPATCH8	-0.6685
TANC2	-1.31925
KIF4A	-3.4085
C18orf18	0.59075
PGM1	0.19675
KIAA0258	0.224
CPD	0.384625
SNCAIP	1.23675
DCT	-4.102
HLA-DOA	2.80727272727273
OR11L1	1.0465
UPK1B	-0.427166666666667
DNAJB4	1.277875
UGT1A8	0.51225
HIST1H4L	-0.681
PECR	0.672
HSPA2	1.553
WFIKKN1	-3.975
SERP1	0.02925
SYDE2	-0.177
TACR2	0.8
NUP85	-0.7015
CD177	-0.4645
LGR5	-2.71433333333333
PIGG	-0.52875
PTHR1	1.902
RAB5A	-0.2028
FLJ13224	0.1955
USP9Y	-2.01066666666667
C7orf53	0.2555
LRP1B	3.4245
XAF1	1.5578
ABCG8	-0.164
ANKDD1A	0.675333333333333
DAND5	-2.1105
SPAG6	-0.0633333333333333
LINCR	-1.967
ZDHHC22	-1.1525
CCDC60	0.554
THOC7	-0.735333333333333
TCTA	0.9425
OR8K3	0.88575
NY-REN-7	0.094
B2M	3.04416666666667
C6orf141	-1.910125
LPPR4	4.17325
SQLE	-3.408625
SEPHS1	-0.47925
BTBD14B	-0.0431428571428572
PLRG1	0.108
SPG7	-1.018875
ZNF614	0.199833333333333
PARD6G	0.790666666666667
INPP5B	-0.8433
GRPEL2	-0.287875
PPID	-0.5017
TRIM56	-0.49875
UBE2J1	0.129375
IL20RA	2.272
LOC387856	0.1505
C1orf107	-0.208416666666667
UTS2R	0.207
C19orf22	-1.20525
SAFB2	-0.41025
KIAA0652	-0.402375
KLRG1	2.18416666666667
MS4A8B	0.313666666666667
FRAG1	-1.11525
KIAA1546	-0.156
E2F4	-1.2343
CLEC4M	-0.259166666666667
BTBD14A	-0.6335
KIAA0999	0.9086
GYPA	-3.344
TAC1	0.8994
TRAIP	-2.38266666666667
KIAA0232	0.6056
ERCC8	-0.48075
GPX4	1.692125
KIAA0368	0.345
GPR157	-1.42433333333333
CTAGE4	-1.509
C9orf30	-0.809666666666667
OR52A1	0.1105
HSP90B3P	-0.94
