Hybridization REF	TCGA-BH-A1EU-11A-23R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.07775
CREB3L1	0.0375
RPS11	1.236375
PNMA1	-0.017
MMP2	0.45
C10orf90	-0.162
ZHX3	-0.169166666666667
ERCC5	0.319
GPR98	-1.36428571428571
RXFP3	2.254
APBB2	0.15275
PRO0478	-0.112625
KLHL13	1.54225
PRSSL1	-0.3135
PDCL3	-0.0921666666666667
DECR1	0.411
SALL1	-3.8905
CADM4	0.2715
RPS18	0.663428571428571
HNRPD	-0.580833333333333
CFHR5	-0.8186
SLC10A7	-0.517625
OR2K2	1.3295
LMAN1	-1.753875
SUHW1	-3.572
CHD8	-0.2975
SUMO1	0.1462
GP1BA	1.4857
DDB1	-0.556666666666667
MYO9B	-1.0946
MMP7	7.62675
CRNKL1	-0.245875
C9orf45	-0.973166666666667
XAB2	0.389
RTN1	1.60175
KLHL14	1.138125
TBX10	-0.4225
CENPQ	-1.468
UTY	-1.59633333333333
ZBTB12	-0.371
DTNBP1	0.34075
KBTBD8	-1.4765
ZEB1	-1.05516666666667
ZG16	-0.751
MIER1	-0.2789
ADAM5P	-3.4615
CHD9	-0.437625
STK16	1.88975
KIAA1486	0.732
TOB2	0.996416666666667
BANK1	3.05625
OR2V2	1.9235
GRM2	1.64983333333333
PROSC	-0.517875
SPIN2B	0.61675
PIR	-1.83411111111111
IPO9	-1.3794
EVC	0.528833333333333
CXCL13	2.8115
KIAA1199	-3.80977777777778
SORL1	0.997
NAT10	-0.80075
CHD1	-1.383
SYN3	-0.708
SLC22A2	0.23175
SERPINF1	1.71933333333333
WDR34	-1.0635
OR7A17	0.8705
C9orf11	-0.3425
RNF216L	-0.3393
LHB	0.6345
STK25	-0.238125
TAOK3	0.227125
LOC152573	-0.9165
C3orf39	0.60375
C14orf108	-0.0253
CDC25B	-2.27236363636364
BMP3	0.491
TMEM180	0.3165
MAP1LC3C	2.955
CRYGC	-0.3235
POU3F1	-0.364
C20orf32	-1.212
CCDC95	-0.781
HIGD1B	4.88875
USP6NL	-0.416625
ABCD4	0.0055
DIMT1L	-0.28275
TEK	2.039125
SLC25A46	-0.42625
LARP7	-1.2484
CD160	1.1365
MT1JP	1.22083333333333
PHF20	-0.5803125
CPNE4	-0.95475
GTPBP1	-0.189785714285714
RAB33B	0.9532
ALDOC	-1.17775
ZNF212	-0.01475
NUDT1	-1.29783333333333
RFPL2	-0.9305
ZNF83	0.2985
GDPD5	0.317
PDCD4	1.4687
CEP350	-0.625
OR10A2	0.641
CST7	0.32375
CIAO1	-1.45125
SELL	-0.184
OR8J3	4.5535
LTBP4	1.16416666666667
SIRT6	-0.53925
CCL19	4.91825
PPIL1	-0.929833333333333
GBP7	0.636333333333333
STK17A	-0.5449
ABR	0.52275
OR9G1	1.135
FOXE1	-0.8835
CNGA3	1.6115
GML	0.7295
CD38	-2.80375
ZDHHC6	-0.2195
NEFH	-3.46075
CTDSP2	0.782083333333333
PGBD5	-2.23466666666667
CCNY	0.368785714285714
RMND5B	0.31625
ZNF257	-2.2965
FLJ22167	-0.365125
EXOSC7	0.096
ROR2	0.7695
MAOA	3.027875
TNNT3	3.46533333333333
GYPC	0.8665
C7orf33	3.472
PLIN	5.56683333333333
LOC90826	-0.2895
RNF4	-0.6268
F8A1	-0.232333333333333
PLEKHG4	-0.69425
GRB2	-1.14845
HIST1H2AD	-2.009
DUS3L	-1.08683333333333
EIF1	0.03
RP5-1077B9.4	-1.20666666666667
FPGT	1.1875
GDF10	4.46083333333333
COQ9	-0.248
GCC2	0.0492857142857143
RARRES3	2.84875
PLXNA1	-0.3962
KIAA0100	-0.7349
PMF1	-0.34075
FNDC1	3.90875
HS2ST1	-0.058
CRELD2	-0.0195
C8G	-2.2965
CD82	0.9495
LIM2	-1.162
UNQ6490	-2.0335
MMP16	0.89925
DRD3	-0.27575
C5orf26	1.528
C11orf73	-0.09025
PTP4A2	-0.270125
OR4M2	1.5335
HPCA	-1.69916666666667
SEC14L1	-1.0705
CHFR	-1.159375
EMILIN1	0.32625
NDUFS4	0.6405
COL18A1	-0.458125
PDZD3	0.4012
C9orf16	-0.365166666666667
ERBB2IP	-0.189166666666667
EMX2	3.35775
FUS	-1.39225
TF	-3.0455
CLCN4	-0.5195
CXorf56	0.1995
C11orf72	1.30625
ELAC2	-0.454166666666667
NPR1	1.73175
ASS1	-0.8405
USP42	-0.75775
POLR2J	-0.8025
SEC23IP	-0.3735
UQCRC1	-0.58925
LOC729603	-0.70625
C1orf71	-1.654125
POLG	-3.3745
ADAM23	-3.7645
TFR2	-2.2585
RICTOR	-0.1153
MGC39606	1.29575
C19orf55	-0.04075
SNAPC1	-1.0895
GNA11	0.56175
CCDC52	-0.997
FSIP1	1.298
UPF3A	-0.3635
IGSF11	-2.04183333333333
LAGE3	-1.30375
CHST6	-2.5625
UNC13B	0.375125
TTLL4	-0.971625
ZNF687	-0.732375
SDC2	-0.05
COX7A2	-0.2735
LAMB4	-1.493
FAM24A	1.281
LRRTM3	-1.70575
GPHB5	1.174
OR4C13	0.797
EIF3EIP	1.22735714285714
HABP4	0.7165
TMEM125	2.7225
CNTN2	0.52775
ASNSD1	0.25175
FUT4	-0.536375
ACF	-1.435
LOC158381	-0.0335
CDH8	-0.0665
AGPS	-1.63433333333333
C4orf18	2.95475
PECI	0.43275
UNG	-1.07675
GSTP1	-0.0255
DCUN1D5	-1.40516666666667
DKFZP564J0863	-1.803
SLC9A3R1	-0.586
BCDO2	0.630375
CHMP7	-0.25825
REM2	1.2185
DNHD1	-0.065
FKBP4	-0.776875
ZNF350	1.95725
MGC11102	-0.819
BST1	2.19975
KISS1R	3.1175
NCR2	0.281
DEFB125	-0.912
UBE2W	0.05575
KRT15	4.800375
C10orf99	2.0895
SCN11A	0.824625
GFI1	-1.83175
RDHE2	2.2755
FHL1	2.41016666666667
OSGEP	-0.037
GATA1	-3.09833333333333
SMC6	-1.86425
TTTY14	-0.78875
LPIN3	0.35275
RPL4	0.2773
RBPMS	1.2109
PRPF3	-0.684833333333333
EMR1	-2.536
SPATA19	0.44575
XCR1	3.4665
IRX3	2.6086
RBM6	-0.33225
KLF4	0.8035
UNC5CL	-0.19275
SEBOX	-0.0755
BTK	-1.783
KRCC1	2.03675
C6orf27	1.457
SYTL5	-0.668
PRND	3.1085
LOC653319	-0.991
PIGL	-1.503375
HUS1	-0.967666666666667
SFRS6	-0.208416666666667
C17orf77	0.11
UIMC1	-0.226833333333333
FXYD2	-0.5185
LOC283152	0.3915
ZNF667	-0.2615
ZCCHC12	-1.28575
TFEC	1.7806
ATP7B	-0.704333333333333
POLD2	-1.40316666666667
RG9MTD1	0.19175
ACOT2	0.526
HIST1H4I	-2.090875
PPARGC1A	-1.4275
ETFA	-0.8454
POLRMT	-0.28125
ZNF146	-0.68675
MIA2	-1.491
KLHL6	-1.315
HOXB5	-0.235625
NENF	0.587833333333333
CUGBP1	-1.28825
PRSS22	1.02816666666667
CASC4	0.298
CUL4B	-0.268
CENPJ	-2.1449
PITX1	0.223666666666667
FLJ31033	-0.11
CELSR3	-2.43483333333333
ZNF568	1.30825
ITSN1	-0.0455
EHBP1L1	-0.612666666666667
C19orf2	-1.2895
DCTN1	1.2155
LIN28B	-4.665
TNKS2	0.29275
C1QBP	-0.78675
CADPS2	1.7155
SRMS	0.639
GJA9	0.1432
MGC24975	-1.03066666666667
TRIM45	-1.1895
TSP50	1.562
TCP1	-0.90675
TMED7	-0.3003
CMA1	2.7185
CENPL	-2.195
PTCRA	0.151
FST	-3.0765
VWCE	-2.1055
PAWR	-0.96525
ABCC12	0.6405
LDLR	-1.36
ASTN2	0.0479
LOC441212	-0.182625
GPATCH8	-0.31925
TANC2	-0.70475
KIF4A	-4.26075
C18orf18	0.03225
PGM1	-0.64675
KIAA0258	-0.234
CPD	-0.040125
SNCAIP	-0.60475
DCT	-5.17166666666667
HLA-DOA	2.44918181818182
OR11L1	2.011
UPK1B	0.205833333333333
DNAJB4	0.817875
UGT1A8	1.84675
HIST1H4L	-2.934
PECR	-1.05316666666667
HSPA2	1.573
WFIKKN1	-2.04
SERP1	0.43025
SYDE2	-0.30225
TACR2	3.9585
NUP85	-0.60975
CD177	0.417333333333333
LGR5	-2.47916666666667
PIGG	-0.386583333333333
