Hybridization REF	TCGA-E2-A155-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.4885
CREB3L1	-0.86325
RPS11	0.119625
PNMA1	0.0925
MMP2	-1.78716666666667
C10orf90	-2.3735
ZHX3	-0.627333333333333
ERCC5	-0.98125
GPR98	0.85675
RXFP3	0.19
APBB2	1.90025
PRO0478	-1.145375
KLHL13	-2.66025
PRSSL1	0.0453333333333333
PDCL3	1.1955
DECR1	-1.217875
SALL1	-3.89516666666667
CADM4	1.438
RPS18	-0.786857142857143
HNRPD	-1.38658333333333
CFHR5	1.4665
SLC10A7	0.435125
OR2K2	0.7055
LMAN1	0.24625
SUHW1	-3.404
CHD8	-1.0826
SUMO1	0.7369
GP1BA	0.4406
DDB1	-0.00316666666666666
MYO9B	-0.1733
MMP7	-0.46075
CRNKL1	1.28225
C9orf45	-1.505
XAB2	0.57075
RTN1	1.557625
KLHL14	0.2235
TBX10	-1.0235
CENPQ	-1.463
UTY	-0.713214285714286
ZBTB12	0.0185
DTNBP1	-0.433625
KBTBD8	-2.31566666666667
ZEB1	-0.0473333333333333
ZG16	-0.92
MIER1	0.8073
ADAM5P	0.8235
CHD9	-0.6921875
STK16	0.81775
KIAA1486	-0.536
TOB2	0.81275
BANK1	2.06475
OR2V2	0.00224999999999999
GRM2	0.212666666666667
PROSC	0.72875
SPIN2B	0.02925
PIR	-1.58133333333333
IPO9	-0.4123
EVC	-1.08366666666667
CXCL13	2.67016666666667
KIAA1199	-2.1302
SORL1	0.5525
NAT10	-0.32375
CHD1	-0.21275
SYN3	0.4915
SLC22A2	-0.21175
SERPINF1	-1.4865
WDR34	0.348
OR7A17	0.31325
C9orf11	0.0495
RNF216L	-0.4261
LHB	-0.2115
STK25	0.246375
TAOK3	0.7775
LOC152573	-0.24725
C3orf39	0.5555
C14orf108	0.1936
CDC25B	-0.104636363636364
BMP3	0
TMEM180	0.416
MAP1LC3C	0.35425
CRYGC	-0.742
POU3F1	-1.2844
C20orf32	-0.919
CCDC95	-0.1465
HIGD1B	2.5385
USP6NL	-0.670875
ABCD4	-1.49716666666667
DIMT1L	-1.86808333333333
TEK	0.8305
SLC25A46	-1.90525
LARP7	-1.7284
CD160	0.138833333333333
MT1JP	-0.135666666666667
PHF20	0.09225
CPNE4	-1.06075
GTPBP1	-0.0257857142857143
RAB33B	1.23933333333333
ALDOC	-0.79075
ZNF212	-0.46825
NUDT1	-1.15583333333333
RFPL2	-1.17
ZNF83	0.291833333333333
GDPD5	-1.176
PDCD4	1.21425
CEP350	-0.36275
OR10A2	0.1155
CST7	-0.203
CIAO1	-0.898
SELL	2.157625
OR8J3	0.564
LTBP4	0.449166666666667
SIRT6	0.046
CCL19	3.46725
PPIL1	-1.45666666666667
GBP7	0.9404
STK17A	-1.3779
ABR	0.1375
OR9G1	-0.009
FOXE1	-0.455625
CNGA3	0.1125
GML	0.778
CD38	-2.63925
ZDHHC6	0.386666666666667
NEFH	-3.92525
CTDSP2	0.262083333333333
PGBD5	-1.86266666666667
CCNY	0.0453571428571429
RMND5B	1.9175
ZNF257	-2.98175
FLJ22167	-0.543625
EXOSC7	-1.46016666666667
ROR2	-0.464375
MAOA	-1.92075
TNNT3	1.2485
GYPC	-2.06825
C7orf33	0.233
PLIN	2.954
LOC90826	0.2415
RNF4	0.6378
F8A1	0.382833333333333
PLEKHG4	-0.952
GRB2	0.89395
HIST1H2AD	1.8705
DUS3L	-0.6875
EIF1	0.241
RP5-1077B9.4	-1.15833333333333
FPGT	1.8415
GDF10	0.354333333333333
COQ9	-0.8445
GCC2	0.205285714285714
RARRES3	2.278625
PLXNA1	-1.3279
KIAA0100	-0.3964
PMF1	-0.186
FNDC1	5.0935
HS2ST1	0.26425
CRELD2	1.3415
C8G	-2.2175
CD82	-1.372
LIM2	-0.9385
UNQ6490	-0.254
MMP16	0.4425
DRD3	0.06225
C5orf26	-2.1335
C11orf73	-1.847375
PTP4A2	1.296875
OR4M2	0.085
HPCA	-0.513333333333333
SEC14L1	-1.11966666666667
CHFR	-0.31675
EMILIN1	0.207625
NDUFS4	-1.505
COL18A1	-1.0445
PDZD3	0.0116
C9orf16	0.534
ERBB2IP	-0.441166666666667
EMX2	2.114
FUS	-0.7735
TF	-4.8365
CLCN4	-0.8345
CXorf56	0.7155
C11orf72	0.298
ELAC2	-0.959166666666667
NPR1	-1.27975
ASS1	-4.12466666666667
USP42	-0.005125
POLR2J	-0.3075
SEC23IP	0.454333333333333
UQCRC1	-1.2325
LOC729603	-0.43375
C1orf71	-0.476875
POLG	-1.2265
ADAM23	-2.90175
TFR2	-1.75575
RICTOR	0.1396
MGC39606	0.37275
C19orf55	-0.245875
SNAPC1	-1.62916666666667
GNA11	1.431875
CCDC52	-0.332166666666667
FSIP1	6.3395
UPF3A	-0.16575
IGSF11	-0.4655
LAGE3	0.06175
CHST6	-3.5865
UNC13B	1.0875
TTLL4	-1.432625
ZNF687	-0.1885
SDC2	-1.1751
COX7A2	0.04125
LAMB4	0.16275
FAM24A	0.0825
LRRTM3	-0.320666666666667
GPHB5	0.18025
OR4C13	0.1255
EIF3EIP	-0.00549999999999998
HABP4	0.595
TMEM125	4.1455
CNTN2	0.7195
ASNSD1	-0.5865
FUT4	-0.520375
ACF	-4.3565
LOC158381	1.133
CDH8	-0.28525
AGPS	-0.456
C4orf18	0.215
