Hybridization REF	TCGA-BH-A18L-11A-42R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.181666666666667
CREB3L1	0.07875
RPS11	0.557375
PNMA1	0.5635
MMP2	1.04166666666667
C10orf90	0.42375
ZHX3	0.112833333333333
ERCC5	0.44575
GPR98	-0.558625
RXFP3	0.1075
APBB2	1.76225
PRO0478	-0.445875
KLHL13	1.11125
PRSSL1	-0.256333333333333
PDCL3	0.0365
DECR1	0.527875
SALL1	-3.41133333333333
CADM4	0.728333333333333
RPS18	0.302285714285714
HNRPD	-0.45625
CFHR5	-0.4604
SLC10A7	-0.152125
OR2K2	-0.5315
LMAN1	-1.3695
SUHW1	-3.356
CHD8	-0.355
SUMO1	0.5683
GP1BA	0.3046
DDB1	-0.525666666666667
MYO9B	-0.602
MMP7	7.054
CRNKL1	-0.38575
C9orf45	-1.57
XAB2	-0.35425
RTN1	2.30225
KLHL14	-0.663125
TBX10	-1.9455
CENPQ	-2.053
UTY	-1.11585714285714
ZBTB12	-0.0625
DTNBP1	0.06575
KBTBD8	-1.6055
ZEB1	2.024
ZG16	-0.35525
MIER1	0.6784
ADAM5P	0.487
CHD9	0.353
STK16	-0.47475
KIAA1486	-0.6025
TOB2	1.20583333333333
BANK1	4.81575
OR2V2	-0.3845
GRM2	0.3215
PROSC	0.60925
SPIN2B	0.52325
PIR	-0.994888888888889
IPO9	-1.0762
EVC	1.1795
CXCL13	1.07133333333333
KIAA1199	-4.57577777777778
SORL1	0.94425
NAT10	-0.99975
CHD1	-0.635
SYN3	-0.541
SLC22A2	-0.738
SERPINF1	2.56016666666667
WDR34	-1.03925
OR7A17	0.21925
C9orf11	-0.434
RNF216L	-0.7024
LHB	-0.2815
STK25	-0.15775
TAOK3	0.566125
LOC152573	-0.2605
C3orf39	0.739
C14orf108	-0.0739
CDC25B	-1.88863636363636
BMP3	0.1415
TMEM180	0.162
MAP1LC3C	4.03425
CRYGC	-1.971
POU3F1	-1.1799
C20orf32	-1.7045
CCDC95	-0.5015
HIGD1B	4.6375
USP6NL	-0.2605
ABCD4	0.489166666666667
DIMT1L	-0.633583333333333
TEK	2.306875
SLC25A46	-0.27275
LARP7	-0.7687
CD160	1.27716666666667
MT1JP	0.539833333333333
PHF20	-0.530875
CPNE4	-2.274
GTPBP1	-0.0972857142857143
RAB33B	1.28266666666667
ALDOC	-0.42775
ZNF212	-0.41625
NUDT1	-1.60533333333333
RFPL2	-1.11775
ZNF83	-0.310166666666667
GDPD5	1.555375
PDCD4	1.796
CEP350	-0.7355
OR10A2	-0.009
CST7	-0.2265
CIAO1	-1.14575
SELL	0.072625
OR8J3	0.7505
LTBP4	1.15333333333333
SIRT6	-0.6115
CCL19	4.54325
PPIL1	-1.41216666666667
GBP7	0.3105
STK17A	-0.6702
ABR	0.46275
OR9G1	0.3625
FOXE1	0.617375
CNGA3	1.0095
GML	-0.323
CD38	-2.3525
ZDHHC6	-0.1655
NEFH	-2.5975
CTDSP2	0.7765
PGBD5	-0.8435
CCNY	0.2285
RMND5B	0.52275
ZNF257	-1.45175
FLJ22167	-0.1725
EXOSC7	-0.472833333333333
ROR2	0.641125
MAOA	3.67025
TNNT3	3.47733333333333
GYPC	0.966
C7orf33	0.123
PLIN	5.1855
LOC90826	0.0325
RNF4	-0.739
F8A1	0.654166666666667
PLEKHG4	-0.7455
GRB2	-0.2033
HIST1H2AD	-1.33725
DUS3L	-0.673666666666667
EIF1	0.484166666666667
RP5-1077B9.4	-0.737333333333333
FPGT	1.1475
GDF10	4.674
COQ9	-0.021
GCC2	0.322214285714286
RARRES3	2.567875
PLXNA1	-0.4323
KIAA0100	-0.3032
PMF1	-0.2695
FNDC1	4.7845
HS2ST1	-0.14875
CRELD2	0.29375
C8G	-1.794
CD82	1.37675
LIM2	-1.296
UNQ6490	0.4565
MMP16	0.355
DRD3	-0.31175
C5orf26	0.10075
C11orf73	-0.1555
PTP4A2	0.594
OR4M2	-0.06
HPCA	-0.818833333333334
SEC14L1	-0.425833333333333
CHFR	-0.603375
EMILIN1	0.81
NDUFS4	0.01725
COL18A1	0.4785
PDZD3	0.7245
C9orf16	-0.224
ERBB2IP	-0.178333333333333
EMX2	4.84875
FUS	-1.365
TF	-1.3235
CLCN4	0.520333333333333
CXorf56	0.6205
C11orf72	0.4055
ELAC2	-0.0988333333333333
NPR1	2.41775
ASS1	-0.202333333333333
USP42	0.367
POLR2J	-0.991
SEC23IP	0.103666666666667
UQCRC1	-0.44175
LOC729603	-0.58775
C1orf71	-0.4595
POLG	-3.2445
ADAM23	-3.236
TFR2	-1.89575
RICTOR	-0.3926
MGC39606	1.547
C19orf55	-0.509625
SNAPC1	-0.791833333333333
GNA11	1.07375
CCDC52	-0.573333333333333
FSIP1	2.076
UPF3A	0.349
IGSF11	-2.09166666666667
LAGE3	-0.9095
CHST6	-3.363
UNC13B	0.163625
TTLL4	-1.26625
ZNF687	-0.50425
SDC2	0.7688
COX7A2	-0.1535
LAMB4	0.23325
FAM24A	0.572
LRRTM3	-1.2085
GPHB5	-0.30475
OR4C13	-0.8315
EIF3EIP	0.25
HABP4	0.8275
TMEM125	2.62625
CNTN2	1.093625
ASNSD1	-0.13025
FUT4	-0.219
ACF	-2.9665
LOC158381	0.3885
CDH8	-0.463
AGPS	-0.700333333333333
C4orf18	3.2165
PECI	0.321
UNG	-0.741125
GSTP1	0.096875
DCUN1D5	-1.38583333333333
DKFZP564J0863	-1.41325
SLC9A3R1	0.03975
BCDO2	0.0285
CHMP7	-0.048875
REM2	-0.31
DNHD1	-0.835375
FKBP4	-0.973125
ZNF350	1.313
MGC11102	-0.64175
BST1	2.42075
KISS1R	0.6055
NCR2	0.19
DEFB125	2.778
UBE2W	0.53725
KRT15	4.78175
C10orf99	0.0475
SCN11A	0.575875
GFI1	-2.80975
RDHE2	0.858
FHL1	3.73333333333333
OSGEP	-0.370833333333333
GATA1	-3.4655
SMC6	-1.53925
TTTY14	-1.28925
LPIN3	0.41725
RPL4	-0.2878
RBPMS	1.0123
PRPF3	-0.480166666666667
EMR1	-2.506
SPATA19	-0.6255
XCR1	0.1985
IRX3	1.7474
RBM6	-0.02975
KLF4	2.7758
UNC5CL	-1.1195
SEBOX	0.0655
BTK	-1.22125
KRCC1	1.28425
C6orf27	0.669
SYTL5	-0.6675
PRND	2.103375
LOC653319	-1.556
PIGL	-1.57675
HUS1	-0.702333333333333
SFRS6	-1.24758333333333
C17orf77	0.277
UIMC1	-0.111833333333333
FXYD2	-1.5053
LOC283152	0.232
ZNF667	0.81375
ZCCHC12	-0.598
TFEC	2.03
ATP7B	-0.384166666666667
POLD2	-1.48083333333333
RG9MTD1	-0.319
ACOT2	1.74183333333333
HIST1H4I	-1.37875
PPARGC1A	-0.3239
ETFA	-0.4218
POLRMT	-0.487
ZNF146	-0.424
MIA2	0.18
KLHL6	-1.71183333333333
HOXB5	-0.28025
NENF	0.2985
CUGBP1	-0.405
PRSS22	0.8885
CASC4	1.0917
CUL4B	0.00160000000000002
CENPJ	-1.5566
PITX1	-2.04183333333333
FLJ31033	0.404166666666667
CELSR3	-2.73116666666667
ZNF568	1.0745
ITSN1	1.31875
EHBP1L1	-0.549666666666667
C19orf2	-0.9525
DCTN1	0.166
LIN28B	-4.2635
TNKS2	1.1115
C1QBP	-0.865875
CADPS2	1.233
SRMS	-0.201
GJA9	-0.240333333333333
MGC24975	-1.28366666666667
TRIM45	-0.927333333333333
TSP50	1.09675
TCP1	-1.098
TMED7	0.2869
CMA1	2.3885
CENPL	-2.27766666666667
PTCRA	-0.4945
FST	-2.59675
VWCE	-1.59075
PAWR	-0.5495
ABCC12	0.00783333333333333
LDLR	-0.047
ASTN2	0.4513
LOC441212	-0.53075
GPATCH8	-0.53125
TANC2	-0.896583333333334
KIF4A	-4.025
C18orf18	-0.284
PGM1	0.75325
KIAA0258	0.3685
CPD	-0.126125
SNCAIP	-0.00974999999999999
DCT	-4.475
HLA-DOA	2.508
OR11L1	0.3375
UPK1B	-0.6428
DNAJB4	1.257875
UGT1A8	0.263
HIST1H4L	-0.3465
PECR	0.177833333333333
HSPA2	1.06525
WFIKKN1	-3.479
SERP1	0.431625
SYDE2	0.25825
TACR2	0.9165
NUP85	-0.93925
CD177	-0.4425
LGR5	-2.89066666666667
PIGG	-0.285083333333333
PTHR1	1.123
RAB5A	0.1743
FLJ13224	-0.037
USP9Y	-3.0244
C7orf53	-0.3285
LRP1B	1.1285
XAF1	3.2432
ABCG8	0.536
ANKDD1A	1.334
DAND5	-1.2915
SPAG6	0.9395
LINCR	2.749
ZDHHC22	-1.293625
CCDC60	0.573
THOC7	-1.2925
TCTA	1.0009
OR8K3	0.0105
NY-REN-7	-0.09375
B2M	2.20533333333333
C6orf141	-1.57
LPPR4	2.8905
SQLE	-3.11525
SEPHS1	-0.623
BTBD14B	0.2705
PLRG1	-0.23425
SPG7	-0.2281875
ZNF614	-0.673833333333333
PARD6G	1.22
INPP5B	-0.8382
GRPEL2	-0.849375
PPID	-0.5696
TRIM56	0.285
UBE2J1	-0.367375
IL20RA	5.79975
LOC387856	0.39225
C1orf107	-0.549
UTS2R	1.22675
C19orf22	-0.77775
SAFB2	0.32525
KIAA0652	0.1515
KLRG1	0.873833333333333
MS4A8B	0.312666666666667
FRAG1	-0.693
KIAA1546	0.4055
E2F4	-0.7128
CLEC4M	0.829833333333333
BTBD14A	-0.87075
KIAA0999	0.9235
GYPA	-3.42866666666667
TAC1	2.8514
TRAIP	-2.0975
KIAA0232	0.6518
ERCC8	-1.47525
GPX4	1.283875
KIAA0368	0.194625
GPR157	-0.877166666666667
CTAGE4	0.6285
C9orf30	-1.54
OR52A1	-0.012
HSP90B3P	-0.144
ALG9	-0.464
BTBD10	0.23175
SDK2	-0.29475
BAIAP3	-0.04175
RABGGTB	-0.741875
ANKRD40	0.331833333333333
KRT74	0.6245
CALCOCO2	0.6475
SNCA	-2.06975
TMSL8	-3.9435
C2orf53	0.286
ESRRB	-0.1615
ARHGAP26	-0.600875
TDRD9	-2.4615
HRAS	0.148833333333333
KLRC4	-2.5315
JAGN1	-0.341833333333333
BSDC1	0.6065
RNF43	-0.4758
NDUFAF1	0.46025
PHF12	-0.153
OR1L3	-0.03775
FOLR2	3.64408333333333
LYZL6	0.206
tcag7.1260	-0.5515
WSB1	-0.288
PROS1	1.1464
OSTN	0.1795
PSMB8	0.7385
SOCS4	-0.6945
DDIT4L	3.385
MAS1	-0.4625
MGC34796	0.59175
CSHL1	0.154666666666667
TBCCD1	0.203833333333333
ZBTB7C	0.022
AP2S1	-0.894875
P15RS	-0.7036
VAT1	-0.1581
SHANK3	1.784
TUFM	-0.718333333333333
THEG	-0.204
KRT34	-1.8525
SGSM3	0.385875
TOMM22	-0.38275
SOCS3	3.718
CPO	1.489
POP4	0.154
BHLHB3	2.75525
MALL	2.4465
OR1B1	0.5595
PARK2	0.737166666666667
GPR124	2.522125
LCE1E	-0.416
RUVBL2	-0.9505
CGRRF1	0.7629
ACPL2	0.22375
WNT10B	-0.1945
BAIAP2L2	-1.84575
ISCA1	0.6785
C1orf125	-0.1485
RPAP1	-0.916
RAI16	0.243
RPL27	-0.317125
NLRP9	-0.0345
EPN1	0.0215
LOC388610	-0.85525
SLC35A1	0.6488
GAL	-3.41525
SLC14A2	-0.017
RDH11	-0.963333333333333
FAM138F	-0.886
AUH	0.97025
FLJ40243	-0.12025
C14orf129	-0.4455
MBD2	-0.363833333333333
ABHD14B	0.541625
PIGT	0.354375
ALS2CR4	0.248875
ALAS1	0.1661
FOXO1	2.54383333333333
CRLF3	-0.56075
C20orf107	0.1335
FARS2	0.59425
CCDC28A	1.411
NPHP3	0.33075
OR13F1	0.395
TSEN54	-1.25025
DEFB106B	0.0827
OR8B4	-0.23
STH	-0.011
ZC3H14	-0.28275
CBX2	-0.283
TMEM49	-1.085
C6orf21	-0.0545
FLJ20920	0.61825
CRTAP	0.661357142857143
DDX50	0.1375
STYXL1	-0.6455
BLVRB	0.208333333333333
LOC147650	1.08316666666667
MMP24	1.003
GRID1	1.95683333333333
BANF1	-0.764166666666667
CTAGEP	-0.1805
HMBS	-2.124
SLC25A24	-0.053
C14orf50	1.68125
MRO	1.25483333333333
SLC25A15	-1.28225
FAM84B	0.7164
TDP1	-1.5775
C16orf78	0.189333333333333
C11orf57	-0.11425
RFK	-0.795125
ZFYVE9	-0.06425
STCH	-1.1861
WIBG	0.02
LOC283871	-0.889166666666667
GBA2	-0.4151
NDUFB3	-0.19025
HSD17B13	3.33025
GRIN3A	1.57333333333333
FMNL1	-0.882833333333333
