Hybridization REF	TCGA-BH-A0BS-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.403166666666667
CREB3L1	2.3835
RPS11	0.322375
PNMA1	1.11325
MMP2	0.371666666666667
C10orf90	-2.08325
ZHX3	-0.0403333333333333
ERCC5	0.9395
GPR98	-0.524375
RXFP3	0.8615
APBB2	1.10025
PRO0478	-0.815
KLHL13	0.0935
PRSSL1	-0.358
PDCL3	-0.0745
DECR1	0.995
SALL1	-3.63283333333333
CADM4	1.8505
RPS18	0.8085
HNRPD	-1.01125
CFHR5	1.01633333333333
SLC10A7	0.375875
OR2K2	-0.6895
LMAN1	-1.492375
SUHW1	-2.92925
CHD8	1.4095
SUMO1	0.3228
GP1BA	0.3727
DDB1	0.5565
MYO9B	-0.2672
MMP7	5.82
CRNKL1	0.6605
C9orf45	-2.1935
XAB2	0.35125
RTN1	0.50925
KLHL14	-1.023625
TBX10	-1.0005
CENPQ	-1.31075
UTY	-1.01485714285714
ZBTB12	0.6745
DTNBP1	0.378375
KBTBD8	-1.52766666666667
ZEB1	-0.524833333333333
ZG16	-0.82925
MIER1	0.2859
ADAM5P	0.035
CHD9	-0.21175
STK16	0.873
KIAA1486	-0.2145
TOB2	0.892333333333333
BANK1	3.25725
OR2V2	-0.0675
GRM2	0.332833333333333
PROSC	0.757875
SPIN2B	0.14
PIR	-3.91511111111111
IPO9	-0.5276
EVC	1.1035
CXCL13	5.436
KIAA1199	-2.4108
SORL1	1.491
NAT10	0.72725
CHD1	-1.362
SYN3	-0.3665
SLC22A2	-0.49375
SERPINF1	0.5265
WDR34	-1.17775
OR7A17	0.55175
C9orf11	-0.1235
RNF216L	0.3811
LHB	0.1695
STK25	-0.476125
TAOK3	1.84475
LOC152573	-3.2145
C3orf39	0.99275
C14orf108	0.9974
CDC25B	-2.14709090909091
BMP3	0.3145
TMEM180	0.2185
MAP1LC3C	-0.03575
CRYGC	-0.7745
POU3F1	-1.161
C20orf32	-1.234
CCDC95	0.3385
HIGD1B	3.1965
USP6NL	0.46525
ABCD4	1.16916666666667
DIMT1L	-1.355
TEK	0.596625
SLC25A46	-1.01225
LARP7	-0.5801
CD160	0.054
MT1JP	-0.951333333333333
PHF20	0.0395625
CPNE4	-2.02425
GTPBP1	-0.198571428571429
RAB33B	0.407666666666667
ALDOC	-2.9445
ZNF212	0.32775
NUDT1	-0.931833333333333
RFPL2	-0.0735
ZNF83	0.539
GDPD5	-1.4655
PDCD4	2.54705
CEP350	-0.191
OR10A2	0.47675
CST7	0.7615
CIAO1	-0.804
SELL	1.223
OR8J3	0.2355
LTBP4	0.137333333333333
SIRT6	0.05875
CCL19	4.4445
PPIL1	0.179333333333333
GBP7	0.496
STK17A	-0.4592
ABR	-0.26275
OR9G1	-0.3385
FOXE1	-0.42475
CNGA3	-0.6195
GML	0.9685
CD38	-2.3825
ZDHHC6	0.0898333333333333
NEFH	-1.64125
CTDSP2	0.6215
PGBD5	-1.81433333333333
CCNY	0.688857142857143
RMND5B	0.252
ZNF257	-1.27675
FLJ22167	-0.18875
EXOSC7	0.476
ROR2	0.864375
MAOA	-1.812125
TNNT3	0.544833333333333
GYPC	-1.832
C7orf33	0.9995
PLIN	1.39333333333333
LOC90826	-0.31875
RNF4	-0.4426
F8A1	1.3815
PLEKHG4	-3.58525
GRB2	-0.39585
HIST1H2AD	1.8885
DUS3L	-1.4005
EIF1	-0.8945
RP5-1077B9.4	-0.916666666666667
FPGT	1.74625
GDF10	-0.109833333333333
COQ9	-0.1415
GCC2	-0.709357142857143
RARRES3	3.388375
PLXNA1	-0.7011
KIAA0100	0.2822
PMF1	0.40375
FNDC1	5.22425
HS2ST1	-0.148666666666666
CRELD2	0.17975
C8G	-1.5565
CD82	1.94825
LIM2	-0.58
UNQ6490	0.2625
MMP16	-0.453
DRD3	-0.07875
C5orf26	-1.38325
C11orf73	0.02825
PTP4A2	1.31925
OR4M2	0.799
HPCA	-1.172
SEC14L1	-0.265333333333333
CHFR	0.48025
EMILIN1	0.92725
NDUFS4	-1.1695
COL18A1	-0.39825
PDZD3	0.261
C9orf16	-0.200833333333333
ERBB2IP	0.0258333333333333
EMX2	3.572
FUS	-0.29
TF	-1.8218
CLCN4	-0.0918333333333333
CXorf56	0.3005
C11orf72	0.378
ELAC2	0.257333333333333
NPR1	-1.178
ASS1	-2.05883333333333
USP42	0.170375
POLR2J	-0.967
SEC23IP	0.959333333333333
UQCRC1	0.3335
LOC729603	-1.0995
C1orf71	-0.20525
POLG	-2.485
ADAM23	-3.22075
TFR2	-0.8645
RICTOR	-1.3502
MGC39606	0.366
C19orf55	0.07175
SNAPC1	-0.371
GNA11	-0.262375
CCDC52	0.217166666666667
FSIP1	-0.2145
UPF3A	-0.030375
IGSF11	-2.149
LAGE3	0.07275
CHST6	-2.0325
UNC13B	0.312
TTLL4	-0.9525
ZNF687	0.629
SDC2	0.9457
COX7A2	-1.414
LAMB4	-0.163
FAM24A	0.375
LRRTM3	-1.00233333333333
GPHB5	0.2225
OR4C13	-0.187
EIF3EIP	-0.485142857142857
