Hybridization REF	TCGA-BH-A18Q-01A-12R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.440666666666667
CREB3L1	-0.82025
RPS11	0.62125
PNMA1	-0.918
MMP2	-1.143
C10orf90	1.08
ZHX3	0.032
ERCC5	0.675
GPR98	-0.65575
RXFP3	0.463
APBB2	0.328
PRO0478	-0.23425
KLHL13	-1.40975
PRSSL1	-1.53033333333333
PDCL3	0.752166666666667
DECR1	0.03025
SALL1	-4.683
CADM4	2.20133333333333
RPS18	0.326214285714286
HNRPD	-0.318833333333333
CFHR5	-0.101833333333333
SLC10A7	-0.0825
OR2K2	0.0535
LMAN1	-0.712125
SUHW1	-2.64775
CHD8	-0.6424
SUMO1	0.2407
GP1BA	0.4925
DDB1	-1.14466666666667
MYO9B	1.1482
MMP7	7.0815
CRNKL1	0.49175
C9orf45	-0.0313333333333333
XAB2	-0.005625
RTN1	1.630875
KLHL14	-2.128375
TBX10	-2.0305
CENPQ	-0.6935
UTY	-1.54846153846154
ZBTB12	0.4115
DTNBP1	0.05875
KBTBD8	-1.5725
ZEB1	0.233
ZG16	-2.4875
MIER1	0.3924
ADAM5P	0.038
CHD9	1.1775625
STK16	-0.29825
KIAA1486	-0.496
TOB2	0.801333333333333
BANK1	2.516
OR2V2	0.504
GRM2	0.400333333333333
PROSC	0.11825
SPIN2B	-1.06875
PIR	-1.581
IPO9	0.211
EVC	-1.49083333333333
CXCL13	5.59816666666667
KIAA1199	-2.9455
SORL1	0.5465
NAT10	-0.77625
CHD1	-0.7735
SYN3	-1.17275
SLC22A2	-0.9395
SERPINF1	-0.606666666666667
WDR34	-0.01775
OR7A17	-0.12775
C9orf11	0.2325
RNF216L	-1.4658
LHB	-0.242
STK25	-0.30975
TAOK3	0.991625
LOC152573	-3.82575
C3orf39	0.327375
C14orf108	-0.658
CDC25B	-0.0153636363636364
BMP3	-0.0405
TMEM180	0.4675
MAP1LC3C	0.99875
CRYGC	-1.849
POU3F1	-0.2848
C20orf32	-2.555
CCDC95	0.032
HIGD1B	3.3785
USP6NL	0.30575
ABCD4	-1.0535
DIMT1L	0.139
TEK	0.73
SLC25A46	-1.20625
LARP7	-1.0869
CD160	1.514
MT1JP	-0.996166666666667
PHF20	0.2365
CPNE4	-0.25275
GTPBP1	0.366
RAB33B	0.23
ALDOC	-1.59375
ZNF212	-1.25725
NUDT1	-0.864166666666667
RFPL2	-0.97875
ZNF83	0.716333333333333
GDPD5	0.44225
PDCD4	0.78285
CEP350	0.39
OR10A2	0.07975
CST7	1.0135
CIAO1	-1.1495
SELL	0.469875
OR8J3	0.705
LTBP4	-0.2275
SIRT6	0.04925
CCL19	4.341
PPIL1	-0.619666666666667
GBP7	2.47133333333333
STK17A	-1.1504
ABR	-0.78225
OR9G1	0.338
FOXE1	-0.768875
CNGA3	-1.486
GML	0.314
CD38	-1.46875
ZDHHC6	-0.290666666666667
NEFH	-3.45825
CTDSP2	1.00016666666667
PGBD5	-1.28316666666667
CCNY	0.603428571428571
RMND5B	-0.29225
ZNF257	-2.8405
FLJ22167	0.054875
EXOSC7	-1.16083333333333
ROR2	0.00337500000000002
MAOA	-0.75175
TNNT3	-0.299666666666667
GYPC	-1.399
C7orf33	0.648
PLIN	1.89466666666667
LOC90826	-0.71875
RNF4	-0.8038
F8A1	0.685333333333333
PLEKHG4	1.36625
GRB2	0.0342
HIST1H2AD	1.06525
DUS3L	-0.0396666666666667
EIF1	-1.039
RP5-1077B9.4	-0.543666666666667
FPGT	1.04925
GDF10	-1.36
COQ9	0.3335
GCC2	0.296214285714286
RARRES3	2.34375
PLXNA1	-0.4246
KIAA0100	-1.1571
PMF1	0.64425
FNDC1	5.6195
HS2ST1	0.12425
CRELD2	1.2405
C8G	-1.0625
CD82	1.9775
LIM2	-1.5845
UNQ6490	1.158
MMP16	1.189
DRD3	-0.04575
C5orf26	-0.57875
C11orf73	-0.299625
PTP4A2	-0.85725
OR4M2	0.2055
HPCA	0.272833333333333
SEC14L1	-0.883833333333333
CHFR	0.039875
EMILIN1	0.307125
NDUFS4	0.06825
COL18A1	-0.848625
PDZD3	-0.4564
C9orf16	-0.750833333333333
ERBB2IP	0.556833333333333
EMX2	1.11275
FUS	-0.19325
TF	-4.0011
CLCN4	1.27633333333333
CXorf56	-0.58275
C11orf72	0.47225
ELAC2	-0.678
NPR1	-0.9265
ASS1	-1.102
