Hybridization REF	TCGA-BH-A18S-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.599083333333334
CREB3L1	1.338
RPS11	0.16325
PNMA1	0.16725
MMP2	-0.408666666666667
C10orf90	-2.684
ZHX3	-0.598
ERCC5	-0.3285
GPR98	0.647
RXFP3	0.42
APBB2	1.4185
PRO0478	-1.5
KLHL13	-2.7045
PRSSL1	-0.820333333333333
PDCL3	0.896166666666667
DECR1	0.606125
SALL1	-3.2925
CADM4	1.30616666666667
RPS18	0.0779285714285714
HNRPD	-0.699166666666667
CFHR5	0.479166666666667
SLC10A7	0.708875
OR2K2	-0.5965
LMAN1	-0.19075
SUHW1	-3.529
CHD8	-0.0768
SUMO1	0.7681
GP1BA	-0.3191
DDB1	0.00566666666666667
MYO9B	-0.5831
MMP7	2.5005
CRNKL1	0.79325
C9orf45	-2.97466666666667
XAB2	0.64575
RTN1	2.73875
KLHL14	-0.97975
TBX10	-1.0945
CENPQ	-1.7805
UTY	-0.720461538461538
ZBTB12	-0.21
DTNBP1	-0.60825
KBTBD8	-1.6835
ZEB1	-0.6035
ZG16	-1.72425
MIER1	0.9351
ADAM5P	0.319
CHD9	0.369
STK16	0.51425
KIAA1486	-0.2435
TOB2	1.04125
BANK1	0.89125
OR2V2	0.50025
GRM2	0.335666666666667
PROSC	1.141
SPIN2B	0.3305
PIR	-1.99333333333333
IPO9	-0.6099
EVC	0.190333333333333
CXCL13	0.730666666666667
KIAA1199	-2.18944444444444
SORL1	1.45825
NAT10	-0.28225
CHD1	-0.66625
SYN3	-0.28175
SLC22A2	-0.46
SERPINF1	-0.664166666666667
WDR34	-0.37
OR7A17	0.573
C9orf11	0.218
RNF216L	-0.3538
LHB	-0.456
STK25	-0.654625
TAOK3	0.499375
LOC152573	-3.1925
C3orf39	1.067
C14orf108	0.5271
CDC25B	-3.35709090909091
BMP3	-0.0145
TMEM180	0.1675
MAP1LC3C	-0.37425
CRYGC	-0.52
POU3F1	-1.7392
C20orf32	-1.372
CCDC95	-0.245
HIGD1B	4.5115
USP6NL	-0.53825
ABCD4	-0.215666666666667
DIMT1L	-0.629666666666666
TEK	0.614625
SLC25A46	-0.4965
LARP7	-1.505
CD160	-0.7495
MT1JP	-1.40616666666667
PHF20	-0.0159375
CPNE4	-0.87525
GTPBP1	-0.304428571428571
RAB33B	1.29266666666667
ALDOC	-3.679
ZNF212	0.075
NUDT1	-1.58166666666667
RFPL2	-0.5015
ZNF83	0.161833333333333
GDPD5	-2.16975
PDCD4	1.0744
CEP350	0.74025
OR10A2	0.163
CST7	0.22825
CIAO1	-1.308
SELL	0.19
OR8J3	0.7465
LTBP4	-0.7945
SIRT6	0.15
CCL19	1.28775
PPIL1	-0.7325
GBP7	0.415333333333333
STK17A	-1.1965
ABR	-0.652
OR9G1	0.7035
FOXE1	-0.7245
CNGA3	-0.343
GML	0.4685
CD38	-4.013
ZDHHC6	0.299666666666667
NEFH	-3.59575
