Hybridization REF	TCGA-E2-A1B6-01A-31R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0370833333333333
CREB3L1	1.40025
RPS11	1.406625
PNMA1	-0.42125
MMP2	-0.217166666666667
C10orf90	-1.4045
ZHX3	-0.569166666666667
ERCC5	0.917
GPR98	1.048
RXFP3	-0.015
APBB2	1.6335
PRO0478	-1.332
KLHL13	-0.91625
PRSSL1	0.6075
PDCL3	-0.1155
DECR1	-0.576875
SALL1	-4.71466666666667
CADM4	0.338166666666667
RPS18	0.866428571428571
HNRPD	-0.849666666666667
CFHR5	0.550833333333333
SLC10A7	-0.131
OR2K2	-0.18
LMAN1	-0.8085
SUHW1	-3.638
CHD8	-0.1864
SUMO1	0.413
GP1BA	4.0106
DDB1	-0.4775
MYO9B	-0.2841
MMP7	6.83875
CRNKL1	0.05475
C9orf45	-1.06966666666667
XAB2	0.294875
RTN1	2.231125
KLHL14	-0.608
TBX10	-0.9005
CENPQ	-2.02725
UTY	-1.98476923076923
ZBTB12	-1.1785
DTNBP1	0.17925
KBTBD8	0.242833333333333
ZEB1	0.1785
ZG16	-0.075
MIER1	0.3248
ADAM5P	-0.083
CHD9	0.16425
STK16	-0.02425
KIAA1486	-0.326
TOB2	0.988583333333333
BANK1	6.07725
OR2V2	0.339333333333333
GRM2	0.6195
PROSC	-0.238625
SPIN2B	-0.4405
PIR	-1.95188888888889
IPO9	-1.0849
EVC	0.248833333333333
CXCL13	6.80483333333333
KIAA1199	-2.3538
SORL1	1.5445
NAT10	-0.30325
CHD1	-0.2015
SYN3	-0.55175
SLC22A2	-0.9205
SERPINF1	1.0855
WDR34	0.041
OR7A17	0.64275
C9orf11	-0.205
RNF216L	0.1641
LHB	0.179
STK25	-0.101875
TAOK3	1.34725
LOC152573	-1.532
C3orf39	-0.471375
C14orf108	0.562
CDC25B	-1.53445454545455
BMP3	0.6645
TMEM180	0.134
MAP1LC3C	2.4595
CRYGC	-0.4275
POU3F1	-0.7685
C20orf32	-0.6925
CCDC95	-0.558
HIGD1B	4.797
USP6NL	-0.101875
ABCD4	-0.12
DIMT1L	-0.252
TEK	1.887875
SLC25A46	-0.37475
LARP7	-1.1036
CD160	1.53116666666667
MT1JP	-0.168166666666667
PHF20	-0.1950625
CPNE4	2.16425
GTPBP1	-0.205142857142857
RAB33B	0.0565
ALDOC	-1.575125
ZNF212	-0.38525
NUDT1	-0.612166666666667
RFPL2	-0.465
ZNF83	-0.661166666666667
GDPD5	-0.1435
PDCD4	1.7
CEP350	-0.16975
OR10A2	0.59975
CST7	2.99025
CIAO1	-0.859
SELL	3.887375
OR8J3	0.2845
LTBP4	0.292833333333333
SIRT6	0.17575
CCL19	4.719
PPIL1	-1.01233333333333
GBP7	2.4195
STK17A	0.0135
ABR	0.199
OR9G1	-1.1635
FOXE1	-0.355
CNGA3	2.378
GML	0.359
CD38	0.0165
ZDHHC6	-0.395166666666667
NEFH	-2.05625
CTDSP2	0.405916666666667
PGBD5	-1.29766666666667
CCNY	0.286714285714286
RMND5B	0.814833333333334
ZNF257	-2.41225
FLJ22167	-0.934125
EXOSC7	-0.394333333333333
ROR2	0.506
MAOA	1.67025
TNNT3	1.51933333333333
GYPC	0.29575
C7orf33	0.739
PLIN	4.6005
LOC90826	-0.38775
RNF4	0.2999
F8A1	0.0123333333333333
PLEKHG4	-1.6765
GRB2	-0.5454
HIST1H2AD	0.48225
DUS3L	-0.444666666666667
EIF1	-0.478333333333333
RP5-1077B9.4	-0.8395
FPGT	0.63575
GDF10	1.69033333333333
COQ9	0.99125
GCC2	0.172214285714286
RARRES3	3.219
PLXNA1	-0.7695
KIAA0100	-0.3704
PMF1	0.19725
FNDC1	4.5925
HS2ST1	-0.08975
CRELD2	1.3145
C8G	-1.346
CD82	1.0525
LIM2	-0.71
UNQ6490	-1.38
MMP16	-0.30975
DRD3	0.76725
C5orf26	1.24925
C11orf73	-0.21625
PTP4A2	1.784375
OR4M2	1.2285
HPCA	-1.02133333333333
SEC14L1	-0.351666666666667
CHFR	0.076875
EMILIN1	0.961375
NDUFS4	0.0375
COL18A1	0.39975
PDZD3	-0.8465
C9orf16	0.9495
ERBB2IP	0.766333333333333
EMX2	3.824
FUS	-0.70025
TF	-3.0442
CLCN4	0.204666666666667
CXorf56	0.12325
C11orf72	0.404
ELAC2	-0.665
NPR1	0.682
ASS1	-1.3265
USP42	0.14475
POLR2J	-0.599
SEC23IP	0.3425
UQCRC1	-0.101
LOC729603	-1.349
C1orf71	-0.207375
POLG	-2.7385
ADAM23	-2.82725
TFR2	-0.90525
RICTOR	-0.1201
MGC39606	0.58375
C19orf55	-0.56925
SNAPC1	-1.50116666666667
GNA11	0.498125
CCDC52	0.0973333333333333
FSIP1	4.753
UPF3A	-0.30925
IGSF11	-1.988
LAGE3	-0.00775
CHST6	-3.8
UNC13B	-0.00712499999999999
