Hybridization REF	TCGA-E2-A153-01A-12R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.1515
CREB3L1	1.423
RPS11	0.78025
PNMA1	0.175
MMP2	2.31616666666667
C10orf90	-2.598
ZHX3	-0.04
ERCC5	0.5385
GPR98	-0.45
RXFP3	0.7205
APBB2	1.1095
PRO0478	-1.211
KLHL13	-2.05475
PRSSL1	-0.5015
PDCL3	-0.0166666666666667
DECR1	-0.04625
SALL1	-2.843
CADM4	0.631333333333333
RPS18	0.0882142857142857
HNRPD	-1.22358333333333
CFHR5	0.8785
SLC10A7	0.168625
OR2K2	-1.1495
LMAN1	-0.76375
SUHW1	-4.208
CHD8	-0.0616
SUMO1	0.5377
GP1BA	-0.0762222222222222
DDB1	-0.4795
MYO9B	0.4039
MMP7	5.65475
CRNKL1	0.556625
C9orf45	-2.53633333333333
XAB2	0.2375
RTN1	2.422125
KLHL14	-1.855375
TBX10	-1.6245
CENPQ	-2.23125
UTY	-1.00390909090909
ZBTB12	-1.095
DTNBP1	-0.461
KBTBD8	-1.477
ZEB1	1.77066666666667
ZG16	-2.021
MIER1	0.853
ADAM5P	-0.48
CHD9	-0.3385
STK16	-0.44775
KIAA1486	-0.9785
TOB2	0.7565
BANK1	2.40325
OR2V2	-0.22625
GRM2	0.0543333333333333
PROSC	0.00162500000000002
SPIN2B	-0.3355
PIR	-3.25188888888889
IPO9	-0.4256
EVC	1.6145
CXCL13	1.52983333333333
KIAA1199	2.2048
SORL1	1.16575
NAT10	-0.37375
CHD1	-0.88075
SYN3	0.323
SLC22A2	0.1335
SERPINF1	2.25416666666667
WDR34	-0.2955
OR7A17	0.19225
C9orf11	0.207
RNF216L	-0.3077
LHB	-0.061
STK25	-0.010875
TAOK3	0.994625
LOC152573	-2.69225
C3orf39	0.81625
C14orf108	-0.1531
CDC25B	-1.83872727272727
BMP3	-0.4305
TMEM180	0.0435
MAP1LC3C	-0.177
CRYGC	-0.922
POU3F1	-0.5696
C20orf32	-1.0605
CCDC95	-0.189
HIGD1B	4.499
USP6NL	-0.51825
ABCD4	-0.3485
DIMT1L	-0.89925
TEK	1.3615
SLC25A46	-0.60475
LARP7	-1.3324
CD160	0.662833333333333
MT1JP	-0.593666666666667
PHF20	0.3425
CPNE4	-1.085
GTPBP1	-0.381928571428571
