Hybridization REF	TCGA-E2-A1B4-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.351166666666667
CREB3L1	1.71825
RPS11	0.326125
PNMA1	-0.3635
MMP2	0.400666666666667
C10orf90	-1.72625
ZHX3	0.604333333333333
ERCC5	0.7085
GPR98	1.288375
RXFP3	-0.2805
APBB2	1.96775
PRO0478	-0.923875
KLHL13	-2.15575
PRSSL1	-0.330333333333333
PDCL3	0.26
DECR1	0.099875
SALL1	-3.75783333333333
CADM4	0.570666666666667
RPS18	0.409928571428571
HNRPD	-1.1215
CFHR5	0.018
SLC10A7	-0.195375
OR2K2	0.984
LMAN1	-1.918625
SUHW1	-3.0905
CHD8	0.821
SUMO1	0.4353
GP1BA	0.0242
DDB1	0.0338333333333333
MYO9B	-0.8412
MMP7	6.18925
CRNKL1	0.878375
C9orf45	-0.580833333333333
XAB2	0.62475
RTN1	3.783875
KLHL14	-2.30271428571429
TBX10	-0.8965
CENPQ	-2.1205
UTY	-1.27783333333333
ZBTB12	0.267
DTNBP1	0.441875
KBTBD8	-2.0815
ZEB1	-0.763
ZG16	-1.49875
MIER1	0.3284
ADAM5P	-0.136
CHD9	-0.73575
STK16	1.00175
KIAA1486	-0.7565
TOB2	0.664083333333333
BANK1	1.41
OR2V2	1.12175
GRM2	-0.0766666666666667
PROSC	-0.075125
SPIN2B	0.73025
PIR	-3.70288888888889
IPO9	-1.0184
EVC	1.0315
CXCL13	2.72
KIAA1199	-1.2326
SORL1	1.53725
NAT10	-0.7715
CHD1	-0.27225
SYN3	-2.20125
SLC22A2	-0.56675
SERPINF1	0.8315
WDR34	-0.1205
OR7A17	0.9385
C9orf11	-1.904
RNF216L	0.1242
LHB	0.0315
STK25	-0.82825
TAOK3	1.2315
LOC152573	-3.422
C3orf39	0.48425
C14orf108	0.4438
CDC25B	-2.74981818181818
BMP3	-0.4195
TMEM180	-0.208
MAP1LC3C	0.18275
CRYGC	-2.419
POU3F1	-1.3577
C20orf32	-1.516
CCDC95	-0.535
HIGD1B	4.58025
USP6NL	0.273875
ABCD4	0.251666666666667
DIMT1L	-1.10841666666667
TEK	0.53875
SLC25A46	-1.021
LARP7	-0.8364
CD160	-0.589
MT1JP	-0.477833333333333
PHF20	-0.184125
CPNE4	-1.458
GTPBP1	0.196214285714286
RAB33B	1.49283333333333
ALDOC	-3.137625
ZNF212	0.0765
NUDT1	-1.41216666666667
RFPL2	-1.3795
ZNF83	0.414666666666667
GDPD5	-0.673125
PDCD4	2.58175
CEP350	0.33575
OR10A2	0.09875
CST7	-0.016
CIAO1	-0.97875
SELL	0.858875
OR8J3	0.53
LTBP4	-0.368833333333333
SIRT6	-0.1045
CCL19	4.6725
PPIL1	-1.1055
GBP7	0.2304
STK17A	-1.3128
ABR	0.361
OR9G1	0.971
FOXE1	-0.199375
CNGA3	0.763
GML	0.57
CD38	-4.26025
ZDHHC6	0.659333333333333
NEFH	-1.36825
CTDSP2	0.954833333333333
PGBD5	-2.2255
CCNY	0.2245
RMND5B	0.659
ZNF257	-1.4665
FLJ22167	-0.371125
EXOSC7	-0.147166666666667
ROR2	0.9525
MAOA	2.02125
TNNT3	0.626166666666667
GYPC	-2.16725
C7orf33	0.885
PLIN	2.92283333333333
LOC90826	0.63225
RNF4	0.0108
F8A1	0.578
PLEKHG4	-1.987
GRB2	0.34445
HIST1H2AD	-0.97275
DUS3L	-1.48833333333333
EIF1	-0.157666666666667
RP5-1077B9.4	-1.35833333333333
FPGT	1.973
GDF10	-0.408333333333333
COQ9	-0.6355
GCC2	0.816285714285714
RARRES3	3.443375
PLXNA1	-0.5388
KIAA0100	0.4722
PMF1	0.3885
FNDC1	6.024
HS2ST1	-1.15041666666667
CRELD2	0.323
C8G	-0.7885
CD82	0.65725
LIM2	-0.7805
UNQ6490	0.114
MMP16	-0.1
DRD3	-0.53325
C5orf26	0.13825
C11orf73	-0.895875
PTP4A2	1.5425
OR4M2	-1.565
HPCA	-1.70383333333333
SEC14L1	-0.254333333333333
CHFR	-0.319375
EMILIN1	0.454
NDUFS4	0.009
COL18A1	-0.3525
PDZD3	-0.588111111111111
C9orf16	0.805
ERBB2IP	0.0433333333333333
EMX2	3.87425
FUS	-1.61175
TF	-3.8302
CLCN4	-1.01933333333333
CXorf56	-0.0325
C11orf72	0.8515
ELAC2	-0.130333333333333
NPR1	-1.94425
ASS1	-1.334
USP42	0.229625
POLR2J	0.1965
SEC23IP	0.710333333333333
UQCRC1	0.06425
LOC729603	-0.937
C1orf71	-0.762
POLG	-2.8025
ADAM23	-3.599
TFR2	-1.26375
RICTOR	-0.3286
MGC39606	0.21825
C19orf55	-0.435375
SNAPC1	-1.29316666666667
GNA11	0.391875
CCDC52	0.745833333333333
FSIP1	3.9615
UPF3A	-0.424
IGSF11	-2.01166666666667
LAGE3	-0.6505
CHST6	-1.154
UNC13B	1.739375
TTLL4	-1.980375
