Hybridization REF	TCGA-BH-A0AU-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.61475
CREB3L1	0.948
RPS11	0.296875
PNMA1	0.07025
MMP2	1.19716666666667
C10orf90	-2.02175
ZHX3	0.358
ERCC5	-0.26825
GPR98	0.0945
RXFP3	0.005
APBB2	1.14925
PRO0478	-1.329625
KLHL13	-1.94875
PRSSL1	0.119166666666667
PDCL3	0.613166666666667
DECR1	0.562625
SALL1	-2.3805
CADM4	0.809333333333333
RPS18	-1.08407142857143
HNRPD	-0.34675
CFHR5	0.243
SLC10A7	1.0935
OR2K2	1.7895
LMAN1	-0.65675
SUHW1	-3.249
CHD8	-0.0588
SUMO1	0.3662
GP1BA	1.0396
DDB1	0.125
MYO9B	-0.3584
MMP7	6.29825
CRNKL1	1.085
C9orf45	-2.3255
XAB2	-0.075125
RTN1	2.113875
KLHL14	-0.063125
TBX10	-1.101
CENPQ	-1.36725
UTY	-1.011
ZBTB12	-1.415
DTNBP1	-0.25475
KBTBD8	-0.993666666666667
ZEB1	-0.688
ZG16	-1.0195
MIER1	-0.2429
ADAM5P	0.051
CHD9	0.0376875
STK16	0.6365
KIAA1486	-1.442
TOB2	0.587916666666667
BANK1	3.787
OR2V2	0.00824999999999999
GRM2	0.00399999999999999
PROSC	0.009875
SPIN2B	0.0275
PIR	-0.996666666666667
IPO9	-0.6655
EVC	1.49383333333333
CXCL13	5.74433333333333
KIAA1199	-1.4228
SORL1	0.24725
NAT10	0.12875
CHD1	-1.146
SYN3	-0.452
SLC22A2	-0.2695
SERPINF1	0.5495
WDR34	-0.869
OR7A17	-0.01525
C9orf11	-0.0935
RNF216L	0.0873
LHB	-0.284
STK25	-0.79075
TAOK3	0.589125
LOC152573	-3.06575
C3orf39	0.586
C14orf108	0.4112
CDC25B	-1.56118181818182
BMP3	0.623
TMEM180	-0.2955
MAP1LC3C	0.66225
CRYGC	-1.4265
POU3F1	-1.66833333333333
C20orf32	-1.628
CCDC95	-0.3915
HIGD1B	4.11075
