Hybridization REF	TCGA-BH-A18K-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.42025
CREB3L1	0.71875
RPS11	-0.6225
PNMA1	-0.99925
MMP2	-0.130333333333333
C10orf90	-0.18575
ZHX3	-0.291
ERCC5	-0.41125
GPR98	-1.88075
RXFP3	0.4065
APBB2	0.129
PRO0478	-1.39125
KLHL13	0.4225
PRSSL1	-0.8075
PDCL3	0.6035
DECR1	0.414375
SALL1	-5.34533333333333
CADM4	1.034
RPS18	0.160071428571429
HNRPD	0.205083333333333
CFHR5	0.36
SLC10A7	0.137625
OR2K2	-0.344
LMAN1	1.65525
SUHW1	-0.87225
CHD8	-0.5474
SUMO1	0.5291
GP1BA	-0.0604
DDB1	0.918833333333333
MYO9B	0.3942
MMP7	6.50675
CRNKL1	1.0685
C9orf45	-0.972166666666667
XAB2	1.3695
RTN1	0.610125
KLHL14	-1.52328571428571
TBX10	-0.4525
CENPQ	-1.126
UTY	-1.13423076923077
ZBTB12	0.3995
DTNBP1	-0.284875
KBTBD8	0.00733333333333333
ZEB1	-1.336
ZG16	-1.1735
MIER1	0.0243
ADAM5P	-0.304
CHD9	-1.024125
STK16	0.848
KIAA1486	0.3675
TOB2	0.808583333333333
BANK1	1.289
OR2V2	0.17325
GRM2	0.240166666666667
PROSC	0.0525
SPIN2B	-0.16775
PIR	-0.627666666666667
IPO9	0.4549
EVC	-0.605666666666667
CXCL13	3.28266666666667
KIAA1199	-0.9995
SORL1	1.362
NAT10	-0.51275
CHD1	-0.3415
SYN3	-0.33025
SLC22A2	-0.76975
SERPINF1	-0.278333333333333
WDR34	-0.78375
OR7A17	0.33925
C9orf11	0.048
RNF216L	-0.7994
LHB	0.2515
STK25	0.08625
TAOK3	0.400125
LOC152573	-2.67575
C3orf39	0.42525
C14orf108	0.3713
CDC25B	-0.81
BMP3	-0.146
TMEM180	0.2515
MAP1LC3C	0.032
CRYGC	-0.9265
POU3F1	-0.9618
C20orf32	-1.251
CCDC95	0.0655
HIGD1B	2.434
USP6NL	1.878
ABCD4	-1.20166666666667
DIMT1L	-0.477916666666667
TEK	0.28275
SLC25A46	-0.4185
LARP7	-1.6055
CD160	0.6055
MT1JP	-0.286166666666667
PHF20	-0.3994375
CPNE4	-1.76
GTPBP1	-0.492071428571429
RAB33B	0.2365
ALDOC	-2.5805
ZNF212	-0.71475
NUDT1	0.330833333333333
RFPL2	-0.59625
ZNF83	-0.318666666666667
GDPD5	0.888875
PDCD4	-0.1769
CEP350	0.29175
OR10A2	0.624
CST7	0.84875
CIAO1	0.62225
SELL	0.715875
OR8J3	0.2795
LTBP4	-0.909
SIRT6	0.217
CCL19	4.42375
PPIL1	-0.4965
GBP7	0.120333333333333
STK17A	-0.9724
ABR	-0.268
OR9G1	-0.262
FOXE1	-0.475375
CNGA3	-0.142
GML	0.5655
CD38	-2.33175
ZDHHC6	-0.124333333333333
NEFH	-3.416
CTDSP2	0.23875
PGBD5	0.0898333333333333
CCNY	1.13071428571429
