Hybridization REF	TCGA-BH-A0DT-11A-12R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.969416666666667
CREB3L1	0.35025
RPS11	1.020375
PNMA1	0.13375
MMP2	-0.0821666666666666
C10orf90	0.33325
ZHX3	-0.5305
ERCC5	0.22475
GPR98	-0.0705
RXFP3	1.3225
APBB2	0.81
PRO0478	-0.60725
KLHL13	3.204
PRSSL1	-0.371666666666667
PDCL3	0.597666666666667
DECR1	0.080625
SALL1	-4.4745
CADM4	-0.459833333333333
RPS18	0.450928571428571
HNRPD	-0.0476666666666667
CFHR5	2.7292
SLC10A7	-0.185625
OR2K2	3.2755
LMAN1	-0.943125
SUHW1	-3.154
CHD8	-0.4355
SUMO1	0.286
GP1BA	1.0924
DDB1	-0.709833333333333
MYO9B	-1.072875
MMP7	7.3705
CRNKL1	0.52425
C9orf45	-2.0175
XAB2	0.08625
RTN1	2.52
KLHL14	1.2
TBX10	-0.3965
CENPQ	-0.8915
UTY	-1.4789
ZBTB12	-0.1315
DTNBP1	0.0985
KBTBD8	-1.37133333333333
ZEB1	-1.15633333333333
ZG16	-0.5115
MIER1	0.0756
ADAM5P	-3.329
CHD9	-0.0655625
STK16	1.2205
KIAA1486	0.2795
TOB2	0.389916666666667
BANK1	3.171
OR2V2	1.74175
GRM2	0.752333333333333
PROSC	-0.957375
SPIN2B	0.65875
PIR	-1.355
IPO9	-1.4821
EVC	0.522833333333333
CXCL13	3.12916666666667
KIAA1199	-5.06377777777778
SORL1	1.13575
NAT10	-1.50175
CHD1	0.016
SYN3	-0.756
SLC22A2	-0.582
SERPINF1	-0.0695
WDR34	-1.86625
OR7A17	0.4235
C9orf11	0.145
RNF216L	-0.9933
LHB	0.2805
STK25	-1.76875
TAOK3	0.609625
LOC152573	-2.3605
C3orf39	0.06825
C14orf108	0.9695
CDC25B	-2.55927272727273
BMP3	1.069
TMEM180	-0.257
MAP1LC3C	1.41825
CRYGC	-0.585
POU3F1	-0.3911
C20orf32	0.0775
CCDC95	-1.584
HIGD1B	4.988
USP6NL	0.517875
ABCD4	0.195666666666667
DIMT1L	0.0251666666666667
TEK	1.66175
SLC25A46	-0.18175
LARP7	-1.1791
CD160	0.782666666666667
MT1JP	1.702
PHF20	-0.469875
CPNE4	0.49025
GTPBP1	-0.510571428571429
RAB33B	1.38366666666667
ALDOC	-1.387
ZNF212	0.00349999999999999
