Hybridization REF	TCGA-BH-A18J-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.304416666666667
CREB3L1	1.516
RPS11	0.3735
PNMA1	0.4015
MMP2	1.033
C10orf90	-2.0285
ZHX3	-0.0358333333333333
ERCC5	0.13975
GPR98	1.78375
RXFP3	0.1675
APBB2	2.38775
PRO0478	-1.178125
KLHL13	-2.56075
PRSSL1	-0.581833333333333
PDCL3	0.978833333333333
DECR1	-1.073125
SALL1	-2.15616666666667
CADM4	2.27333333333333
RPS18	-0.378285714285714
HNRPD	-1.1665
CFHR5	0.443666666666667
SLC10A7	-0.141625
OR2K2	-0.4995
LMAN1	0.09675
SUHW1	-3.0295
CHD8	0.5675
SUMO1	0.5418
GP1BA	-0.2038
DDB1	0.0795
MYO9B	0.2887
MMP7	5.31575
CRNKL1	0.496
C9orf45	-1.11233333333333
XAB2	0.3335
RTN1	1.686625
KLHL14	-0.32375
TBX10	-0.6355
CENPQ	-1.97575
UTY	-0.7225
ZBTB12	-0.421
DTNBP1	-0.186875
KBTBD8	-2.152
ZEB1	1.24116666666667
ZG16	-0.909
MIER1	0.6033
ADAM5P	-0.374
CHD9	-0.2006875
STK16	-0.03
KIAA1486	0.066
TOB2	0.704833333333333
BANK1	1.27575
OR2V2	-0.15
GRM2	0.175333333333333
PROSC	-0.1485
SPIN2B	-0.1415
PIR	-2.08733333333333
IPO9	-0.2377
EVC	1.39216666666667
CXCL13	1.27266666666667
KIAA1199	0.7642
SORL1	0.582
NAT10	-0.53275
CHD1	-0.5385
SYN3	-0.0825
SLC22A2	-0.84175
SERPINF1	1.23416666666667
WDR34	0.67175
OR7A17	0.399
C9orf11	0.6765
RNF216L	-0.1193
LHB	-0.2275
STK25	0.080375
TAOK3	0.980625
LOC152573	-3.46475
C3orf39	-0.044625
C14orf108	0.6068
CDC25B	-1.96927272727273
BMP3	-0.2095
TMEM180	-0.09
MAP1LC3C	-0.42475
CRYGC	0.188
POU3F1	-1.4222
C20orf32	-1.173
CCDC95	-0.2945
HIGD1B	4.5005
USP6NL	0.259125
ABCD4	-0.0268333333333333
DIMT1L	-1.083
TEK	0.4605
SLC25A46	-1.0985
LARP7	-2.0294
CD160	-0.046
MT1JP	-0.808833333333333
PHF20	0.2715625
CPNE4	-0.47175
GTPBP1	-0.7285
RAB33B	0.0472
ALDOC	-2.432875
ZNF212	-0.066
NUDT1	-0.332833333333333
RFPL2	-1.229
