Hybridization REF	TCGA-BH-A18N-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.602916666666667
CREB3L1	-0.24275
RPS11	0.313875
PNMA1	0.345
MMP2	-0.565
C10orf90	-2.4565
ZHX3	0.146
ERCC5	0.126
GPR98	0.7725
RXFP3	0.4125
APBB2	2.21
PRO0478	-0.639
KLHL13	-3.9615
PRSSL1	-1.05366666666667
PDCL3	0.368666666666667
DECR1	1.44075
SALL1	-4.10816666666667
CADM4	0.676166666666667
RPS18	-0.541428571428571
HNRPD	-0.529416666666667
CFHR5	0.818
SLC10A7	0.221625
OR2K2	0.78
LMAN1	-0.606
SUHW1	-3.8595
CHD8	-0.324
SUMO1	0.1111
GP1BA	-0.0555
DDB1	-0.327
MYO9B	-0.2822
MMP7	4.70075
CRNKL1	0.7715
C9orf45	-1.20833333333333
XAB2	0.4835
RTN1	2.089375
KLHL14	-2.2285
TBX10	-2.7055
CENPQ	-1.642
UTY	-1.65007692307692
ZBTB12	0.347
DTNBP1	-0.19025
KBTBD8	-2.33116666666667
ZEB1	-0.0456666666666667
ZG16	-2.008
MIER1	0.3026
ADAM5P	0.199
CHD9	-0.2255
STK16	1.59475
KIAA1486	-0.4985
TOB2	0.47
BANK1	0.7945
OR2V2	-0.207666666666667
GRM2	-0.138333333333333
PROSC	-0.317125
SPIN2B	0.09475
PIR	-2.74277777777778
IPO9	-1.16244444444444
EVC	0.11
CXCL13	0.4155
KIAA1199	-0.590777777777778
SORL1	0.878
NAT10	-1.038
CHD1	-0.27725
SYN3	0.2425
SLC22A2	-1.02333333333333
SERPINF1	-0.357833333333333
WDR34	-0.4715
OR7A17	0.6055
C9orf11	0.3125
RNF216L	-0.5144
LHB	0.12
STK25	-0.707625
TAOK3	1.177875
LOC152573	-4.37733333333333
C3orf39	0.842
C14orf108	0.8304
CDC25B	-1.74981818181818
BMP3	-0.3375
TMEM180	0.2925
MAP1LC3C	-0.1095
CRYGC	-1.832
POU3F1	-1.6911
C20orf32	-2.1135
CCDC95	0.277
HIGD1B	4.2135
USP6NL	-0.172375
ABCD4	-0.3835
DIMT1L	-0.33175
TEK	1.346125
SLC25A46	-0.15825
LARP7	-1.0361
CD160	0.129666666666667
MT1JP	-0.359666666666667
PHF20	-0.1875625
CPNE4	-2.269
GTPBP1	-0.407857142857143
RAB33B	0.803
ALDOC	-1.583375
ZNF212	-0.31125
NUDT1	-1.45866666666667
RFPL2	-3.10725
ZNF83	0.928166666666667
GDPD5	-2.13525
PDCD4	1.619
CEP350	0.08975
OR10A2	-0.07125
CST7	-0.36275
CIAO1	-1.076
