Hybridization REF	TCGA-E2-A1BC-11A-32R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0559166666666667
CREB3L1	0.51275
RPS11	0.491625
PNMA1	1.2715
MMP2	1.09833333333333
C10orf90	0.99025
ZHX3	0.601166666666667
ERCC5	0.5705
GPR98	-2.6735
RXFP3	0.00700000000000001
APBB2	2.56325
PRO0478	-0.64325
KLHL13	-1.56
PRSSL1	-0.2685
PDCL3	-0.283666666666667
DECR1	1.66825
SALL1	-4.33666666666667
CADM4	-0.624
RPS18	-0.0769285714285715
HNRPD	-0.590916666666667
CFHR5	0.0561666666666667
SLC10A7	0.0170000000000001
OR2K2	0.26
LMAN1	-1.18575
SUHW1	-3.09625
CHD8	-0.8914
SUMO1	0.0917
GP1BA	0.21
DDB1	-0.329166666666667
MYO9B	-0.2788
MMP7	-0.1685
CRNKL1	-0.3665
C9orf45	-1.0705
XAB2	0.35925
RTN1	2.5805
KLHL14	-1.247375
TBX10	-1.4915
CENPQ	-1.2745
UTY	-1.74323076923077
ZBTB12	-0.4535
DTNBP1	-0.56175
KBTBD8	-1.73116666666667
ZEB1	1.54966666666667
ZG16	0.198
MIER1	0.1473
ADAM5P	-0.074
CHD9	0.4995
STK16	-1.0065
KIAA1486	-0.022
TOB2	1.96333333333333
BANK1	5.89375
OR2V2	0.025
GRM2	0.425166666666667
PROSC	0.935125
SPIN2B	0.82225
PIR	0.138333333333333
IPO9	-0.8509
EVC	0.994833333333334
CXCL13	-0.295666666666667
KIAA1199	-4.9048
SORL1	-1.2025
NAT10	-1.0775
CHD1	-0.98475
SYN3	0.69525
SLC22A2	-0.351
SERPINF1	3.4445
WDR34	-2.196
OR7A17	-0.53175
C9orf11	-0.706
RNF216L	-0.4425
LHB	0.058
STK25	0.31625
TAOK3	0.94575
LOC152573	0.52575
C3orf39	0.4625
C14orf108	0.6122
CDC25B	-2.029
BMP3	3.3345
TMEM180	0.191
MAP1LC3C	3.84
CRYGC	-1.124
POU3F1	-1.4183
C20orf32	-1.9135
CCDC95	-0.401
HIGD1B	5.125
USP6NL	0.3665
ABCD4	-0.0601666666666667
DIMT1L	-0.49075
TEK	3.0245
SLC25A46	0.8235
LARP7	-0.8948
CD160	1.4055
MT1JP	1.27966666666667
PHF20	-0.519625
CPNE4	1.69275
GTPBP1	-0.288714285714286
RAB33B	2.11733333333333
ALDOC	1.353125
ZNF212	-0.735
NUDT1	-1.21433333333333
RFPL2	-1.67675
ZNF83	-0.3195
GDPD5	3.095625
PDCD4	1.2175
CEP350	-0.46
OR10A2	0.40075
CST7	-0.2635
CIAO1	-0.50025
SELL	0.560875
OR8J3	0.198
LTBP4	1.53233333333333
SIRT6	-0.50825
CCL19	4.139
PPIL1	-1.52716666666667
GBP7	0.262166666666667
STK17A	-1.1088
ABR	0.33475
OR9G1	0.373
FOXE1	-0.637
CNGA3	-0.7095
GML	-0.09
CD38	-2.1215
ZDHHC6	-0.214833333333333
NEFH	-2.92425
CTDSP2	1.24683333333333
PGBD5	-0.660666666666667
CCNY	0.432714285714286
RMND5B	0.82925
ZNF257	-2.883
FLJ22167	-0.49975
EXOSC7	-0.8145
ROR2	-1.43028571428571
MAOA	4.964125
TNNT3	4.46333333333333
GYPC	2.16725
C7orf33	0.48
PLIN	4.722
LOC90826	0.5615
RNF4	-0.6902
F8A1	1.06783333333333
PLEKHG4	-2.2465
GRB2	0.16985
HIST1H2AD	-1.294
DUS3L	-0.3625
EIF1	1.1725
RP5-1077B9.4	0.1455
FPGT	1.271
GDF10	4.63166666666667
COQ9	0.62275
GCC2	-0.131857142857143
RARRES3	0.505
PLXNA1	-0.2692
KIAA0100	-0.2297
PMF1	-0.35125
FNDC1	5.59025
HS2ST1	0.465833333333333
CRELD2	0.09075
C8G	-1.297
CD82	0.80575
LIM2	-1.135
UNQ6490	0.1585
MMP16	-1.06725
DRD3	0.18075
C5orf26	-0.5935
C11orf73	0.30825
PTP4A2	0.99675
OR4M2	1.5165
HPCA	-0.775
SEC14L1	0.962666666666667
CHFR	-0.336625
EMILIN1	0.9795
NDUFS4	0.5375
COL18A1	-0.144875
PDZD3	1.5643
C9orf16	0.274666666666667
ERBB2IP	-0.340833333333333
EMX2	6.10775
FUS	-1.63825
TF	0.5996
CLCN4	2.43733333333333
CXorf56	0.41675
C11orf72	0.471
ELAC2	0.0108333333333333
NPR1	3.488
ASS1	0.623
USP42	-0.589875
POLR2J	-0.6385
SEC23IP	0.151833333333333
UQCRC1	0.11725
LOC729603	0.508
C1orf71	-0.373875
POLG	-3.368
ADAM23	-3.33925
TFR2	-1.32525
RICTOR	-1.407
MGC39606	1.91775
C19orf55	-0.549875
SNAPC1	-1.2765
GNA11	1.16175
CCDC52	-1.45416666666667
FSIP1	-1.3555
UPF3A	-0.61375
IGSF11	-2.29116666666667
LAGE3	-1.0625
CHST6	-3.901
UNC13B	1.218125
TTLL4	-2.169875
ZNF687	0.4665
SDC2	1.4281
COX7A2	-0.08225
LAMB4	-0.27625
FAM24A	0.269
LRRTM3	-3.1752
GPHB5	0.6635
OR4C13	0.1035
EIF3EIP	0.312142857142857
HABP4	1.954
TMEM125	-3.78425
CNTN2	0.51025
ASNSD1	0.18925
FUT4	0.65625
ACF	-3.607
LOC158381	1.4195
CDH8	-0.9025
AGPS	-0.514666666666667
C4orf18	3.709
PECI	0.39025
UNG	-0.41275
GSTP1	-0.08075
DCUN1D5	-0.906166666666667
DKFZP564J0863	-0.9495
SLC9A3R1	-0.621625
BCDO2	-0.1405
CHMP7	0.590625
REM2	-0.825
DNHD1	-0.136375
FKBP4	-1.908625
ZNF350	0.64025
MGC11102	-0.1965
BST1	3.16875
KISS1R	0.5625
NCR2	0.4465
DEFB125	5.447
UBE2W	0.75075
KRT15	-3.53175
C10orf99	0.5605
SCN11A	2.066625
GFI1	-3.17525
RDHE2	-0.606
FHL1	4.38866666666667
OSGEP	-0.303166666666667
GATA1	-3.18533333333333
SMC6	-1.5725
TTTY14	-1.076
LPIN3	0.37025
RPL4	0.0135
RBPMS	1.8712
PRPF3	-0.708833333333333
EMR1	-2.8775
SPATA19	-0.34125
XCR1	0.114
IRX3	-0.1028
RBM6	-0.3535
KLF4	2.5807
UNC5CL	-2.9475
SEBOX	0.987
BTK	-1.10525
KRCC1	1.8505
C6orf27	0.5235
SYTL5	-1.3145
PRND	1.8595
LOC653319	-1.8165
PIGL	-0.901625
HUS1	0.298333333333333
SFRS6	-0.593916666666667
C17orf77	0.803
UIMC1	-0.293666666666667
FXYD2	-1.0354
LOC283152	1.28
ZNF667	-0.5315
ZCCHC12	-1.30275
TFEC	2.2616
ATP7B	0.0315
POLD2	-0.52
RG9MTD1	-0.641
ACOT2	3.5585
HIST1H4I	-2.013875
PPARGC1A	-0.1547
ETFA	0.3512
POLRMT	0.0625
ZNF146	-1.0875
MIA2	-3.1115
KLHL6	-1.532
HOXB5	1.04625
NENF	0.362333333333333
CUGBP1	-1.04375
PRSS22	-1.0105
CASC4	1.1511
CUL4B	-0.0562
CENPJ	-1.9121
PITX1	-2.53816666666667
FLJ31033	-0.203
CELSR3	-2.60766666666667
ZNF568	1.3285
ITSN1	2.18258333333333
EHBP1L1	-0.461
C19orf2	-0.42125
DCTN1	0.34825
LIN28B	-4.59083333333333
TNKS2	-0.7355
C1QBP	-0.768375
CADPS2	0.41425
SRMS	0.08975
GJA9	0.554
MGC24975	-1.40583333333333
TRIM45	-1.71033333333333
TSP50	-0.36825
TCP1	-0.72625
TMED7	-0.017
CMA1	3.633
CENPL	-2.6395
PTCRA	-0.185
FST	-2.79625
VWCE	-2.75375
PAWR	-1.73825
ABCC12	0.741
LDLR	-1.9081
ASTN2	-0.4238
LOC441212	-0.382625
GPATCH8	0.00124999999999999
TANC2	-0.86175
KIF4A	-3.78125
C18orf18	0.40025
PGM1	2.08825
KIAA0258	0.4375
CPD	0.489625
SNCAIP	0.02575
DCT	-4.30816666666667
HLA-DOA	2.39104545454545
OR11L1	0.8265
UPK1B	-0.113166666666667
DNAJB4	1.74125
UGT1A8	-1.08575
HIST1H4L	-2.3685
PECR	2.013
HSPA2	1.274
WFIKKN1	-3.552
SERP1	0.408625
SYDE2	0.5315
TACR2	0.531
NUP85	-0.8305
CD177	1.2505
LGR5	-3.00866666666667
PIGG	-0.5325
PTHR1	2.993
RAB5A	0.5308
FLJ13224	-0.09
USP9Y	-2.4744
C7orf53	-0.8025
LRP1B	5.82975
XAF1	1.4358
ABCG8	-0.863
ANKDD1A	0.5385
DAND5	-1.272
SPAG6	-0.00320000000000004
LINCR	-2.7095
ZDHHC22	-1.360875
CCDC60	0.346
THOC7	-1.1945
TCTA	1.5408
OR8K3	-0.24325
NY-REN-7	-1.61966666666667
B2M	1.834
C6orf141	-2.226125
LPPR4	3.5895
SQLE	-4.929
SEPHS1	-0.4235
BTBD14B	0.406285714285714
PLRG1	-0.16325
SPG7	-0.0581875
ZNF614	-0.323833333333333
PARD6G	0.1925
INPP5B	-0.4294
GRPEL2	-0.259
PPID	-0.4286
TRIM56	0.09425
UBE2J1	-0.062
IL20RA	1.48375
LOC387856	0.358
C1orf107	-0.40825
UTS2R	1.449
C19orf22	-0.312
SAFB2	-0.631875
KIAA0652	0.561875
KLRG1	0.852666666666667
MS4A8B	-0.746333333333333
FRAG1	-0.76875
KIAA1546	0.163
E2F4	-0.5471
CLEC4M	0.468833333333333
BTBD14A	-0.246
KIAA0999	0.8585
GYPA	-4.006
TAC1	-0.2326
TRAIP	-2.706
KIAA0232	0.5489
ERCC8	-0.83075
GPX4	2.640875
KIAA0368	0.870875
GPR157	-1.30566666666667
CTAGE4	-0.2325
C9orf30	-1.40366666666667
OR52A1	0.704
HSP90B3P	-0.8835
ALG9	0.9477
BTBD10	0.3295
SDK2	-0.59
BAIAP3	-0.3245
RABGGTB	-0.56775
ANKRD40	1.536
KRT74	1.131
CALCOCO2	1.12614285714286
SNCA	-2.9165
TMSL8	-5.773875
C2orf53	0.7225
ESRRB	-0.8245
ARHGAP26	-0.52125
TDRD9	-2.9135
HRAS	0.646
KLRC4	-1.3645
JAGN1	0.182
BSDC1	0.56625
RNF43	-2.9358
NDUFAF1	0.8825
PHF12	-0.153
OR1L3	0.25525
FOLR2	3.66683333333333
LYZL6	0.3612
tcag7.1260	-1.1565
WSB1	-1.53716666666667
PROS1	0.4149
OSTN	0.4555
PSMB8	0.03425
SOCS4	0.25375
DDIT4L	3.54025
MAS1	0.027
MGC34796	1.32275
CSHL1	0.361666666666667
TBCCD1	0.174333333333333
ZBTB7C	-0.0475
AP2S1	-0.580125
P15RS	-0.0415
VAT1	0.2676
SHANK3	2.46016666666667
TUFM	-0.342666666666667
THEG	-1.71375
KRT34	-2.13825
SGSM3	0.00187499999999999
TOMM22	-0.225
SOCS3	2.0725
CPO	2.8625
POP4	0.63
BHLHB3	2.70625
MALL	2.307
OR1B1	0.6175
PARK2	2.45483333333333
GPR124	1.942375
LCE1E	0.2555
RUVBL2	-1.1955
CGRRF1	0.9416
ACPL2	-0.60975
WNT10B	0.6465
BAIAP2L2	-1.611625
ISCA1	1.303
C1orf125	-0.272
RPAP1	-0.3375
RAI16	-0.168666666666667
RPL27	-0.08875
NLRP9	0.405
EPN1	0.5355
LOC388610	-2.31875
SLC35A1	0.2061
GAL	-4.2655
SLC14A2	1.09925
RDH11	-1.39533333333333
FAM138F	-0.276
AUH	0.939
FLJ40243	0.15375
C14orf129	-0.2065
MBD2	-0.0864999999999998
ABHD14B	1.477
PIGT	-0.334875
ALS2CR4	-0.368
ALAS1	0.6233
FOXO1	3.69233333333333
CRLF3	-0.35375
C20orf107	0.4915
FARS2	0.6215
CCDC28A	0.8485
NPHP3	-0.0735
OR13F1	0.045
TSEN54	-1.596
DEFB106B	0.54825
OR8B4	0.1195
STH	-0.04825
ZC3H14	0.07675
CBX2	-0.8035
TMEM49	-1.5775
C6orf21	0.6925
FLJ20920	1.448875
CRTAP	1.70407142857143
DDX50	0.12325
STYXL1	-1.26725
BLVRB	0.7715
LOC147650	0.728
MMP24	0.87475
GRID1	2.93783333333333
BANF1	-0.894166666666667
CTAGEP	-0.3845
HMBS	-1.1485
SLC25A24	-0.140833333333333
C14orf50	3.35825
MRO	3.642
SLC25A15	-1.6895
FAM84B	-0.7933
TDP1	-2.079
C16orf78	-0.169666666666667
C11orf57	-0.41875
RFK	-1.216375
ZFYVE9	-0.353875
STCH	-1.3023
WIBG	-0.111
LOC283871	0.157333333333333
GBA2	0.1776
NDUFB3	0.361
HSD17B13	5.11725
GRIN3A	0.955166666666667
FMNL1	-0.684333333333333
SEPT7	-0.1397
GNLY	2.991
GRAMD1C	-0.476
ZNF165	-2.51775
USP38	0.55575
FAM83A	-4.11833333333333
C14orf24	0.533
ARMCX3	1.496875
ARHGDIB	-0.485
AK1	1.003
KIAA1045	0.95725
DNAJB13	-0.667333333333333
NEU2	1.9435
HIST1H4B	-2.1605
FAM20B	0.6152
HES2	-0.901785714285714
FAM73B	0.1977
LOC388381	1.0695
INTS7	-1.24763636363636
AMPH	1.736
ZNF775	0.017875
UCKL1	-0.174666666666667
C10orf97	0.8095
C1orf161	-0.242
ALDH1L1	4.86425
FLJ39378	0.3235
SLC23A1	-3.4485
RBM4B	-0.28475
THAP4	0.0281666666666667
OGFRL1	1.37425
KIAA0831	0.335125
PPP1R15A	1.3785
C1orf96	-1.8975
C12orf11	-2.38775
BMF	-0.56325
MAN1A1	0.9415
