Hybridization REF	TCGA-BH-A18M-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0440833333333333
CREB3L1	1.32225
RPS11	0.995375
PNMA1	0.01025
MMP2	0.925
C10orf90	-2.32625
ZHX3	0.00483333333333333
ERCC5	-0.04375
GPR98	0.04775
RXFP3	0.2735
APBB2	2.0865
PRO0478	-1.0245
KLHL13	-0.3365
PRSSL1	-0.694833333333333
PDCL3	0.286666666666667
DECR1	-0.30625
SALL1	-3.09633333333333
CADM4	0.482333333333333
RPS18	0.584071428571429
HNRPD	-0.3985
CFHR5	0.6738
SLC10A7	0.309875
OR2K2	-0.54
LMAN1	-0.859375
SUHW1	-3.8325
CHD8	-0.542
SUMO1	0.7616
GP1BA	0.3787
DDB1	-0.326833333333333
MYO9B	-0.5053
MMP7	6.4775
CRNKL1	0.319625
C9orf45	-1.74966666666667
XAB2	-0.012625
RTN1	2.8625
KLHL14	-1.201875
TBX10	-1.4025
CENPQ	-1.05125
UTY	-1.718
ZBTB12	-0.094
DTNBP1	0.16725
KBTBD8	-1.8335
ZEB1	-0.585833333333333
ZG16	-1.1655
MIER1	0.0355
ADAM5P	0.586
CHD9	-0.001
STK16	0.2135
KIAA1486	-0.3085
TOB2	0.591
BANK1	2.89725
OR2V2	0.06175
GRM2	0.181166666666667
PROSC	0.00425
SPIN2B	-0.0695
PIR	-1.74488888888889
IPO9	-0.795111111111111
EVC	1.48116666666667
CXCL13	3.299
KIAA1199	-1.9016
SORL1	0.24275
NAT10	-0.76125
CHD1	0.13425
SYN3	-0.32775
SLC22A2	-0.32475
SERPINF1	1.03116666666667
WDR34	-0.8985
OR7A17	0.261
C9orf11	-0.3455
RNF216L	-0.2581
LHB	0.0575
STK25	-0.166875
TAOK3	0.541875
LOC152573	-2.73125
C3orf39	0.334625
C14orf108	0.8866
CDC25B	-1.91627272727273
BMP3	-0.034
TMEM180	-0.4845
MAP1LC3C	2.09525
CRYGC	-0.747
POU3F1	-1.5384
C20orf32	-2.104
CCDC95	-0.197
HIGD1B	4.52825
USP6NL	-0.02275
ABCD4	-0.296666666666667
DIMT1L	-0.236416666666667
TEK	1.5345
SLC25A46	0.16175
LARP7	-1.0228
CD160	0.834333333333333
MT1JP	0.756
PHF20	-0.1218125
CPNE4	-2.7845
GTPBP1	-0.341714285714286
RAB33B	1.08733333333333
ALDOC	-2.53525
ZNF212	-0.414
NUDT1	-0.924333333333333
RFPL2	-0.51925
ZNF83	-0.228833333333333
GDPD5	-0.774875
PDCD4	2.22805
CEP350	-0.79225
OR10A2	0.551666666666667
CST7	0.9675
CIAO1	-0.89
SELL	1.336625
OR8J3	0.043
LTBP4	-0.0136666666666667
SIRT6	-0.30675
CCL19	4.3125
PPIL1	-0.470166666666667
GBP7	-0.021
STK17A	-1.0806
ABR	0.25975
OR9G1	-0.167
FOXE1	-0.805625
CNGA3	1.2745
GML	0.179
CD38	-1.809
ZDHHC6	-0.124333333333333
NEFH	-0.64125
CTDSP2	0.26775
PGBD5	-1.96333333333333
CCNY	-0.133571428571429
RMND5B	1.116
ZNF257	-1.54225
FLJ22167	-0.7945
EXOSC7	0.3765
ROR2	1.674125
MAOA	1.294625
TNNT3	2.22383333333333
GYPC	-0.83825
C7orf33	1.029
PLIN	4.15616666666667
LOC90826	0.27825
RNF4	-0.2938
F8A1	0.156833333333333
PLEKHG4	-1.524
GRB2	-0.5798
HIST1H2AD	0.082
DUS3L	-0.483666666666667
EIF1	-0.0913333333333333
RP5-1077B9.4	-1.10366666666667
FPGT	1.5745
GDF10	2.22566666666667
COQ9	0.575
GCC2	-0.353071428571429
RARRES3	3.0775
PLXNA1	-0.7651
KIAA0100	-0.4685
PMF1	-0.231
FNDC1	5.31525
HS2ST1	-0.0175
CRELD2	0.1815
C8G	-1.7375
CD82	0.70625
LIM2	-1.3095
UNQ6490	-0.426
MMP16	0.10575
DRD3	0.07875
C5orf26	0.569
C11orf73	0.90725
PTP4A2	0.997
OR4M2	-0.695
HPCA	-1.38883333333333
SEC14L1	-0.545
CHFR	-0.68125
EMILIN1	1.241
NDUFS4	0.13625
COL18A1	0.301625
PDZD3	-0.0609
C9orf16	-0.190333333333333
ERBB2IP	0.533666666666667
EMX2	4.0105
FUS	-0.48225
TF	-3.0592
CLCN4	-0.4335
CXorf56	0.59925
C11orf72	0.161
ELAC2	-0.17325
NPR1	-0.06725
ASS1	-0.4165
USP42	-0.40225
POLR2J	-0.501
SEC23IP	0.421833333333333
UQCRC1	-0.24475
LOC729603	-0.952
C1orf71	-0.087875
POLG	-1.7285
ADAM23	-2.834
TFR2	-1.0955
RICTOR	-0.7203
MGC39606	1.12075
C19orf55	-0.346375
SNAPC1	-1.13316666666667
GNA11	0.33
CCDC52	0.518333333333333
FSIP1	6.0395
UPF3A	-0.348
IGSF11	-2.44933333333333
LAGE3	0.584
CHST6	-0.941
UNC13B	0.144375
TTLL4	-1.77375
ZNF687	0.09625
SDC2	0.4994
COX7A2	-0.524
LAMB4	-0.18725
FAM24A	0.554
LRRTM3	-0.909166666666667
GPHB5	0.351
OR4C13	-0.1155
EIF3EIP	0.114142857142857
HABP4	-0.47
TMEM125	3.71
CNTN2	0.667
ASNSD1	-0.106
FUT4	-0.1665
ACF	-3.9465
LOC158381	1.636
CDH8	-0.868
AGPS	-0.477
C4orf18	3.867875
PECI	0.4625
UNG	-0.422125
GSTP1	-1.1685
DCUN1D5	-0.1135
DKFZP564J0863	-0.12225
SLC9A3R1	1.341
BCDO2	-0.07475
CHMP7	-0.11
REM2	1.1635
DNHD1	-0.429
FKBP4	-0.177875
ZNF350	2.22725
MGC11102	0.6695
BST1	2.19625
KISS1R	0.6195
NCR2	0.468
DEFB125	0.47
UBE2W	0.613125
KRT15	1.317
C10orf99	0.3425
SCN11A	0.082625
GFI1	-1.97875
RDHE2	2.8815
FHL1	0.298833333333333
OSGEP	0.206666666666667
GATA1	-3.27083333333333
SMC6	-0.99625
TTTY14	-1.271
LPIN3	0.0545
RPL4	0.1231
RBPMS	0.3255
PRPF3	-1.2275
EMR1	-1.6725
SPATA19	-0.2995
XCR1	-0.0105
IRX3	2.8322
RBM6	-0.7635
KLF4	-0.868
UNC5CL	0.4445
SEBOX	0.4585
BTK	-1.00525
KRCC1	1.47975
C6orf27	0.5765
SYTL5	-0.39
PRND	2.509125
LOC653319	-1.419
PIGL	-1.4355
HUS1	-0.275833333333333
SFRS6	1.59175
C17orf77	-0.001
UIMC1	0.169333333333333
FXYD2	-1.8245
LOC283152	0.96275
ZNF667	-1.5675
ZCCHC12	-0.6855
TFEC	3.1332
ATP7B	1.48933333333333
POLD2	-1.108
RG9MTD1	-0.01525
ACOT2	0.640666666666667
HIST1H4I	-1.396125
PPARGC1A	-1.7227
ETFA	-0.6102
POLRMT	-0.233
ZNF146	-0.36
MIA2	-3.252
KLHL6	-0.477166666666667
HOXB5	-0.606625
NENF	1.23733333333333
CUGBP1	0.5515
PRSS22	2.06
CASC4	1.3457
CUL4B	-0.0363
CENPJ	-1.856
PITX1	0.319
FLJ31033	1.42416666666667
CELSR3	-2.10083333333333
ZNF568	1.16225
ITSN1	0.062
EHBP1L1	-0.256333333333333
C19orf2	-0.49675
DCTN1	-0.27625
LIN28B	-4.16683333333333
TNKS2	-0.9525
C1QBP	0.311375
CADPS2	1.05475
SRMS	0.486
GJA9	0.0388333333333333
MGC24975	-0.19
TRIM45	0.253166666666667
TSP50	0.00225
TCP1	-1.0285
TMED7	0.7966
CMA1	2.263
CENPL	-1.95516666666667
PTCRA	0.0465
FST	-2.87425
VWCE	-2.77825
PAWR	-0.5125
ABCC12	0.4586
LDLR	-1.1534
ASTN2	1.0278
LOC441212	-0.64
GPATCH8	-0.38875
TANC2	-1.15575
KIF4A	-2.196
C18orf18	-1.0165
PGM1	-0.915
KIAA0258	1.902
CPD	0.486625
SNCAIP	-0.2605
DCT	-4.24933333333333
HLA-DOA	2.66381818181818
OR11L1	0.6795
UPK1B	-0.486833333333333
DNAJB4	0.955125
UGT1A8	-0.591
HIST1H4L	-1.687
PECR	-0.586333333333333
HSPA2	0.801
WFIKKN1	-0.7205
SERP1	0.827625
SYDE2	1.089
TACR2	-0.047
NUP85	-0.5625
CD177	-0.625666666666667
LGR5	-2.53433333333333
PIGG	-0.11675
PTHR1	-0.586833333333333
RAB5A	0.1356
FLJ13224	-0.8835
USP9Y	-1.95716666666667
C7orf53	-0.736
LRP1B	-0.929
XAF1	2.7796
ABCG8	-0.4545
ANKDD1A	-0.406833333333333
DAND5	-0.8865
SPAG6	-0.004
LINCR	0.94875
ZDHHC22	-0.99775
CCDC60	0.6005
THOC7	-1.38816666666667
TCTA	1.0938
OR8K3	0.51125
NY-REN-7	-1.1155
B2M	2.47683333333333
C6orf141	-0.304125
LPPR4	2.4415
SQLE	-1.170625
SEPHS1	-0.4825
BTBD14B	0.385428571428571
PLRG1	-0.03075
SPG7	-0.8649375
ZNF614	0.0936666666666667
PARD6G	0.9905
INPP5B	-0.3837
GRPEL2	0.439375
PPID	-0.3569
