Sample REF	616af0e6-b37f-48aa-aa61-2e5b5a72b749
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	0.63716768175
4E-BP1-R-V	-0.41180074375
4E-BP1_pS65-R-V	-0.22804591225
4E-BP1_pT37_T46-R-V	0.60461942625
ACC_pS79-R-V	-0.52150088825
Akt-R-V	-0.73241765625
Akt_pS473-R-V	1.00729733975
Akt_pT308-R-V	0.30005316275
AMPK_alpha-R-C	-0.33984875375
AMPK_pT172-R-V	-0.57409008625
AR-R-V	0.64288030075
ATM-R-E	-0.57730168175
Bak-R-C	0.63235794275
Bax-R-V	0.55957015675
Bcl-2-M-V	0.41360651225
beta-Catenin-R-V	-0.51109453475
Bid-R-C	0.13726571025
Bim-R-V	0.0414308997499999
c-Kit-R-V	0.40637900075
c-Myc-R-C	0.0523805372500001
C-Raf-R-V	-0.71865612575
Caspase-7_cleavedD198-R-C	-0.23789956725
Caveolin-1-R-V	2.37014207325
CD31-M-V	-0.85562862075
CD49b-M-V	0.34181482125
CDK1-R-V	-0.15209367325
Chk1_pS345-R-C	-0.33601964675
Chk2_pT68-R-C	-0.59975520225
cIAP-R-V	-0.14490052325
Claudin-7-R-V	-0.40702431625
Collagen_VI-R-V	2.51320294775
Cyclin_B1-R-V	-0.40447578525
Cyclin_D1-R-V	0.85865944525
Cyclin_E1-M-V	0.00236281225000012
Dvl3-R-V	-1.19728252775
E-Cadherin-R-V	-0.34586416575
eEF2K-R-V	-0.70289481925
eIF4E-R-V	0.09673719275
ER-alpha-R-V	1.25067408725
ER-alpha_pS118-R-V	-0.52728952575
ERK2-R-E	-0.61753794575
FOXO3a-R-C	0.20616539825
GAB2-R-V	-0.00236281225000012
GATA3-M-V	-0.34156308375
GSK3-alpha-beta-M-V	-0.49378990325
GSK3-alpha-beta_pS21_S9-R-V	0.19904546625
HER2-M-V	-0.67720563625
HSP70-R-C	2.68409247875
IGFBP2-R-V	0.53243547175
IRS1-R-V	-0.01239812975
JNK2-R-C	-0.23034864175
Ku80-R-C	-0.81796006475
LKB1-M-E	-0.35668565625
Lck-R-V	0.46069765925
MAPK_pT202_Y204-R-V	1.29353219875
MEK1-R-V	0.50403413225
MEK1_pS217_S221-R-V	-0.0337361512500001
MIG-6-M-V	0.16541879075
Mre11-R-C	-0.31602692825
mTOR-R-V	-0.71344447675
N-Cadherin-R-V	0.44839721875
NF-kB-p65_pS536-R-C	-0.20191820475
NF2-R-C	-0.22348678475
Notch1-R-V	0.0147938672499996
P-Cadherin-R-C	-0.11935321775
p27-R-V	0.0833320687499999
p27_pT157-R-C	-0.59977145125
p38_pT180_Y182-R-V	0.19359304375
p70S6K-R-V	-1.23178498875
p70S6K_pT389-R-V	0.98106099675
p90RSK_pT359_S363-R-C	-0.39525814125
PDK1_pS241-R-V	0.29633395325
PEA15-R-V	0.27198129825
PI3K-p110-alpha-R-C	-0.18154021025
PKC-alpha-M-V	0.0631924002499999
PKC-delta_pS664-R-V	-0.24051905525
PR-R-V	2.77015804475
PRAS40_pT246-R-V	-0.20253995375
PTEN-R-V	-1.03141625675
Rb_pS807_S811-R-V	0.00941273325000025
S6-R-E	-1.08931243175
S6_pS235_S236-R-V	1.01269125825
S6_pS240_S244-R-V	0.55618558425
Shc_pY317-R-E	-0.484228734750001
Smad1-R-V	0.0773322627500002
Smad3-R-V	0.0364724747500003
Src-M-V	0.45098241125
Src_pY416-R-C	-0.23298753825
Src_pY527-R-V	0.85159383725
STAT3_pY705-R-V	0.17867465075
STAT5-alpha-R-V	-0.99384355725
Stathmin-R-V	0.23492466325
Syk-M-V	-1.23497261175
YB-1-R-V	-0.33575150925
YB-1_pS102-R-V	0.26728298925
PAI-1-M-E	1.03748042475
mTOR_pS2448-R-C	0.50001517175
EGFR-R-V	0.24494068925
4E-BP1_pT70-R-V	-0.10098130275
Annexin_VII-M-V	0.42341320525
Bad_pS112-R-V	0.43843720775
Bap1-c-4-M-V	-0.64064111925
BRCA2-R-C	0.0713966207500001
CD20-R-C	0.62708446175
Cyclin_E2-R-C	0.27318498925
eIF4G-R-C	-1.38518051825
FASN-R-V	-0.69187885975
FOXO3a_pS318_S321-R-C	-0.12829501075
FoxM1-R-V	-0.72952474475
G6PD-M-V	0.24555600575
GAPDH-M-C	-0.89327401825
GSK3_pS9-R-V	-0.35540864325
Heregulin-R-V	0.57218649025
MYH11-R-V	2.05002643525
Myosin-IIa_pS1943-R-V	-0.28753574675
N-Ras-M-V	0.11577614125
NDRG1_pT346-R-V	1.96591341075
p27_pT198-R-V	-0.61649337175
p90RSK-R-C	-0.50284358025
PDCD4-R-C	-1.47711114725
PDK1-R-V	0.59737641775
PEA15_pS116-R-V	0.55550646075
PI3K-p85-R-V	0.0533526897499998
PKC-pan_BetaII_pS660-R-V	-0.39130110025
Rab25-R-V	-0.84210724375
Rab11-R-E	0.91813986725
Raptor-R-V	-0.16570936525
RBM15-R-V	-1.67037579075
Rictor-R-C	-0.24673268625
Rictor_pT1135-R-V	0.0343391257500001
SCD-M-V	-4.69767363725
SF2-M-V	-0.0302361297499998
TAZ-R-V	0.56767044675
TIGAR-R-V	0.31578905125
Transglutaminase-M-V	-0.41728902025
TFRC-R-V	-0.31492871575
TSC1-R-C	-0.35848359925
Tuberin_pT1462-R-V	0.33467208075
XBP1-G-C	-0.25585975825
ETS-1-R-V	0.55923034975
14-3-3_beta-R-V	0.27643695375
14-3-3_zeta-R-V	0.35264762025
ACVRL1-R-C	0.24289919925
ARHI-M-E	0.76295518975
Annexin-1-M-E	0.88179838475
PREX1-R-E	0.55344175475
MSH6-R-C	-0.90354900825
PARP1-R-V	-1.54074104325
