Sample REF	b6ec964a-db35-4120-aaaf-f3018a330490
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	0.51122069825
4E-BP1-R-V	0.81548244475
4E-BP1_pS65-R-V	-0.38854578775
4E-BP1_pT37_T46-R-V	-0.52989175425
ACC_pS79-R-V	0.76707329025
Akt-R-V	-1.06606511875
Akt_pS473-R-V	0.24678064925
Akt_pT308-R-V	0.47005877425
AMPK_alpha-R-C	0.69955409075
AMPK_pT172-R-V	0.23075729525
AR-R-V	0.41503948525
ATM-R-E	-0.81419169925
Bak-R-C	0.12554929125
Bax-R-V	0.60694723825
Bcl-2-M-V	-0.22979615725
beta-Catenin-R-V	-2.15892865925
Bid-R-C	-0.14679654025
Bim-R-V	0.56512489725
c-Kit-R-V	0.42546231625
c-Myc-R-C	-0.80789235625
C-Raf-R-V	-0.20699286325
Caspase-7_cleavedD198-R-C	0.0942397762500002
Caveolin-1-R-V	1.11838753475
CD31-M-V	-0.42358291425
CD49b-M-V	-0.35998571625
CDK1-R-V	0.29612795025
Chk1_pS345-R-C	-0.36501287325
Chk2_pT68-R-C	-0.96082810475
cIAP-R-V	-0.27471033175
Claudin-7-R-V	0.48188770525
Collagen_VI-R-V	-0.0713089777499998
Cyclin_B1-R-V	0.96841956825
Cyclin_D1-R-V	1.66287095375
Cyclin_E1-M-V	0.78505835875
Dvl3-R-V	-0.92285908525
E-Cadherin-R-V	-2.79936050925
eEF2K-R-V	-0.17400601275
eIF4E-R-V	0.30769715025
ER-alpha-R-V	0.11709961675
ER-alpha_pS118-R-V	-0.18541966225
ERK2-R-E	-1.41364090425
FOXO3a-R-C	0.0781811867500002
GAB2-R-V	-0.36497759075
GATA3-M-V	0.68691234075
GSK3-alpha-beta-M-V	-0.11217740175
GSK3-alpha-beta_pS21_S9-R-V	-0.22507087125
HER2-M-V	-0.12757595075
HSP70-R-C	0.22481708825
IGFBP2-R-V	1.07091327625
IRS1-R-V	-0.33173729525
JNK2-R-C	0.46519819175
Ku80-R-C	-0.59156370225
LKB1-M-E	-0.26263984175
Lck-R-V	-0.49708921125
MAPK_pT202_Y204-R-V	-0.37691812275
MEK1-R-V	-0.21588396525
MEK1_pS217_S221-R-V	-0.37370309275
MIG-6-M-V	-0.13463154075
Mre11-R-C	-0.71206068475
mTOR-R-V	-0.57869478925
N-Cadherin-R-V	0.0232336992500002
NF-kB-p65_pS536-R-C	-0.96248795225
NF2-R-C	-0.32698164025
Notch1-R-V	0.32933675375
P-Cadherin-R-C	-0.0523417142499998
p27-R-V	1.35157237225
p27_pT157-R-C	-0.46992554875
p38_pT180_Y182-R-V	0.34686140025
p70S6K-R-V	0.00362818175000013
p70S6K_pT389-R-V	-0.0602256517499997
p90RSK_pT359_S363-R-C	-0.0981196067499996
PDK1_pS241-R-V	0.51539604475
PEA15-R-V	0.26565499975
PI3K-p110-alpha-R-C	-0.47092547675
PKC-alpha-M-V	-0.19610458025
PKC-delta_pS664-R-V	-0.45057195275
PR-R-V	1.14211788725
PRAS40_pT246-R-V	-0.19155929925
PTEN-R-V	-1.16272615525
Rb_pS807_S811-R-V	-0.28370657725
S6-R-E	0.15533204775
S6_pS235_S236-R-V	0.0642289467500001
S6_pS240_S244-R-V	-0.18225241825
Shc_pY317-R-E	0.92126119675
Smad1-R-V	0.0701052082500002
Smad3-R-V	-0.0416961007499999
Src-M-V	0.0903329377500002
Src_pY416-R-C	-0.928613411749999
Src_pY527-R-V	-0.49606677725
STAT3_pY705-R-V	0.20136903825
STAT5-alpha-R-V	-1.42024919175
Stathmin-R-V	-0.0950382112499999
Syk-M-V	-1.33604734025
YB-1-R-V	-0.47722121475
YB-1_pS102-R-V	-0.49146090325
PAI-1-M-E	0.27293193825
mTOR_pS2448-R-C	-0.0305783867499998
EGFR-R-V	0.0118777997500001
4E-BP1_pT70-R-V	-0.41124366425
Annexin_VII-M-V	0.67675447575
Bad_pS112-R-V	-0.18261139175
Bap1-c-4-M-V	0.22018363325
BRCA2-R-C	0.05643852625
CD20-R-C	0.34119554025
Cyclin_E2-R-C	0.45132832575
eIF4G-R-C	-1.07030118875
FASN-R-V	1.56284477975
FOXO3a_pS318_S321-R-C	-0.35130446725
FoxM1-R-V	0.10184701775
G6PD-M-V	0.25513347825
GAPDH-M-C	1.16540711825
GSK3_pS9-R-V	-0.17468392675
Heregulin-R-V	0.62048785875
MYH11-R-V	1.27081842375
Myosin-IIa_pS1943-R-V	-1.03623150025
N-Ras-M-V	0.34588871175
NDRG1_pT346-R-V	2.03042958725
p27_pT198-R-V	-0.33563455925
p90RSK-R-C	0.35215302425
PDCD4-R-C	-1.02454951775
PDK1-R-V	0.85208187525
PEA15_pS116-R-V	0.26278447525
PI3K-p85-R-V	0.40075143425
PKC-pan_BetaII_pS660-R-V	-0.50726233775
Rab25-R-V	0.44399017875
Rab11-R-E	0.54667139675
Raptor-R-V	-0.19921084675
RBM15-R-V	-1.33722477225
Rictor-R-C	-0.28250810875
Rictor_pT1135-R-V	0.08360080425
SCD-M-V	-0.0862135427500008
SF2-M-V	-0.21180732225
TAZ-R-V	0.30713707225
TIGAR-R-V	-0.00652230524999986
Transglutaminase-M-V	-0.27202957775
TFRC-R-V	0.13757622575
TSC1-R-C	0.39818680525
Tuberin_pT1462-R-V	0.69548457525
XBP1-G-C	-0.70644865075
ETS-1-R-V	0.24048019825
14-3-3_beta-R-V	0.24977539325
14-3-3_zeta-R-V	0.19300663075
ACVRL1-R-C	0.52248618775
ARHI-M-E	0.66460276525
Annexin-1-M-E	-0.00933778074999991
PREX1-R-E	0.50335225525
MSH6-R-C	-0.68695871875
PARP1-R-V	0.17947594225
