Sample REF	31b94bd4-e63e-4e52-b366-3bafe08524e7
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	0.06667550425
4E-BP1-R-V	0.50672924475
4E-BP1_pS65-R-V	-0.0624146167500002
4E-BP1_pT37_T46-R-V	-0.33339359125
ACC_pS79-R-V	0.07597072025
Akt-R-V	-0.31273617175
Akt_pS473-R-V	-1.05146695575
Akt_pT308-R-V	-0.27474749375
AMPK_alpha-R-C	-0.40693255625
AMPK_pT172-R-V	0.13179202125
AR-R-V	0.91354747825
ATM-R-E	-0.54544238525
Bak-R-C	0.02458352525
Bax-R-V	0.05330370425
Bcl-2-M-V	1.09702632275
beta-Catenin-R-V	1.09254161575
Bid-R-C	0.00549169475000011
Bim-R-V	0.77936173425
c-Kit-R-V	-0.66382717475
c-Myc-R-C	0.14992507875
C-Raf-R-V	0.28099285175
Caspase-7_cleavedD198-R-C	-0.50729488875
Caveolin-1-R-V	-0.89612002425
CD31-M-V	0.13068890675
CD49b-M-V	0.0902832657500001
CDK1-R-V	-0.40416996375
Chk1_pS345-R-C	0.00117811275000002
Chk2_pT68-R-C	-0.0195265027499999
cIAP-R-V	0.12327318125
Claudin-7-R-V	2.27926293525
Collagen_VI-R-V	-1.20868798975
Cyclin_B1-R-V	-0.51222685175
Cyclin_D1-R-V	0.33701974875
Cyclin_E1-M-V	-0.0588129902499999
Dvl3-R-V	-0.19732572925
E-Cadherin-R-V	1.02989553575
eEF2K-R-V	0.38414598525
eIF4E-R-V	-0.0495460967500001
ER-alpha-R-V	2.61243595775
ER-alpha_pS118-R-V	1.20105336375
ERK2-R-E	-0.73592540125
FOXO3a-R-C	-0.03579993225
GAB2-R-V	1.27275122125
GATA3-M-V	1.60595765775
GSK3-alpha-beta-M-V	0.0255030972499999
GSK3-alpha-beta_pS21_S9-R-V	0.68084096875
HER2-M-V	0.34604821525
HSP70-R-C	0.26917600825
IGFBP2-R-V	0.65079046325
IRS1-R-V	1.19624534475
JNK2-R-C	0.25589006275
Ku80-R-C	0.63000108575
LKB1-M-E	0.0865791892499999
Lck-R-V	-0.85089371225
MAPK_pT202_Y204-R-V	-1.53858530675
MEK1-R-V	-0.0936111312499999
MEK1_pS217_S221-R-V	-0.00179332575000013
MIG-6-M-V	0.02901292025
Mre11-R-C	0.04578562525
mTOR-R-V	0.66909513075
N-Cadherin-R-V	-0.0260394617499999
NF-kB-p65_pS536-R-C	-0.0854800362500001
NF2-R-C	0.59291695075
Notch1-R-V	0.15261218375
P-Cadherin-R-C	-0.36800664225
p27-R-V	0.23080941825
p27_pT157-R-C	0.0693606642499998
p38_pT180_Y182-R-V	-1.28667513475
p70S6K-R-V	-0.07003530425
p70S6K_pT389-R-V	-0.11856638975
p90RSK_pT359_S363-R-C	-0.11055006175
PDK1_pS241-R-V	0.29285028675
PEA15-R-V	-0.58260323925
PI3K-p110-alpha-R-C	0.31527106125
PKC-alpha-M-V	-0.33805354525
PKC-delta_pS664-R-V	0.11755809825
PR-R-V	1.09597849325
PRAS40_pT246-R-V	-0.16732499325
PTEN-R-V	0.27602695275
Rb_pS807_S811-R-V	-0.0946578272499999
S6-R-E	-0.54631455425
S6_pS235_S236-R-V	-1.56972375225
S6_pS240_S244-R-V	-1.04296975825
Shc_pY317-R-E	-0.49661194225
Smad1-R-V	-0.14690852175
Smad3-R-V	0.21119301925
Src-M-V	0.18063498075
Src_pY416-R-C	-0.15933265875
Src_pY527-R-V	-0.32081232725
STAT3_pY705-R-V	-0.55064668575
STAT5-alpha-R-V	0.47325294825
Stathmin-R-V	-0.20798790125
Syk-M-V	-1.15845895425
YB-1-R-V	0.25521350925
YB-1_pS102-R-V	-0.61380824725
PAI-1-M-E	-0.17820248375
mTOR_pS2448-R-C	-0.05817471475
EGFR-R-V	-0.34645537525
4E-BP1_pT70-R-V	-0.11173430225
Annexin_VII-M-V	0.19043341875
Bad_pS112-R-V	-0.31337510275
Bap1-c-4-M-V	0.54473229025
BRCA2-R-C	0.27334136025
CD20-R-C	-0.08248580375
