Sample REF	7a0dcaa3-a8ab-4437-b642-11872fbf6456
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	-0.0115799077500001
4E-BP1-R-V	-0.0877974032500001
4E-BP1_pS65-R-V	0.37965880825
4E-BP1_pT37_T46-R-V	0.38688749375
ACC_pS79-R-V	0.34107630025
Akt-R-V	-0.22750710775
Akt_pS473-R-V	0.66754879125
Akt_pT308-R-V	0.49173721025
AMPK_alpha-R-C	-0.0598546472500001
AMPK_pT172-R-V	-1.07144563275
AR-R-V	-1.48116587875
ATM-R-E	0.25540437975
Bak-R-C	-0.12665750575
Bax-R-V	-0.38088662975
Bcl-2-M-V	-0.96610262025
beta-Catenin-R-V	0.62951894175
Bid-R-C	-0.30935567925
Bim-R-V	-0.25235902775
c-Kit-R-V	3.07558966625
c-Myc-R-C	-0.0513465202500001
C-Raf-R-V	-0.24475447725
Caspase-7_cleavedD198-R-C	-0.30920477075
Caveolin-1-R-V	0.44202937275
CD31-M-V	-0.14697455325
CD49b-M-V	0.91348943575
CDK1-R-V	0.27550999625
Chk1_pS345-R-C	-0.14347055825
Chk2_pT68-R-C	0.27893438225
cIAP-R-V	-0.02338386075
Claudin-7-R-V	0.92621897025
Collagen_VI-R-V	-0.0379536827500002
Cyclin_B1-R-V	1.69654091325
Cyclin_D1-R-V	-0.81156500325
Cyclin_E1-M-V	1.29066682275
Dvl3-R-V	0.01482556375
E-Cadherin-R-V	-0.000392653250000152
eEF2K-R-V	-0.0528802377499999
eIF4E-R-V	-0.0241497057500001
ER-alpha-R-V	-2.56559802725
ER-alpha_pS118-R-V	-0.67988040325
ERK2-R-E	-0.44512555025
FOXO3a-R-C	-0.34543905425
GAB2-R-V	-0.28140591575
GATA3-M-V	-1.39879779925
GSK3-alpha-beta-M-V	0.04112173025
GSK3-alpha-beta_pS21_S9-R-V	0.92796814775
HER2-M-V	0.25134183725
HSP70-R-C	-0.32291168175
IGFBP2-R-V	-0.86386364875
IRS1-R-V	-0.50400505125
JNK2-R-C	-0.59096691625
Ku80-R-C	-0.33709606625
LKB1-M-E	-0.53205979675
Lck-R-V	-0.26025839725
MAPK_pT202_Y204-R-V	1.26223280625
MEK1-R-V	0.44527961475
MEK1_pS217_S221-R-V	0.44275381425
MIG-6-M-V	0.25956153625
Mre11-R-C	-0.31392590675
mTOR-R-V	0.49913363575
N-Cadherin-R-V	-0.28793115975
NF-kB-p65_pS536-R-C	0.56643025275
NF2-R-C	-0.10862006725
Notch1-R-V	0.0588869107499996
P-Cadherin-R-C	0.30096326075
p27-R-V	-0.0849194507500001
p27_pT157-R-C	-0.0699718357500002
p38_pT180_Y182-R-V	0.21127703425
p70S6K-R-V	-0.32393259725
p70S6K_pT389-R-V	-0.02339820375
p90RSK_pT359_S363-R-C	0.82859981825
PDK1_pS241-R-V	-0.50513769525
PEA15-R-V	-0.44630530825
PI3K-p110-alpha-R-C	-0.10358762275
PKC-alpha-M-V	-0.0127545842500001
PKC-delta_pS664-R-V	-0.13645658975
PR-R-V	-0.43940091875
PRAS40_pT246-R-V	0.31990544275
PTEN-R-V	-0.12157776625
Rb_pS807_S811-R-V	1.20185915875
S6-R-E	-0.17308888725
S6_pS235_S236-R-V	0.87939682975
S6_pS240_S244-R-V	0.39370565675
Shc_pY317-R-E	0.18676343175
Smad1-R-V	0.11112295825
Smad3-R-V	-0.19010256375
Src-M-V	-0.74124824425
Src_pY416-R-C	0.33485037625
Src_pY527-R-V	1.24459228675
STAT3_pY705-R-V	0.23289487025
STAT5-alpha-R-V	0.91282599525
Stathmin-R-V	-0.14424779425
Syk-M-V	0.34731159075
YB-1-R-V	-0.00991695575000007
YB-1_pS102-R-V	0.97418391075
PAI-1-M-E	0.12446983125
mTOR_pS2448-R-C	0.52715556725
EGFR-R-V	0.70628134475
4E-BP1_pT70-R-V	0.0903576837499998
Annexin_VII-M-V	-0.26014327625
Bad_pS112-R-V	0.38947966325
Bap1-c-4-M-V	0.06217279925
BRCA2-R-C	-0.27565507775
CD20-R-C	-0.0869231137500001
Cyclin_E2-R-C	0.20190823475
eIF4G-R-C	1.57594133625
FASN-R-V	-0.0741917022499998
FOXO3a_pS318_S321-R-C	-0.14378872425
FoxM1-R-V	1.24885954375
G6PD-M-V	-0.000657255749999974
GAPDH-M-C	3.40311544925
GSK3_pS9-R-V	0.43601376925
Heregulin-R-V	0.04610540175
MYH11-R-V	1.13575763575
Myosin-IIa_pS1943-R-V	0.0696750677499999
N-Ras-M-V	0.0124168317499999
NDRG1_pT346-R-V	3.75228920325
p27_pT198-R-V	-0.0689632952499999
p90RSK-R-C	0.10293179625
PDCD4-R-C	1.01084257425
PDK1-R-V	-0.50689785375
PEA15_pS116-R-V	-0.0669057027500001
PI3K-p85-R-V	-0.08052572775
PKC-pan_BetaII_pS660-R-V	0.47620879925
Rab25-R-V	0.29324299475
Rab11-R-E	-0.28464751425
Raptor-R-V	0.36412676125
RBM15-R-V	0.92163130575
Rictor-R-C	-0.0093874637500001
Rictor_pT1135-R-V	-0.0491909627500001
SCD-M-V	-0.312085280750001
SF2-M-V	-0.0255763812500001
TAZ-R-V	0.17293523425
TIGAR-R-V	0.000544061749999991
Transglutaminase-M-V	0.15171784825
TFRC-R-V	0.17938710775
TSC1-R-C	1.39050816825
Tuberin_pT1462-R-V	0.47193477525
XBP1-G-C	-0.01120057075
ETS-1-R-V	0.000392653250000041
14-3-3_beta-R-V	-0.16883741275
14-3-3_zeta-R-V	-0.31120542725
ACVRL1-R-C	0.05229996475
ARHI-M-E	-0.0451929257500001
Annexin-1-M-E	-0.38857403975
PREX1-R-E	-1.05994103875
MSH6-R-C	1.08351399525
PARP1-R-V	0.48659464625
