Sample REF	85fd3e18-e927-47b3-9e06-b73de5edd740
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	0.57039534975
4E-BP1-R-V	-0.84526505475
4E-BP1_pS65-R-V	-0.0247055632500002
4E-BP1_pT37_T46-R-V	-0.60368122775
ACC_pS79-R-V	-1.09879216625
Akt-R-V	-1.28446017225
Akt_pS473-R-V	0.0472476657500001
Akt_pT308-R-V	0.62134962975
AMPK_alpha-R-C	-0.15765796175
AMPK_pT172-R-V	-0.86024975725
AR-R-V	0.12235170775
ATM-R-E	-0.35639782175
Bak-R-C	0.94534451775
Bax-R-V	-0.22458401925
Bcl-2-M-V	0.57742211025
beta-Catenin-R-V	-0.50706957275
Bid-R-C	0.87243241625
Bim-R-V	0.0113288277500001
c-Kit-R-V	1.78713098975
c-Myc-R-C	0.66054013925
C-Raf-R-V	-0.95623143675
Caspase-7_cleavedD198-R-C	0.29157399875
Caveolin-1-R-V	2.89214074625
CD31-M-V	0.71601987925
CD49b-M-V	0.42085647925
CDK1-R-V	0.39834457275
Chk1_pS345-R-C	0.47579432325
Chk2_pT68-R-C	0.73476282775
cIAP-R-V	-0.47098872125
Claudin-7-R-V	-0.72993234125
Collagen_VI-R-V	5.76988332975
Cyclin_B1-R-V	-1.23653669325
Cyclin_D1-R-V	1.08618603625
Cyclin_E1-M-V	-0.22733791075
Dvl3-R-V	-0.87671135775
E-Cadherin-R-V	-0.69299854975
eEF2K-R-V	-0.55306749325
eIF4E-R-V	-0.34040744425
ER-alpha-R-V	-0.44340994275
ER-alpha_pS118-R-V	0.0236252272500002
ERK2-R-E	-0.52975510375
FOXO3a-R-C	0.82650120225
GAB2-R-V	-0.48442321025
GATA3-M-V	-1.02997479375
GSK3-alpha-beta-M-V	-1.31580873225
GSK3-alpha-beta_pS21_S9-R-V	-0.71208841175
HER2-M-V	-0.31612164325
HSP70-R-C	2.30074172375
IGFBP2-R-V	-0.41952049725
IRS1-R-V	0.75251465325
JNK2-R-C	-0.36046656975
Ku80-R-C	-0.87758893075
