Sample REF	b661ea2e-2f24-44b9-b8ed-30f38223b85c
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	-0.0740241062499997
4E-BP1-R-V	-0.42588828875
4E-BP1_pS65-R-V	-0.11372249925
4E-BP1_pT37_T46-R-V	0.37149610125
ACC_pS79-R-V	-0.36513946325
Akt-R-V	-0.62764586725
Akt_pS473-R-V	1.07568421275
Akt_pT308-R-V	0.60338345875
AMPK_alpha-R-C	0.23882108425
AMPK_pT172-R-V	0.00676782575000028
AR-R-V	0.22446097575
ATM-R-E	-0.21311689875
Bak-R-C	-0.14129003225
Bax-R-V	-0.0620128532499998
Bcl-2-M-V	1.76703201225
beta-Catenin-R-V	0.28462377325
Bid-R-C	-0.20636966775
Bim-R-V	0.12460070175
c-Kit-R-V	1.11366520375
c-Myc-R-C	0.0965442182500003
C-Raf-R-V	-0.12930127175
Caspase-7_cleavedD198-R-C	-0.68818808025
Caveolin-1-R-V	2.77010586425
CD31-M-V	0.0557163852500003
CD49b-M-V	0.20818745325
CDK1-R-V	0.23825626775
Chk1_pS345-R-C	-0.14229213975
Chk2_pT68-R-C	-0.12455672625
cIAP-R-V	-0.19513384525
Claudin-7-R-V	0.0376111077500002
Collagen_VI-R-V	1.71397627775
Cyclin_B1-R-V	0.0580993747500002
Cyclin_D1-R-V	0.45479154125
Cyclin_E1-M-V	-0.153236727749999
Dvl3-R-V	-0.13502059675
E-Cadherin-R-V	0.14833185925
eEF2K-R-V	-0.0285005322499998
eIF4E-R-V	-0.00313818624999978
ER-alpha-R-V	0.11910824525
ER-alpha_pS118-R-V	-0.38895575075
ERK2-R-E	-0.70628315575
FOXO3a-R-C	-0.20984772375
GAB2-R-V	-0.39069014925
GATA3-M-V	0.84470331025
GSK3-alpha-beta-M-V	-0.18954514625
GSK3-alpha-beta_pS21_S9-R-V	0.0354642532500003
HER2-M-V	-0.0595513022499998
HSP70-R-C	0.0673800897500001
IGFBP2-R-V	0.24826791975
IRS1-R-V	-0.27236226475
JNK2-R-C	-0.0331961317499998
Ku80-R-C	-0.44943366575
LKB1-M-E	-0.13733590225
Lck-R-V	-0.00945921174999959
MAPK_pT202_Y204-R-V	1.64289831075
MEK1-R-V	-0.0832658137499997
MEK1_pS217_S221-R-V	0.17129184175
MIG-6-M-V	-0.0924830402499997
Mre11-R-C	-0.0870133692499998
mTOR-R-V	-0.227197067749999
N-Cadherin-R-V	0.0269135357500002
NF-kB-p65_pS536-R-C	-0.18501349475
NF2-R-C	-0.22613475375
Notch1-R-V	-0.02768613375
P-Cadherin-R-C	0.0103825802500002
p27-R-V	0.36351587975
p27_pT157-R-C	-0.06526346125
p38_pT180_Y182-R-V	0.43894389075
