Sample REF	4fbcc317-6f56-4227-a6ef-304afa8880eb
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	0.03248056625
4E-BP1-R-V	-0.13117461125
4E-BP1_pS65-R-V	-0.27520153375
4E-BP1_pT37_T46-R-V	-1.13593743625
ACC_pS79-R-V	0.30728711425
Akt-R-V	1.13230977425
Akt_pS473-R-V	-0.83807910475
Akt_pT308-R-V	-0.40432060975
AMPK_alpha-R-C	0.17731988375
AMPK_pT172-R-V	1.20156560325
AR-R-V	0.15151296925
ATM-R-E	0.00726023375000007
Bak-R-C	-0.04863012675
Bax-R-V	-0.03480607475
Bcl-2-M-V	1.32953612775
beta-Catenin-R-V	0.47502461875
Bid-R-C	-0.0977240982499999
Bim-R-V	-0.04767168875
c-Kit-R-V	-0.42916001675
c-Myc-R-C	0.50731262775
C-Raf-R-V	0.28453369575
Caspase-7_cleavedD198-R-C	-0.65129549875
Caveolin-1-R-V	0.12769098975
CD31-M-V	-0.72105464925
CD49b-M-V	-0.0646847972499998
CDK1-R-V	-0.80493264175
Chk1_pS345-R-C	-0.39433305725
Chk2_pT68-R-C	-0.85796479175
cIAP-R-V	0.07082463925
Claudin-7-R-V	0.05816233925
Collagen_VI-R-V	-0.0670183217500001
Cyclin_B1-R-V	-1.33730484975
Cyclin_D1-R-V	0.08801694475
Cyclin_E1-M-V	-0.03199435025
Dvl3-R-V	0.43737920975
E-Cadherin-R-V	-0.06424566025
eEF2K-R-V	0.43863113525
eIF4E-R-V	-0.22778689875
ER-alpha-R-V	2.82433028375
ER-alpha_pS118-R-V	0.29225463075
ERK2-R-E	0.39638751475
FOXO3a-R-C	-0.12685738725
GAB2-R-V	-0.37488991775
GATA3-M-V	1.38676058475
GSK3-alpha-beta-M-V	0.31262040525
GSK3-alpha-beta_pS21_S9-R-V	-0.95858380525
HER2-M-V	0.66234750625
HSP70-R-C	-0.22291664375
IGFBP2-R-V	-0.92643819675
IRS1-R-V	-0.02357289625
JNK2-R-C	0.72659795375
Ku80-R-C	0.26155243675
LKB1-M-E	0.01542290325
Lck-R-V	0.14028756175
MAPK_pT202_Y204-R-V	-0.94339350775
MEK1-R-V	1.11429417175
MEK1_pS217_S221-R-V	0.0290868352500001
MIG-6-M-V	0.18013878225
Mre11-R-C	-0.38035084275
mTOR-R-V	0.94974562475
N-Cadherin-R-V	-0.12947848775
NF-kB-p65_pS536-R-C	0.00833789274999991
NF2-R-C	0.01830468975
Notch1-R-V	0.00231573474999996
P-Cadherin-R-C	-0.34532286325
p27-R-V	0.72373870025
p27_pT157-R-C	0.0522087742499999
p38_pT180_Y182-R-V	-0.45737985275
p70S6K-R-V	0.50921338875
p70S6K_pT389-R-V	0.03147226725
p90RSK_pT359_S363-R-C	-0.19585925275
PDK1_pS241-R-V	0.90204686475
PEA15-R-V	0.17948955475
PI3K-p110-alpha-R-C	0.30923909225
PKC-alpha-M-V	0.35101902875
PKC-delta_pS664-R-V	0.19481039325
PR-R-V	2.05952448925
PRAS40_pT246-R-V	-0.37551184425
PTEN-R-V	0.41699823175
Rb_pS807_S811-R-V	-0.22113586825
S6-R-E	0.25716420975
S6_pS235_S236-R-V	-0.11101071425
S6_pS240_S244-R-V	-0.26894828025
Shc_pY317-R-E	-0.567569736250001
Smad1-R-V	0.0898346122500001
Smad3-R-V	0.25021570625
Src-M-V	-0.22039093625
Src_pY416-R-C	-0.53483457575
Src_pY527-R-V	-1.06144298225
STAT3_pY705-R-V	-0.12347008775
STAT5-alpha-R-V	0.79870125025
Stathmin-R-V	-0.47377072825
Syk-M-V	0.59869312375
YB-1-R-V	0.45485469025
YB-1_pS102-R-V	-0.40698382825
PAI-1-M-E	-0.39033846975
mTOR_pS2448-R-C	-0.73466223275
EGFR-R-V	-0.17092187625
4E-BP1_pT70-R-V	-0.45009579225
Annexin_VII-M-V	0.10092497975
Bad_pS112-R-V	-0.86533766375
Bap1-c-4-M-V	0.10977156225
BRCA2-R-C	-0.22720985375
CD20-R-C	-0.0693647897500001
Cyclin_E2-R-C	0.04223365175
eIF4G-R-C	-0.0747554067500003
FASN-R-V	0.55505030775
FOXO3a_pS318_S321-R-C	-0.20127988225
FoxM1-R-V	-0.48966407725
G6PD-M-V	-0.17340899775
GAPDH-M-C	0.32850127425
GSK3_pS9-R-V	-0.96804220075
Heregulin-R-V	-0.00968419824999983
MYH11-R-V	-1.53662508025
Myosin-IIa_pS1943-R-V	-0.33804607325
N-Ras-M-V	-0.0149167132500002
NDRG1_pT346-R-V	-1.21038750675
p27_pT198-R-V	-0.11193015925
p90RSK-R-C	-0.09894046275
PDCD4-R-C	-1.70215875475
PDK1-R-V	0.39883621325
PEA15_pS116-R-V	-0.30591884975
PI3K-p85-R-V	0.0696069452500001
PKC-pan_BetaII_pS660-R-V	0.60183454025
Rab25-R-V	-0.14710476525
Rab11-R-E	-0.11723292325
Raptor-R-V	0.46938969525
RBM15-R-V	0.40269251575
Rictor-R-C	0.37465990425
Rictor_pT1135-R-V	-0.46898681675
SCD-M-V	-5.17176059275
SF2-M-V	-0.09735799625
TAZ-R-V	-0.0288498557499999
TIGAR-R-V	-0.20493787925
Transglutaminase-M-V	0.14742935725
TFRC-R-V	0.01282037275
TSC1-R-C	-1.04756647775
Tuberin_pT1462-R-V	-0.41135326775
XBP1-G-C	0.03442578525
ETS-1-R-V	0.0112364132500001
14-3-3_beta-R-V	-0.13167129375
14-3-3_zeta-R-V	0.02960773775
ACVRL1-R-C	0.27920231375
ARHI-M-E	0.25784855725
Annexin-1-M-E	-0.01587497875
PREX1-R-E	-0.24155971475
MSH6-R-C	0.48331968525
PARP1-R-V	-1.79160995275
